Month ,Number of cattle herds registered on Sam,Herds not officially TB free at the end of the period due to a bovine TB incident,Total tests on herds,Tests on officially TB free herds (OTF),Total cattle tests,New herd incidents (NHI),NHI of which: officially TB free herd status withdrawn (OTFW),NHI of which: officially TB free herd status suspended (OTFS),NHI of which: still unclassified TB Incidents (pending culture results),Total animals slaughtered,Reactors slaughtered,Inconclusive reactors slaughtered,Direct contacts slaughtered,Slaughterhouse cases reported to animal health,Confirmed slaughterhouse cases,Herds not officially TB free during the period due to a bovine TB incident (non-OTF herds),Herds under movement restrictions at the end of the period
Jan 1996,,,782,781,"38,116",3,1,2,0,6,5,1,0,0,0,13,11
Feb 1996,,,898,897,"47,159",0,0,0,0,18,12,0,6,0,0,11,11
Mar 1996,,,861,859,"49,939",6,1,5,0,6,5,0,1,0,0,17,14
Apr 1996,,,555,555,"29,458",4,0,3,1,5,5,0,0,0,0,18,18
May 1996,,,406,404,"18,410",3,0,3,0,4,3,1,0,0,0,21,16
Jun 1996,,,188,187,"5,832",0,0,0,0,0,0,0,0,0,0,16,12
Jul 1996,,,100,100,"3,262",3,0,2,1,1,1,0,0,0,0,15,14
Aug 1996,,,85,85,"3,124",0,0,0,0,8,7,0,1,0,0,14,11
Sep 1996,,,109,109,"2,948",3,0,3,0,5,5,0,0,0,0,14,12
Oct 1996,,,166,166,"6,930",0,0,0,0,0,0,0,0,0,0,12,9
Nov 1996,,,439,439,"19,817",5,0,5,0,12,12,0,0,0,0,14,14
Dec 1996,,,441,439,"21,565",1,0,1,0,2,2,0,0,0,0,15,13
Jan 1997,,,638,636,"33,293",1,0,1,0,1,1,0,0,1,0,14,12
Feb 1997,,,686,685,"37,602",2,0,2,0,3,3,0,0,0,0,14,13
Mar 1997,,,644,644,"34,716",3,0,3,0,4,3,1,0,0,0,16,14
Apr 1997,,,506,506,"25,164",6,0,6,0,7,5,2,0,0,0,20,19
May 1997,,,346,346,"14,053",8,0,8,0,6,6,0,0,0,0,27,24
Jun 1997,,,158,158,"4,960",2,0,2,0,6,4,2,0,0,0,26,24
Jul 1997,,,163,160,"4,689",6,0,6,0,14,9,5,0,0,0,30,24
Aug 1997,,,120,117,"5,143",3,0,3,0,3,3,0,0,0,0,27,26
Sep 1997,,,151,151,"8,163",5,0,5,0,6,3,3,0,0,0,31,31
Oct 1997,,,241,240,"11,371",2,0,2,0,9,8,1,0,0,0,33,25
Nov 1997,,,404,404,"23,605",5,0,5,0,3,1,2,0,0,0,30,26
Dec 1997,,,450,449,"25,111",3,0,3,0,6,3,3,0,0,0,29,24
Jan 1998,,,706,705,"35,895",4,0,4,0,11,11,0,0,0,0,28,25
Feb 1998,,,753,753,"40,576",6,1,5,0,8,7,0,1,0,0,31,29
Mar 1998,,,661,659,"37,241",10,4,6,0,31,24,2,5,0,0,39,34
Apr 1998,,,551,547,"27,938",8,0,8,0,22,20,2,0,0,0,42,35
May 1998,,,340,337,"14,762",7,0,6,1,7,6,1,0,0,0,42,35
Jun 1998,,,184,176,"8,959",9,0,8,1,27,26,0,1,0,0,44,36
Jul 1998,,,143,138,"5,297",2,1,1,0,142,36,10,96,0,0,38,33
Aug 1998,,,104,99,"4,612",5,1,4,0,8,6,2,0,0,0,38,31
Sep 1998,,,105,100,"6,447",4,1,3,0,10,10,0,0,0,0,35,27
Oct 1998,,,329,328,"14,239",2,0,2,0,0,0,0,0,0,0,29,21
Nov 1998,,,516,507,"28,405",0,0,0,0,3,1,2,0,0,0,21,19
Dec 1998,,,510,510,"29,667",0,0,0,0,0,0,0,0,0,0,19,16
Jan 1999,,,745,743,"37,400",3,0,3,0,4,4,0,0,0,0,19,15
Feb 1999,,,828,827,"48,655",3,0,2,1,5,4,1,0,0,0,18,15
Mar 1999,,,747,746,"46,000",4,0,3,1,1,1,0,0,0,0,19,18
Apr 1999,,,655,652,"38,283",3,1,2,0,7,7,0,0,0,0,21,17
May 1999,,,386,385,"16,599",3,2,1,0,5,3,1,1,0,0,20,18
Jun 1999,,,197,197,"6,937",4,1,3,0,2,2,0,0,0,0,22,12
Jul 1999,,,223,221,"8,376",1,0,1,0,3,2,1,0,0,0,13,8
Aug 1999,,,121,120,"4,467",7,0,7,0,13,7,6,0,0,0,15,11
Sep 1999,,,141,139,"6,357",2,2,0,0,2,1,0,1,1,1,13,11
Oct 1999,,,208,208,"9,260",2,0,2,0,2,2,0,0,0,0,14,12
Nov 1999,,,370,370,"18,368",0,0,0,0,2,2,0,0,0,0,11,8
Dec 1999,,,448,446,"24,061",0,0,0,0,0,0,0,0,0,0,7,6
Jan 2000,,,689,688,"36,068",4,1,3,0,4,3,1,0,0,0,9,9
Feb 2000,,,757,755,"44,562",4,0,4,0,5,5,0,0,0,0,11,12
Mar 2000,,,784,779,"48,548",4,1,3,0,5,5,0,0,0,0,14,12
Apr 2000,,,437,436,"22,781",3,1,2,0,4,4,0,0,0,0,13,12
May 2000,,,384,381,"19,311",3,1,2,0,4,2,0,2,0,0,13,12
Jun 2000,,,209,207,"9,550",2,1,1,0,2,2,0,0,0,0,12,8
Jul 2000,,,117,117,"3,815",1,0,1,0,3,2,0,1,0,0,8,9
Aug 2000,,,89,88,"2,574",0,0,0,0,1,0,1,0,0,0,7,7
Sep 2000,,,112,108,"5,284",3,1,2,0,2,2,0,0,1,1,8,7
Oct 2000,,,156,155,"6,374",1,1,0,0,1,1,0,0,0,0,6,7
Nov 2000,,,383,381,"21,059",2,0,1,1,0,0,0,0,0,0,7,8
Dec 2000,,,415,413,"23,184",2,0,2,0,4,4,0,0,0,0,7,10
Jan 2001,,,515,514,"28,302",3,0,3,0,4,3,0,1,0,0,9,7
Feb 2001,,,597,596,"34,579",2,1,1,0,1,1,0,0,0,0,9,12
Mar 2001,,,62,61,"3,779",0,0,0,0,0,0,0,0,0,0,9,12
Apr 2001,,,19,18,529,1,0,1,0,4,4,0,0,0,0,8,12
May 2001,,,18,18,220,0,0,0,0,1,1,0,0,0,0,8,11
Jun 2001,,,7,7,15,0,0,0,0,1,1,0,0,0,0,7,11
Jul 2001,,,10,8,"1,168",0,0,0,0,39,26,0,13,0,0,7,9
Aug 2001,,,5,5,203,1,0,0,1,1,1,0,0,0,0,6,10
Sep 2001,,,10,10,620,1,0,1,0,9,2,7,0,0,0,7,9
Oct 2001,,,11,11,574,0,0,0,0,2,2,0,0,0,0,6,9
Nov 2001,,,28,24,"2,339",0,0,0,0,3,2,1,0,0,0,6,7
Dec 2001,,,36,35,"3,037",0,0,0,0,0,0,0,0,0,0,4,6
Jan 2002,,,204,202,"12,364",1,0,1,0,2,2,0,0,0,0,4,6
Feb 2002,,,470,469,"34,532",4,0,4,0,1,1,0,0,0,0,7,8
Mar 2002,,,788,786,"63,456",4,2,2,0,5,5,0,0,1,1,11,19
Apr 2002,,,742,740,"55,654",8,5,3,0,11,11,0,0,0,0,18,31
May 2002,,,741,737,"48,662",17,7,10,0,88,69,10,9,3,2,34,44
Jun 2002,,,267,261,"16,032",15,6,8,1,96,86,4,6,0,0,46,54
Jul 2002,,,300,295,"16,230",10,4,6,0,111,107,1,3,0,0,54,59
Aug 2002,,,264,242,"18,470",7,2,5,0,465,138,65,262,0,0,60,58
Sep 2002,,,294,280,"17,392",3,0,3,0,35,32,2,1,0,0,55,52
Oct 2002,,,475,466,"23,201",9,3,6,0,59,48,7,4,0,0,54,52
Nov 2002,,,"1,045","1,028","63,908",22,10,12,0,49,34,4,11,3,2,69,68
Dec 2002,,,898,887,"59,979",8,5,3,0,186,113,9,64,0,0,65,76
Jan 2003,,,"1,223","1,203","75,525",18,4,14,0,53,45,0,8,0,0,78,81
Feb 2003,,,"1,022",994,"72,961",26,7,18,1,127,74,0,53,0,0,90,169
Mar 2003,,,963,946,"76,751",23,5,17,1,77,70,6,1,0,0,103,148
Apr 2003,,,693,665,"50,618",10,2,8,0,76,40,1,35,0,0,103,163
May 2003,,,697,654,"45,861",8,4,4,0,99,75,0,24,1,0,94,141
Jun 2003,,,384,361,"19,544",9,4,5,0,56,51,0,5,0,0,85,126
Jul 2003,,,417,388,"23,529",12,3,9,0,58,49,0,9,0,0,77,139
Aug 2003,,,298,278,"19,250",5,1,3,1,54,51,0,3,0,0,67,134
Sep 2003,,,371,356,"17,600",5,1,4,0,33,30,0,3,0,0,59,127
Oct 2003,,,509,493,"35,208",7,4,3,0,62,60,0,2,2,2,55,144
Nov 2003,,,651,635,"47,703",8,3,5,0,174,137,2,35,0,0,52,135
Dec 2003,,,686,672,"52,614",7,0,7,0,353,32,1,320,0,0,49,127
Jan 2004,,,"1,020","1,010","72,729",16,4,12,0,21,19,1,1,0,0,59,148
Feb 2004,,,993,975,"73,105",31,21,10,0,106,80,1,25,2,1,84,179
Mar 2004,,,932,913,"65,609",21,10,11,0,160,69,1,90,0,0,96,171
Apr 2004,,,870,835,"60,616",17,4,13,0,102,80,2,20,0,0,104,182
May 2004,,,544,515,"30,512",12,2,10,0,211,40,0,171,0,0,102,169
Jun 2004,,,399,370,"21,303",12,4,8,0,65,34,0,31,1,1,98,157
Jul 2004,,,372,340,"18,549",9,2,7,0,253,176,10,67,1,1,88,141
Aug 2004,,,298,281,"13,121",5,1,4,0,84,23,0,61,0,0,74,131
Sep 2004,,,317,289,"17,438",8,1,7,0,36,25,2,9,0,0,67,120
Oct 2004,,,433,417,"24,073",6,1,5,0,40,29,0,11,1,1,58,122
Nov 2004,,,741,726,"50,513",3,1,2,0,9,8,0,1,1,1,48,132
Dec 2004,,,682,668,"48,370",8,4,4,0,36,25,0,11,3,3,40,135
Jan 2005,,,719,709,"53,444",18,10,8,0,66,52,2,12,3,3,48,170
Feb 2005,,,760,752,"60,228",18,10,8,0,39,25,7,7,6,5,64,419
Mar 2005,,,550,541,"36,089",12,7,5,0,64,48,5,11,2,1,75,281
Apr 2005,,,552,514,"32,433",13,4,9,0,71,32,7,32,2,2,77,253
May 2005,,,335,323,"16,321",9,5,4,0,133,70,1,62,0,0,73,230
Jun 2005,,,266,235,"16,865",8,4,4,0,41,23,2,16,3,3,75,198
Jul 2005,,,242,231,"9,723",3,0,3,0,18,12,1,5,0,0,64,173
Aug 2005,,,206,183,"10,378",9,7,2,0,24,15,0,9,5,5,61,173
Sep 2005,,,290,280,"18,629",9,6,2,1,41,23,2,16,5,4,59,187
Oct 2005,,,393,377,"27,434",5,2,3,0,31,18,10,3,0,0,55,206
Nov 2005,,,651,641,"46,734",9,3,6,0,11,9,2,0,2,2,56,219
Dec 2005,,,788,775,"64,028",9,3,6,0,73,22,13,38,3,3,56,261
Jan 2006,,,984,966,"77,543",12,2,10,0,38,33,3,2,0,0,62,323
Feb 2006,,,972,959,"76,993",15,10,5,0,19,15,3,1,9,6,68,358
Mar 2006,,,907,890,"69,119",15,5,10,0,25,23,1,1,3,2,72,364
Apr 2006,,,627,605,"42,123",11,5,6,0,19,18,0,1,4,4,70,383
May 2006,,,465,448,"26,987",10,3,7,0,24,19,0,5,2,1,70,341
Jun 2006,,,349,328,"23,045",13,5,8,0,59,56,0,3,3,3,71,311
Jul 2006,,,296,281,"16,137",8,4,4,0,47,40,0,7,1,1,64,289
Aug 2006,,,326,313,"18,614",5,4,1,0,30,10,2,18,0,0,57,274
Sep 2006,,,422,407,"26,176",7,2,5,0,21,21,0,0,1,1,48,258
Oct 2006,,,506,500,"33,675",8,5,3,0,20,18,1,1,1,1,40,276
Nov 2006,,,900,889,"68,906",10,3,6,1,22,21,1,0,0,0,44,283
Dec 2006,,,993,982,"65,077",8,2,6,0,37,34,2,1,1,1,47,315
Jan 2007,,,"1,028","1,013","59,669",10,0,10,0,44,40,1,3,0,0,52,374
Feb 2007,,,981,962,"67,818",9,2,7,0,50,44,0,6,0,0,52,361
Mar 2007,,,"1,004",993,"68,748",14,6,8,0,43,31,3,9,3,3,58,369
Apr 2007,,,610,592,"39,251",11,6,5,0,71,59,3,9,4,3,63,370
May 2007,,,491,476,"24,398",5,4,1,0,44,36,6,2,2,2,58,326
Jun 2007,,,376,363,"16,472",14,9,5,0,107,97,9,1,1,1,54,316
Jul 2007,,,348,334,"15,957",6,2,4,0,66,42,4,20,2,2,54,322
Aug 2007,,,258,245,"13,464",3,1,2,0,10,8,2,0,0,0,46,313
Sep 2007,,,386,375,"21,382",6,3,3,0,9,9,0,0,1,1,44,332
Oct 2007,,,419,409,"33,893",9,4,5,0,18,18,0,0,2,2,50,378
Nov 2007,,,719,707,"47,836",5,4,1,0,70,68,0,2,1,1,45,362
Dec 2007,,,723,712,"51,826",5,3,2,0,68,59,0,9,0,0,40,380
Jan 2008,,,880,872,"63,886",10,6,4,0,60,57,1,2,1,1,43,403
Feb 2008,,,885,870,"65,500",9,4,5,0,153,149,0,4,2,2,47,382
Mar 2008,,,590,583,"47,771",13,5,8,0,128,126,0,2,1,0,52,400
Apr 2008,,,532,514,"42,984",11,4,7,0,89,54,2,33,1,1,60,394
May 2008,,,486,465,"30,233",9,4,5,0,127,95,2,30,2,2,63,353
Jun 2008,,,327,309,"16,459",5,3,2,0,141,108,3,30,1,1,58,334
