Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,01/07/2016,Training Costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900138262,"103,736.78",Employee Training,DL1 9HN,,,,
HMRC,HMRC,01/07/2016,OGD costs,Digital,DWP,5100024945,"173,461.24",Quarter 4 15/16 Memorandum of Terms of Occupation (MOTO) rent charge for Benton Park View Accommodation.,FY5 3TA,,,,
HMRC,HMRC,01/07/2016,Business Consultancy,Benefits & Credits Delivery,SYNNEX-CONCENTRIX UK LTD,5100025205,"1,024,879.88",Error & Fraud Adding Capacity Programme,EC2N 1HQ,,,,
HMRC,HMRC,01/07/2016,Business Consultancy,Benefits & Credits Delivery,SYNNEX-CONCENTRIX UK LTD,5100025206,"240,191.72",Error & Fraud Adding Capacity Programme,EC2N 1HQ,,,,
HMRC,HMRC,01/07/2016,Software coding,Change Portfolio,EQUAL EXPERTS UK LTD,5100025430,"45,945.00",April contractor charges working on the Multi Digital Tax Platform.,WC1H 9BB,,,,
HMRC,HMRC,01/07/2016,Software coding,Change Portfolio,EQUAL EXPERTS UK LTD,5100025431,"203,580.00",April contractor charges working on the Multi Digital Tax Platform.,WC1H 9BB,,,,
HMRC,HMRC,01/07/2016,Software coding,Change Portfolio,EQUAL EXPERTS UK LTD,5100025432,"108,525.00",April contractor charges working on the Multi Digital Tax Platform.,WC1H 9BB,,,,
HMRC,HMRC,01/07/2016,Software coding,Change Portfolio,EQUAL EXPERTS UK LTD,5100025434,"206,205.00",April contractor charges working on the Multi Digital Tax Platform.,WC1H 9BB,,,,
HMRC,HMRC,01/07/2016,Desks,Estates & Support Services,SENATOR INTERNATIONAL LTD,5100025454,"54,252.71",Additional furniture to support Business Expansion - Temple Quay House Bristol,BB5 5YE,,,,
HMRC,HMRC,01/07/2016,IT consultancy,Change Portfolio,OPEN CREDO LTD,5100025482,"184,982.10",Specialist Support to develop HMRCs Cloud Ecosystem platform,SE1 0NZ,,,,
HMRC,HMRC,01/07/2016,IT consultancy,Change Portfolio,OPEN CREDO LTD,5100025484,"278,884.43",Specialist Support to develop HMRCs Cloud Ecosystem platform,SE1 0NZ,,,,
