"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","Grade 6","56971","70504","Deputy Chief Executive and Head of Operations","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","Grade 6","56971","70504","Director of Performance & Development","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","Grade 6","56971","70504","Director of Quality &Standards","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","Grade 7","46506","57553","Head of Quality Unit","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","Grade 7","46506","57553","Head of Litigation","1.00","Operational Research"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","Grade 7","46506","57553","Head of Corporate Affairs","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","SEO Accountant","37580","43760","Head of Finance","1.00","Communications"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","SEO","33953","39537","Senior Operations Manager","1.00","Finance"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","SEO","33953","39537","Head of Learning & Development","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","SEO","33953","39537","Deputy Head of Litigation","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","CMS Officer","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","HEO","26345","30989","Performance & Statistical Analyst","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","HEO","26345","30989","Reviews Team Manager","3.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","Case Managers Reviews Team A","10.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","AO","16518","18657","DCR Support","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","Case Managers Reviews Team B","9.88","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","Case Managers Reviews Team C","11.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","HEO","26345","30989","Admin Team Manager","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","Admin Section Supervisor","1.83","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","AO","16518","18657","Administrative Support","11.47","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","HEO","26345","30989","Listings & Rota Manager","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","Panel Listings Officer","0.40","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","AA","14924","15701","Reprographics","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","HEO","26345","30989","Re4Re Team Manager","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","Re4Re Panel Administrators","7.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","AO","16518","18657","Re4Re Ofice Support","3.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","Paper Recalls Manager","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","HEO","26345","30989","Litigation Team Manager","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","Litigation Office Caseworkers","3.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","AA","14924","15701","Litigation Office Support","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","Personal Assistant","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","HEO","26345","30989","Executive Assistant to Chairman & CEO","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","Executive Busines Support Commitees &Communications","1.00","Operational Delivery"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","AO","16518","18657","Administrative Support to Corporate Services","1.00","Communications"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","HEO","26345","30989","IT Manager","1.00","Knowledge and Information Management (KIM)"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","IT Officer","2.00","Information Technology"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","HEO","26345","30989","Accountant","0.60","Information Technology"
"Ministry of Justice","The Parole Board for England & Wales","The Parole Board for England & Wales","PB2","EO","21073","24789","Finance Officer","1.00","Finance"
