Pay Range,No of SCS staff within range as at 31 March 2010,No of SCS staff within range as at 31 March 2011
"Below £55,000",-,-
"£55,000 - £59,999",12,15
"£60,000 - £64,999",36,30
"£65,000 - £69,999",43,39
"£70,000 - £74,999",24,31
"£75,000 - £79,999",19,17
"£80,000 - £84,999",27,20
"£85,000 - £89,999",19,12
"£90,000 - £94,999",10,11
"£95,000 - £99,999",11,8
"£100,000 - £104,999",6,8
"£105,000 - £109,999",-,2
"£110,000 - £114,999",4,2
"£115,000 - £119,999",13,11
"£120,000 - £124,999",2,2
"£125,000 - £129,999",2,1
"£130,000 - £134,999",-,-
"£135,000 - £139,999",3,2
"£140,000 - £144,999",2,-
"£145,000 - £149,999",1,-
"£150,000 - £154,999",2,1
"£155,000 - £159,999",1,1
"£160,000 - £164,999",1,3
"£165,000 - £169,999",1,1
"£170,000 - £174,999",-,-
"£175,000 - £179,999",2,-
"£180,000 - £184,999",1,1
"£185,000 - £189,999",1,1
"£190,000 - £194,999",-,-
"£195,000 - £199,999",1,1
"£200,000 - £204,999",-,-
"£205,000 - £209,999",1,-
TOTAL,245,220
