Prompt Payment Report - 2013/14,,
,,
5 Day Prompt Payment Reporting,,
Name of organisation,UK Atomic Energy Authority (NDPB),
Reporting Month:,28 April - 25 May (P2),
,,
No. of invoices received,1035,
No. of invoices paid within 5 working days or less,539,
No. of Invoices paid over 5 working days,482,
No. of disputed invoices*,14,
% of invoices paid within 5 days,53%,
,,
,,
Note:,,
,,
Disputed invoices are not included in statistics,,
The following payment types are excluded from the return:,,
Payments to Staff (e.g. salary or T&S costs),,
Foreign Currency Payments,,
Any Grant Payments,,
,,
,,
