"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","Driving Standards Agency","Business Change","15","EO","21348","24687","Project Support Officer","3.00","Programme and Project Management (PPM)"
"Department for Transport","Driving Standards Agency","Business Change","15","Grade 6","51305","63335","Project Manager","1.00","Programme and Project Management (PPM)"
"Department for Transport","Driving Standards Agency","Business Change","15","Grade 7","39620","52206","Project Manager","2.00","Programme and Project Management (PPM)"
"Department for Transport","Driving Standards Agency","Business Change","15","SE","29594","32028","Supervising Examiner","1.00","Programme and Project Management (PPM)"
"Department for Transport","Driving Standards Agency","Business Change","15","SEO","33052","38400","Project Manager","3.00","Programme and Project Management (PPM)"
"Department for Transport","Driving Standards Agency","Chief Executives Office","15","AO","16385","19889","Fraud and Integrity Support","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","Driving Standards Agency","Chief Executives Office","15","EO","21348","24687","Fraud and Integrity Adviser","1.46","Knowledge and Information Management (KIM)"
"Department for Transport","Driving Standards Agency","Chief Executives Office","15","Grade 7","39620","52206","Fraud and Integrity Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","Driving Standards Agency","Chief Executives Office","15","HEO","26051","30427","Fraud and Integrity Adviser","6.00","Knowledge and Information Management (KIM)"
"Department for Transport","Driving Standards Agency","Chief Executives Office","15","HEO","26051","30427","Private Secretary","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","AO","16385","19889","Private Secretary","1.00","Communications"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","EO","21348","24687","Communications Support Officer","1.00","Communications"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","EO","21348","24687","Learning Materials Support Officer","2.00","Communications"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","Grade 6","51305","63335","Communications Manager","1.83","Communications"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","Grade 7","39620","52206","Learning Materials Senior Manager","1.00","Communications"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","Grade 7","39620","52206","Senior Communications Manager","1.00","Communications"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","HEO","26051","30427","Communications Manager","7.03","Communications"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","HEO","26051","30427","Learning Materials Manager","2.00","Communications"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","Senior Driving Examiner","25409","27814","Senior Driving Examiner","1.00","Communications"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","SEO","33052","38400","Learning Materials Senior Manager","1.00","Communications"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","SEO","33052","38400","Senior Communications Manager","0.89","Communications"
"Department for Transport","Driving Standards Agency","Engagement & Communication","15","SPS","21348","24687","Private Secretary","1.00","Communications"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","AA","14351","16711","Estates & Facilities Support Officer","2.60","Property and asset management"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","AO","16385","19889","Estates & Facilities Support Officer","4.00","Property and asset management"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","AO","16385","19889","Finance Support Officer","3.83","Finance"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","AO","16385","19889","Procurement Support Officer","1.83","Procurement"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","EO","21348","24687","Estates & Facilities Officer","5.00","Property and asset management"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","EO","21348","24687","Finance Officer","6.00","Finance"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","EO","21348","24687","Procurement Officer","3.00","Procurement"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","Grade 6","51305","63335","Senior Estates & Facilities Officer","1.00","Property and asset management"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","Grade 6","51305","63335","Senior Finance Manager","1.00","Finance"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","Grade 7","39620","52206","Senior Estates & Facilities Officer","2.00","Property and asset management"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","Grade 7","39620","52206","Senior Finance Manager","2.00","Finance"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","Grade 7","39620","52206","Senior Procurement Officer","1.00","Procurement"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","HEO","26051","30427","Estates & Facilities Officer","6.44","Property and asset management"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","HEO","26051","30427","Procurement Officer","3.00","Procurement"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","HEO","26051","30427","Senior Finance Manager","6.00","Finance"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","SEO","33052","38400","Senior Estates & Facilities Officer","5.60","Property and asset management"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","SEO","33052","38400","Senior Finance Manager","6.00","Finance"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","SEO","33052","38400","Senior Procurement Officer","2.00","Procurement"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","SGB1","16385","19889","Estates & Facilities Support Officer","1.00","Property and asset management"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","SGB2","14351","16711","Messenger","1.00","Property and asset management"
"Department for Transport","Driving Standards Agency","Finance & Corporate Services","189","SPS","21348","24687","Private Secretary","1.00","Communications"
"Department for Transport","Driving Standards Agency","Human Resources","15","AA","14351","16711","HR Support Officer","1.97","Human Resources"
"Department for Transport","Driving Standards Agency","Human Resources","15","ACDE","33052","38400","Assistant Chief Driving Examiner","1.00","Human Resources"
"Department for Transport","Driving Standards Agency","Human Resources","15","AO","16385","19889","HR Support Officer","7.33","Human Resources"
"Department for Transport","Driving Standards Agency","Human Resources","15","Driving Examiner","21348","24687","Driving Examiner","1.00","Human Resources"
