ICT,,,,,,,,,,,,,,,
Department,Moratorium,Project Name,Total Value requested (£m),Total Value approved (£m) ,Basis for Exception,Date of Update,,,,,,,,,
Cabinet Office - Central,ICT,Public Sector Network Programme,2.34,2.34,Review Complete. ,August,,,,,,,,,
,,,,,Approved - because there would be a direct negative consequence of a delay. ,,,,,,,,,,
Cabinet Office - Buying Solutions,ICT,Mobile Framework Contract,180,180,Review complete - note approved amount refers to estimated framework value rather than actual spend,October,,,,,,,,,
,,,,,Extension to existing agreement approved in line with option specified in original OJEU Contract Notice because there would be a direct negative consequence (loss of continuity of service provision) of delaying.,,,,,,,,,,
,,,,,,,,,,,,,,,
Property ,,,,,,,,,,,,,,,
Department,Moratorium,Project Name,Value (£),Basis for Exception,Date of Exception,,,,,,,,,,
Cabinet Office,Property,None, -   ,None,None,,,,,,,,,,
,,,,,,,,,,,,,,,
Recruitment,,,,,,,,,,,,,,,
Department/organisation name, AO/AA (Headcount), AO/AA (FTE),EO (Headcount),EO (FTE),HEO/SEO (Headcount),HEO/SEO (FTE), Grade 6/7 (Headcount), Grade 6/7 (FTE),SCS level (Headcount),SCS level (FTE),Unknown/Other (Headcount),Unknown/Other(FTE),Total exemptions (Headcount),Total exemptions (FTE),Date of Update
Cabinet Office (including Office of Parliamentary Counsel),3,3,0,0,4,4,2,2,7,7,0,0,16,16,Up to the end of August 2010
Buying Solutions,0,0,0,0,0,0,2,1,0,0,0,0,2,1,Up to the end of August 2010
Central Office of Information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
National School of Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Advisory Committe on Business Appointments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Capacity Builders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Boundary Commission for England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Boundary Commission for Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Civil Service Appeal Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Senior Salaries Review Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Office for Civil Society Advisory Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Commission for the Compact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Security Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Security Vetting Appeals Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Main Honours Advisory Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
House of Lords Appointments Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Commitee on Standards in Public Life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2010
Charity Commission,,0,0,0,0,0,0,0,0,0,0,0,0,0,Up to the end of August 2011
,,,,,,,,,,,,,,,
Advertising and Marketing,,,,,,,,,,,,,,,
Department,Moratorium,Activity,Value (£),Basis for Exception,Date of Update,,,,,,,,,,
Cabinet Office,Advertising & Marketing,Fast Stream recruitment marketing,"20,202",Information is critical to the effective running of the Government,July,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cabinet Office,Advertising & Marketing,"Get Safe Online, Government contribution ","48,000",Information is critical to the effective running of the Government,September,,,,,,,,,,
,,"Get Safe Online, internet safety campaign ","48,000",,,,,,,,,,,,
,,"Get Safe Online, internet safety campaign ","48,000",,,,,,,,,,,,
Cabinet Office,Advertising & Marketing, Queens Volunteer Award scheme administration,"197,000",Information is critical to the effective running of the Government,September,,,,,,,,,,
,, Queens Volunteer Award scheme marketing,"197,000",,,,,,,,,,,,
,, Queens Volunteer Award scheme marketing,"197,000",,,,,,,,,,,,
Cabinet Office,Advertising & Marketing,White Paper publication ,"46,500",Information is critical to the effective running of the government,September,,,,,,,,,,
,,White Paper publication ,"46,500",Where government has a legal duty to provide people with information ,,,,,,,,,,,
,,White Paper publication ,"46,500",,,,,,,,,,,,
,,,,,,,,,,,,,,,
Consultancy,,,,,,,,,,,,,,,
Dept Name,Organisation Name,Moratorium,Requirement description, Value ,Approval month,Basis for Exception,,,,,,,,,
CO,CO - Cabinet Office (Core Department),Consultancy,Review of civil service pay structures and terms and conditions," £42,388 ",July,"The work supports the review announced on 24 May and requires detailed knowledge of individual civil service labour markets, and private sector pay conditions, around the country and the application of that knowledge to produce deliverables in time to meet the project deadlines. This specialist knowledge is not readily available in government",,,,,,,,,
CO,CO - Cabinet Office (Core Department),Consultancy,Outplacement Services," £34,043 ",August, ,,,,,,,,,
CO,CO - Cabinet Office (Core Department),Consultancy,Sustainable Procurement Training Needs Analysis," £36,748 ",September,The work will identify gaps in knowledge of sustainable procurement across procurement professionals in central government.  The Department does not have the necessary specialist skills to undertake the work in-house.,,,,,,,,,
CO,CO - Cabinet Office (Core Depatment),Consultancy,Legal Support for ERG Contract Renegotiation Stream," £173,800 ",September,"In support of the Government's drive to reduce public expenditure with third party suppliers, high level strategic legal advice is required on both specific contract savings where large scale savings can be achieved and on future activities to improve existing contracts and to support wider reforms to the commissioning and procurement of services provided to citizens.",,,,,,,,,
CO,CO - Cabinet Office (Core Department),Consultancy,Review of early Intervention Delivery," £28,750 ",October,Independent expert advice is required for the Graham Allen  review of Early Years Intervention Delivery and contributing to the report.,,,,,,,,,
