Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,03/07/2013,Research,Clinical Practice Research Datalink,UNIVERSITY OF SUSSEX,600080984,28087.50,692712320
Dept of Health,MHRA,10/07/2013,Telecommunications,Information Management,SWITCH COMMUNICATIONS,600081054,54360.00,611903863
Dept of Health,MHRA,16/07/2013,Solicitors,Policy,DEPARTMENT FOR WORK & PENSIONS,600081264,171716.40,888815554
Dept of Health,MHRA,16/07/2013,UK Air,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600081291,168.72,413640679
Dept of Health,MHRA,16/07/2013,UK Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600081291,453.53,413640679
Dept of Health,MHRA,16/07/2013,UK Rail/Tube/Tram,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600081291,720.08,413640679
Dept of Health,MHRA,16/07/2013,Overseas Air,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600081291,8767.64,413640679
Dept of Health,MHRA,16/07/2013,Overseas Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600081291,88.85,413640679
Dept of Health,MHRA,16/07/2013,UK Hotel/Accommodation,Communications,HOGG ROBINSON LTD,600081291,131.18,413640679
Dept of Health,MHRA,16/07/2013,UK Rail/Tube/Tram,Communications,HOGG ROBINSON LTD,600081291,589.61,413640679
Dept of Health,MHRA,16/07/2013,UK Rail/Tube/Tram,Directorate,HOGG ROBINSON LTD,600081291,63.36,413640679
Dept of Health,MHRA,16/07/2013,UK Rail/Tube/Tram,Human Resources,HOGG ROBINSON LTD,600081291,33.34,413640679
Dept of Health,MHRA,16/07/2013,UK Rail/Tube/Tram,Information Management,HOGG ROBINSON LTD,600081291,21.83,413640679
Dept of Health,MHRA,16/07/2013,UK Taxi,Information Management,HOGG ROBINSON LTD,600081291,16.89,413640679
Dept of Health,MHRA,16/07/2013,Overseas Air,Information Management,HOGG ROBINSON LTD,600081291,9265.60,413640679
