Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/04/2016,EQUIPMENT >5K,CAPITAL PROGRAM,NHS SUPPLY CHAIN (PRODUCT SALES),59904,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,MAINTENANCE CONTRACTS AND MATS,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),33139.68,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,MAINTENANCE CONTRACTS AND MATS,DIAGNOSTICS,NHS SUPPLY CHAIN (MAINTENANCE),109385.69,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,41911.2,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,35237.52,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,EXTERNAL CONTRACTS,MEDICAL DIRECTOR,LINCOLNSHIRE PARTNERSHIP NHS TRUST,64365,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,LLOYDS PHARM DISPENSING COSTS,DIAGNOSTICS,LLOYDS PHARMACY,797665,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,ADMIN CLERICAL OTHER,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,33104.83,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,OTHER NURSING,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,60647.98,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,SERVICES FROM OTHER NHS,WOMEN & CHILDRENS PAN TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUS,26000,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,PHOTOCOPIER MACHINES,DIRECTOR OF PERF IMPROVEMENT,THE DANWOOD GROUP LTD,46506.67,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,SW SUPPORT,CLINICAL SUPPORT MANAGEMENT,ACCENTURE UK LTD,78352.55,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,ADMIN CLERICAL OTHER,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,33104.83,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,OTHER NURSING,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,61037.98,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,38927,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,EXTERNAL CONTRACTS,DIRECTOR OF HUMAN RESOURCES & ORGANISATIONAL DEVT,LINCOLNSHIRE PARTNERSHIP NHS TRUST,1093.5,Apr-16
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2016,MEDICAL RECORD STORAGE,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RESTORE PLC - (WAS MAGNUM),32133.05,Apr-16
