Department for International Development Special Advisers: return July to September 2017,,,,,,
,,,,,,
Gifts,,,,,,
Adviser,Date,Gift,Given or received,Who gift was given to or received from,Value (£),"Outcome 
(received gifts only)"
Richard Parr (special adviser) ,17 July - 30 Sept,nil return,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Hospitality,,,,,,
Adviser,Date,Person or organisation that offered hospitality,Type of hospitality received,"Accompanied by spouse, family member(s) or friend?",,
Richard Parr (special adviser) ,17 July - 30 Sept,,nil return,,,
