Title:,Distribution input and supply pipe leakage: 1992/93 to 2010/11,,,,,,,,,,,,,,,,,,
Year:,1992/3 to 2010/11,,,,,,,,,,,,,,,,,,
Geography:,England and Wales,,,,,,,,,,,,,,,,,,
Units:,Ml/day and per cent,,,,,,,,,,,,,,,,,,
Source:,Office of Water Services (Ofwat),,,,,,,,,,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/inland-water/iwfg14-drq/,,,,,,,,,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,,,,,,,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,,,,,,,,,
Release Date:,May-12,,,,,,,,,,,,,,,,,,
Notes:,"Since 2003 de-regulation of small abstractions set a threshold of 20 cubic metres per day as the value above which an abstraction licence will be required and now includes previously exempt activities such as dewatering, trickle irrigation and navigation within the licensing system. For further details see text.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Ml/day and per cent,,
,,,,,,,,,,,,,,,,,,,
,1992/3,1993/4,1994/5,1995/6,1996/7,1997/8,1998/9,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/8,2008/9,2009/10,2010/11
,,,,,,,,,,,,,,,,,,,
Distribution input,"16,252","16,236","16,590","17,027","16,365","15,683","15,056","15,058","14,991","15,326","15,404","15,658","15,378","15,356","14,994","14,755","14,605",14594,14770
,,,,,,,,,,,,,,,,,,,
Distribution losses,"3,600","3,693","3,866","3,685","3,295","2,955","2,618","2,432","2,365","2,527","2,606","2,625","2,584","2,611","2,545","2,468","2,493",2494,2559
per cent of input,22,23,23,22,20,19,17,16,16,16,17,17,17,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,
Supply pipe losses,"1,181","1,195","1,246","1,295","1,233","1,034",933,875,878,888,999,"1,024","1,024",966,873,823,798,787,802
per cent of input,7,7,8,8,8,7,6,6,6,6,6,7,7,6,6,6,6,5,5
,,,,,,,,,,,,,,,,,,,
Total leakage,"4,781","4,888","5,112","4,980","4,528","3,989","3,551","3,306","3,243","3,414","3,605","3,649","3,608","3,575","3,418","3,291","3,291",3281,3361
per cent of input,29,30,31,29,28,25,24,22,22,22,23,23,23,23,23,22,23,22,22
