Date,Supplier,Amount
08/08/2013,ACT RADTAC CSM,"1,140.00"
09/08/2013,ACCESS DISPLAYS LTD,720.00
19/08/2013,BUSINESS IN THE COMMUN,"1,750.00"
06/08/2013,BANNER BUSINESS SERVIC,533.07
08/08/2013,WWW.FRIDGEFREEZERDIREC,587.58
08/08/2013,RADISSON BLU HOTEL,510.00
09/08/2013,ANGLIA LOCKSMITHS/,519.00
12/08/2013,ALROSE ALLEGRIA LLC,552.91
12/08/2013,MERCURE THAMES LODGE HOTE,540.00
12/08/2013,PACIFIC,"1,709.88"
14/08/2013,SUITE NOVOTEL,"3,265.87"
15/08/2013,HOLIDAY INN BRISTOL CITY,-632.70
16/08/2013,ROYAL MAIL,955.00
19/08/2013,SUITE NOVOTEL,"1,230.47"
19/08/2013,SUITE NOVOTEL,"1,230.47"
21/08/2013,HOTEL IBIS COQUE2022676,"2,648.07"
21/08/2013,SUITE NOVOTEL,"1,470.04"
29/08/2013,XMA LTD,813.96
29/08/2013,SUITE NOVOTEL,"2,474.96"
22/08/2013,WP-WWW.IPPATROL.COM,"2,160.00"
12/08/2013,PARK PLAZA VICTORIA FRONT,"41,498.00"
26/08/2013,PARK PLAZA VICTORIA FRONT,"41,512.00"
05/08/2013,STATACORP LP,"1,455.22"
05/08/2013,AKADEMIKONFERENSRP,576.06
12/08/2013,AUVSI,597.03
08/08/2013,BANNER BUSINESS SERVIC,569.20
16/08/2013,CROWNE PLAZA MANCHESTER,"1,089.18"
21/08/2013,RICHARD FRANKFURT PHOT,500.40
22/08/2013,BANNER BUSINESS SERVIC,584.91
26/08/2013,VODAFONE,631.17
16/08/2013,XMA LTD,691.89
19/08/2013,BANNER BUSINESS SERVIC,670.87
26/08/2013,BANNER BUSINESS SERVIC,531.72
26/08/2013,BANNER BUSINESS SERVIC,531.72
