Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,,,,,
Cabinet Office,Central Office of Information,02/06/2011,PPU Paper Purchases,Publications Production and Account Management,Robert Horne Group Ltd,10153539,24009.48,,,,,,
Cabinet Office,Central Office of Information,02/06/2011,PPU Paper Purchases,Publications Production and Account Management,Robert Horne Group Ltd,10155300,64090.19,,,,,,
Cabinet Office,Central Office of Information,02/06/2011,PPU Paper Purchases,Publications Production and Account Management,Robert Horne Group Ltd,10155305,34091.60,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10148906,29335.68,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Media Fees,Digital Marketing,M4C,10148906,2030.03,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10148906,29.34,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,TV/Radio Production,MIAC Television,Knight Ayton Management,10153127,43130.00,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,PR,PR Framework,Freud Communication Ltd,10153689,38000.00,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Media Fees,Advertising,McCann-Erickson Manchester,10154088,27332.99,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Media Fees,Advertising,McCann-Erickson Manchester,10154088,13197.69,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Procurement,GfK NOP Ltd,10154124,24685.00,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Interactive Services,LBi Ltd,10154163,71712.00,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Print and Paper,Publications Production and Account Management,Augustus Martin Ltd,10154170,31207.00,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Interactive Services,LBi Ltd,10154183,61427.80,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154254,35586.27,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Media Fees,Digital Marketing,M4C,10154254,2897.15,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154254,2031.20,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10154254,35.59,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Client Account Team,M4C,10154293,72345.20,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Media Fees,Client Account Team,M4C,10154293,1889.48,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns (Non Vatable),Client Account Team,M4C,10154293,72.35,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Advertising,M4C,10154295,49805.75,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Media Fees,Advertising,M4C,10154295,1300.81,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154313,48280.00,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Media Fees,Digital Marketing,M4C,10154313,3996.02,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154313,946.00,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10154313,48.28,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154320,100548.74,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Media Fees,Digital Marketing,M4C,10154320,8146.48,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154320,4659.61,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10154320,100.55,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154323,19120.36,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Media Fees,Digital Marketing,M4C,10154323,1444.17,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154323,354.28,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154323,19.12,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154340,24328.30,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Media Fees,Digital Marketing,M4C,10154340,1980.60,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154340,271.33,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10154340,24.33,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154350,320532.14,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Media Fees,Digital Marketing,M4C,10154350,26095.09,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154350,12854.75,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10154350,320.53,,,,,,
Cabinet Office,Central Office of Information,08/06/2011,Campaigns,Digital Marketing,M4C,10154366,33591.10,,,,,,
