"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Justice","Ministry of Justice","Private Office","MOJ001","Band A","42034","67969","Private Secretary","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Private Office","MOJ002","Band A","42034","67969","Private Secretary","10.00","Policy"
"Ministry of Justice","Ministry of Justice","Private Office","MOJ002","Band C","21096","36061","Assistant Private Secretary","15.00","Policy"
"Ministry of Justice","Ministry of Justice","Private Office","MOJ002","Band D","17513","28000","Diary Secretary","9.00","Policy"
"Ministry of Justice","Ministry of Justice","Private Office","MOJ002","Band E","15935","22250","MST staff and crown office","6.00","Policy"
"Ministry of Justice","Ministry of Justice","Private Office","MOJ002","Band D","17513","28000","Parliamentary Branch","9.00","Policy"
"Ministry of Justice","Ministry of Justice","Private Office","MOJ002","Band B","29634","44964","Crown Office","1.00","Policy"
"Ministry of Justice","Ministry of Justice","MoJ Strategy","CJG010","Band A","42034","67969","Senior Strategy Adviser","5.30","Policy"
"Ministry of Justice","Ministry of Justice","MoJ Strategy","CJG010","Band A","42034","67969","Senior Policy Adviser to the Secretary of State","1.00","Policy"
"Ministry of Justice","Ministry of Justice","MoJ Strategy","CJG010","Band B","29634","44964","Strategy Adviser","3.80","Policy"
"Ministry of Justice","Ministry of Justice","MoJ Strategy","CJG010","Fast Streamer","27000","43400","Strategy Adviser","4.00","Policy"
"Ministry of Justice","Ministry of Justice","MoJ Strategy","CJG010","Band C","21096","36061","Strategy Adviser","3.00","Policy"
"Ministry of Justice","Ministry of Justice","MoJ Strategy","CJG010","Band C","21096","36061","Policy Adviser to the Special Adviser","1.00","Policy"
"Ministry of Justice","Ministry of Justice","MoJ Strategy","CJG010","Band D","17513","28000","Personal Assistant","1.00","Policy"
"Ministry of Justice","Ministry of Justice","MoJ Strategy","CJG010","Band D","17513","28000","Vacancy","2.00","Policy"
"Ministry of Justice","Ministry of Justice","Prisons, Probation and Youth Justice Policy","CJG007","Band A","42034","67969","Policy manager","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Prisons, Probation and Youth Justice Policy","CJG007","Fast Streamer","27000","43400","Policy officer","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Reform","CJG021","Band A","42034","67969","Policy Managers","3.00","Programme and Project Management (PPM)"
"Ministry of Justice","Ministry of Justice","Criminal Justice Reform","CJG021","Band A","42034","67969","Policy Manager","0.90","Programme and Project Management (PPM)"
"Ministry of Justice","Ministry of Justice","Criminal Justice Reform","CJG021","Band B","29634","44964","Deputy Policy Managers","4.00","Programme and Project Management (PPM)"
"Ministry of Justice","Ministry of Justice","Criminal Justice Reform","CJG021","Band C","21096","36061","Policy Advisors","5.00","Programme and Project Management (PPM)"
"Ministry of Justice","Ministry of Justice","Criminal Justice Reform","CJG021","Band C","21096","36061","Policy Advisors - TRA","2.00","Programme and Project Management (PPM)"
"Ministry of Justice","Ministry of Justice","Criminal Justice Reform","CJG021","Band D","17513","28000","PA and Team Support","1.00","Programme and Project Management (PPM)"
"Ministry of Justice","Ministry of Justice","Criminal Justice Policy","CJG019","Band A","42034","67969","Policy Manager","2.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Policy","CJG019","Band A","42034","67969","Corporate Support Manager","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Policy","CJG019","Band B","29634","44964","Senior Policy Officer","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Policy","CJG019","Band C","21096","36061","Policy Officer","2.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Policy","CJG019","Band C","21096","36061","Corporate Support Officer","1.30","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Policy","CJG019","Band C","21096","36061","Business Manager","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Policy","CJG019","Band D","17513","28000","Corporate Support Assistant","2.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Policy","CJG019","Band C","21096","36061","Private Secretary","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Policy","CJG019","Band D","17513","28000","Diary Secretary","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Youth Justice Policy","CJG006","Band A","42034","67969","Senior Policy Adviser","4.00","Policy"
"Ministry of Justice","Ministry of Justice","Youth Justice Policy","CJG006","Band B","29634","44964","Senior Policy Adviser","4.80","Policy"
