Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",05/08/2016,Programme And Projects Service,"Finance, Commercial & Digital Transformation - Digital Directorate",FORDWAY SOLUTIONS LTD,106914,24700.00,FCDT Devolved Admin-Programme and Projects Service,GU7 1JJ,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",04/08/2016,Service Charges,"Finance, Commercial & Digital Transformation - Estates",COMPANIES HOUSE,119120,459.00,FCDT Devolved Admin-Service Charges,CF14 3UZ,WGA ONLY,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",04/08/2016,Business Rates,"Finance, Commercial & Digital Transformation - Estates",COMPANIES HOUSE,119120,941.38,FCDT Devolved Admin-Business Rates,CF14 3UZ,WGA ONLY,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",04/08/2016,Rentals Under Non-Pfi Operating Leases - Buildings,"Finance, Commercial & Digital Transformation - Estates",COMPANIES HOUSE,119120,1143.33,FCDT Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,CF14 3UZ,WGA ONLY,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",04/08/2016,Service Charges,"Finance, Commercial & Digital Transformation - Estates",COMPANIES HOUSE,119135,688.50,FCDT Devolved Admin-Service Charges,CF14 3UZ,WGA ONLY,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",04/08/2016,Business Rates,"Finance, Commercial & Digital Transformation - Estates",COMPANIES HOUSE,119135,1412.06,FCDT Devolved Admin-Business Rates,CF14 3UZ,WGA ONLY,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",04/08/2016,Rentals Under Non-Pfi Operating Leases - Buildings,"Finance, Commercial & Digital Transformation - Estates",COMPANIES HOUSE,119135,1715.00,FCDT Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,CF14 3UZ,WGA ONLY,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",15/08/2016,Language Training,Economics & Markets - Europen Reform,LANGUAGE SERVICES DIRECT LTD,132273,2.26,EU Expertise: General Costs-Language Training,SE1 1HJ,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",15/08/2016,Language Training,Economics & Markets - Europen Reform,LANGUAGE SERVICES DIRECT LTD,132273,47.95,EU Expertise: General Costs-Language Training,SE1 1HJ,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",15/08/2016,Language Training,Economics & Markets - Europen Reform,LANGUAGE SERVICES DIRECT LTD,132273,659.50,EU Expertise: General Costs-Language Training,SE1 1HJ,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",18/08/2016,Application Support Service,"Finance, Commercial & Digital Transformation - Digital Directorate",CGI IT UK LTD,134466,-333.73,FCDT Devolved Admin-Application Support Service,CF31 9AP,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",17/08/2016,Telecoms Equipment,Legal Services - Legal Services,DAISY COMMUNICATIONS LTD,137634,35.99,Legal Services Admin-Telecoms Equipment,BB9 5SR,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",16/08/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",DAISY COMMUNICATIONS LTD,137635,31.97,FCDT Devolved Admin-Central Telecommunications Services,BB9 5SR,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",17/08/2016,Telecoms Equipment,Legal Services - Legal Services,DAISY COMMUNICATIONS LTD,137636,31.97,Legal Services Admin-Telecoms Equipment,BB9 5SR,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",23/08/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",BRITISH TELECOMMUNICATIONS plc (BT),140019,30.00,FCDT Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",23/08/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",BRITISH TELECOMMUNICATIONS plc (BT),140019,129.85,FCDT Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",16/08/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",DAISY COMMUNICATIONS LTD,143207,31.97,FCDT Devolved Admin-Central Telecommunications Services,BB9 5SR,VENDOR,,,
"Department for Business, Energy & Industrial Strategy ","Department for Business, Innovation and Skills",17/08/2016,Learning And Dev - Cs Skills,"Finance, Commercial & Digital Transformation - Projects & Commercial Directorate",THE WHITEHALL AND INDUSTRY GROUP,143585,450.00,FCDT Devolved Admin-Learning and Dev - CS Skills,SW1H 9AA,VENDOR,,,
