"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","Geffrye Museum","Finance","G1","1.00","50001","60000","Operational Manager","2.00","Operational Delivery"
"Department for Culture, Media and Sport","Geffrye Museum","Communications","G1","2.00","35001","50000","Operational Manager","4.00","Operational Delivery"
"Department for Culture, Media and Sport","Geffrye Museum","Director","G1","4.00","20001","25000","Project Support Officer","1.00","Operational Delivery"
"Department for Culture, Media and Sport","Geffrye Museum","Communications","G1","3.00","25001","35000","Communications Support Officer","1.80","Communications"
"Department for Culture, Media and Sport","Geffrye Museum","Communications","G1","4.00","20001","25000","Communications Support Officer","1.00","Communications"
"Department for Culture, Media and Sport","Geffrye Museum","Curatorial","G1","3.00","25001","35000","Project Manager","1.60","Operational Research"
"Department for Culture, Media and Sport","Geffrye Museum","Curatorial","G1","4.00","20001","25000","Project Manager","1.50","Operational Research"
"Department for Culture, Media and Sport","Geffrye Museum","Curatorial","G1","3.00","25001","35000","Project Support Officer","0.50","Operational Research"
"Department for Culture, Media and Sport","Geffrye Museum","Curatorial","G1","5.00","10000","20000","Project Support Officer","3.00","Operational Research"
"Department for Culture, Media and Sport","Geffrye Museum","Education","G1","3.00","25001","35000","Project Manager","4.50","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Geffrye Museum","Education","G1","4.00","20001","25000","Project Manager","2.50","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Geffrye Museum","Education","G1","5.00","10000","20000","Project Support Officer","1.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Geffrye Museum","Finance","G1","3.00","25001","35000","Finance Officer","1.00","Finance"
"Department for Culture, Media and Sport","Geffrye Museum","Finance","G1","5.00","10000","20000","Finance Support Officer","1.00","Finance"
"Department for Culture, Media and Sport","Geffrye Museum","Front of house and estates","G1","3.00","25001","35000","Operations Support Officer","2.00","Operational Delivery"
"Department for Culture, Media and Sport","Geffrye Museum","Front of house and estates","G1","4.00","20001","25000","Operations Support Officer","6.00","Operational Delivery"
"Department for Culture, Media and Sport","Geffrye Museum","Front of house and estates","G1","5.00","10000","20000","Operations Support Officer","1.25","Operational Delivery"
"Department for Culture, Media and Sport","Geffrye Museum","Front of house and estates","G1","4.00","20001","25000","Operational Manager","1.00","Operational Delivery"
"Department for Culture, Media and Sport","Geffrye Museum","Finance","G1","5.00","10000","20000","Operations Support Officer","6.50","Operational Delivery"
"Department for Culture, Media and Sport","Geffrye Museum","Finance","G1","3.00","25001","35000","Operational Manager","1.00","Operational Delivery"
"Department for Culture, Media and Sport","Geffrye Museum","Finance","G1","5.00","10000","20000","Operations Support Officer","1.20","Operational Delivery"
