"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA6","44864","58900","Head of Public Safety & Subsidence","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Executive","1","CA6","44864","58900","Head of HR and Organsiational Development","0.80","Human resources"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA6","44864","58900","Head of Environment","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Corporate Services","11","CA6","44864","58900","Corporate Affairs Manager","1.00","Knowledge and Information Management (KIM)"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5+","34068","44599","Principal Property Manager","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5+","34068","44599","Principal Project Manager - Tips","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","13","CA5+","34068","44599","Principal Manager Planning","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Corporate Services","11","CA5+","34068","44599","Head of Finance","1.00","Finance"
"Department of Energy and Climate Change","Coal Authority","Corporate Services","11","CA5+","34068","44599","Head of Procurement","1.00","Procurement"
"Department of Energy and Climate Change","Coal Authority","Operations","13","CA5+","34068","44599","Principal Manager L & P","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5+","34068","44599","Principal Project Manager - Environment","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5+","34068","44599","Principal Project Manager - PS & S","2.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5+","34068","44599","Principal Engineer Design","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","13","CA5+","34068","44599","Principal Manager - Mine Entries","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5+","34068","44599","Senior Project Manager - PSS","2.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","13","CA5+","34068","44599","Principal Manager - Mining Information","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","13","CA5+","34068","44599","Licensing & Permissions Manager","4.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5+","34068","44599","Project Manager PS & S","13.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5+","34068","44599","Project Engineer","2.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Corporate Services","13","CA5+","34068","44599","information manager","6.00","Knowledge and Information Management (KIM)"
"Department of Energy and Climate Change","Coal Authority","Operations","13","CA5+","34068","44599","Project Manager - Mine Entries","2.00","Operational delivery"
