Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number, AP Amount (£) ,VAT registration number,Purchase invoice number
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,3451911,"-14,485,606.44 ",,V0001561
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,3451921,"-5,265,033.00 ",,1248
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Public Health,CROYDON HEALTH SERVICES NHS TRUST,3520841,"-3,770,496.00 ",,C0009740
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Other Commissioning,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3405981,"-3,495,000.00 ",,CRN2981
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,TAUNTON & SOMERSET NHS FOUNDATION TRUST,3269371,"-3,208,333.00 ",,5940000269
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Other Commissioning,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3242293,"-3,100,000.00 ",,CRN3114
Department of Health,NHS England,30/04/2014,Purchase of healthcare from non-NHS bodies,Health and Justice,WORCESTERSHIRE COUNTY COUNCIL,3330699,"-2,897,240.00 ",705672142,2306003493
Department of Health,NHS England,30/04/2014,Supplies and services – general,Other (Including Central Programme),PAPWORTH HOSPITAL NHS FOUNDATION TRUST,3436473,"-2,627,911.00 ",654935994,C0006920
Department of Health,NHS England,30/04/2014,Premises,Other,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,3347108,"-2,525,000.00 ",654945990,H0096641
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,MEDWAY NHS FOUNDATION TRUST,3406059,"-2,401,747.09 ",,3126
Department of Health,NHS England,30/04/2014,Premises,Other,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),3451973,"-2,370,000.00 ",,45705093
Department of Health,NHS England,30/04/2014,Supplies and services – general,Primary Care,DARTFORD AND GRAVESHAM NHS TRUST,3451907,"-2,168,162.00 ",,2000002885
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,3282481,"-2,154,866.00 ",,13760525
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Primary Care & Secondary Dental,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,3282414,"-2,151,297.00 ",,13759866
Department of Health,NHS England,30/04/2014,General Dental services and personal dental services,Primary Care & Secondary Dental,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,3451911,"-2,083,842.06 ",,V0001561
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,LEEDS TEACHING HOSPITALS NHS TRUST,3420117,"-2,005,788.15 ",,923699
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTH BRISTOL NHS TRUST,3290058,"-1,949,564.00 ",,292265
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,MEDWAY NHS FOUNDATION TRUST,3406060,"-1,926,201.89 ",,3127
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,3257053,"-1,818,192.00 ",,23188
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,3379765,"-1,668,313.70 ",654935994,C0006944
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,3513139,"-1,621,260.56 ",,194178
Department of Health,NHS England,30/04/2014,Supplies and services – general,Other,BARTS HEALTH NHS TRUST,3268615,"-1,600,000.00 ",,189890
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,ROYAL FREE LONDON NHS FOUNDATION TRUST,3330571,"-1,590,120.00 ",654946987,39909
Department of Health,NHS England,30/04/2014,Premises,Specialised Commissioning,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,3407131,"-1,354,275.00 ",,3015000001
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,EAST LANCASHIRE HOSPITALS NHS TRUST,3500618,"-1,112,559.00 ",,K0007466
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Public Health,BARTS HEALTH NHS TRUST,3379513,"-1,013,317.16 ",,190677
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,EAST SUSSEX HEALTHCARE NHS TRUST,3363284,"-1,000,000.00 ",,2000004362
Department of Health,NHS England,30/04/2014,Purchase of healthcare from non-NHS bodies,Primary Care & Secondary Dental,PLYMOUTH HEALTHCARE EDUCATION LIMITED,3508493,"-987,200.00 ",,6053134CR
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,LEEDS TEACHING HOSPITALS NHS TRUST,3363433,"-987,177.00 ",,924758
