1,jobs,"3,259"
2,sorn,"2,304"
3,income support,"2,071"
4,minimum wage,"1,688"
5,dvla,"1,419"
6,student finance,"1,396"
7,dla,"1,172"
8,car tax,"1,113"
9,driving test,"1,112"
10,theory test,"1,107"
11,attendance allowance,"1,004"
12,redundancy,955
13,housing benefit,953
14,cv,952
15,esa,946
16,child benefit,915
17,carers allowance,913
18,tax disc,892
19,maternity,799
20,council tax,795
21,tax credits,764
22,v62,757
23,passport,748
24,crisis loan,709
25,jsa,704
26,job seekers allowance,698
27,change of address,672
28,working tax credit,666
29,pension credit,658
30,csa,630
31,tax,620
32,benefits,609
33,budgeting loan,600
34,driving licence,564
35,road tax,556
36,community care grant,550
37,national insurance,540
38,jobseekers allowance,532
39,[None],527
40,mot,518
41,working tax credits,511
42,ssp,501
43,divorce,466
44,maternity leave,463
45,job,445
46,child tax credit,441
47,maternity allowance,438
48,disability living allowance,437
49,incapacity benefit,428
50,maternity pay,426
51,loans,424
52,grants,413
53,forms,411
54,social fund,398
55,sick pay,396
56,all jobs,393
57,practical test,390
58,pensions,379
59,ema,378
60,national minimum wage,374
61,change address,369
62,national insurance number,365
63,apprenticeships,349
64,v317,343
65,job search,340
66,c,337
67,jobseekers,331
68,self employed,330
69,crb,324
70,job seekers,317
71,paternity leave,311
72,provisional,307
73,dsa,301
74,d1,297
75,practical driving test,291
76,winter fuel allowance,290
77,taxdisc,290
78,passports,286
79,self employment,285
80,pension,284
81,child tax credits,283
82,driving,282
83,state pension,278
84,v14,276
85,employment and support allowance,267
86,winter fuel payment,266
87,smp,264
88,probate,262
89,statutory sick pay,259
90,driving license,253
91,v5c,252
92,book driving test,249
93,v10,249
94,holiday entitlement,248
95,bank holidays,247
96,heating allowance,245
97,pff2,242
98,theory,242
99,holiday pay,239
100,ESA,237
101,housing,237
102,crisis loans,232
103,vehicle enquiry,223
104,blue badge,223
105,budgeting loans,220
106,power of attorney,218
107,student loan,210
108,employment support allowance,209
109,pn1,209
110,log in,209
111,book theory test,207
112,lost driving licence,206
113,v5,204
114,birth certificate,203
115,pension forecast,202
116,vehicle check,200
117,next step,200
118,provisional licence,199
119,maternity grant,199
120,d1 form,199
121,bus pass,198
122,log book,197
123,student,197
124,tax credit,192
125,phone number,187
126,disability,187
127,vat,187
128,calculator,186
129,contact number,184
130,job centre,184
131,child support agency,181
132,lost licence,177
133,pension credits,176
134,warehouse,175
135,contact,174
136,pay council tax,171
137,loan,171
138,childcare,170
139,benefits calculator,169
140,widows pension,169
141,pregnancy,169
142,retail,167
143,cleaner,167
144,health and safety,167
145,rapid reclaim,165
146,winter fuel,159
147,winter fuel payments,158
148,council tax benefit,158
149,job centre plus,154
150,provisional license,153
151,template letters,153
152,holidays,153
