,"Eligible - meets
 all 9 criteria","Ineligible - meets
 0-3 criteria","Ineligible - meets
 4-8 criteria",,,
Overall,15317,3967,30219,,,
ADD,206,1,168,,,
AEI,215,1,111,,,
ASH,238,1,83,,,
BAR,13,2,188,,,
BAS,144,1,197,,,
BAT,140,2,327,,,
BED,56,2,118,,,
BFH,16,34,380,,,
BLA,64,4,337,,,
BNT,217,1,103,,,
BOL,72,6,246,,,
BRD,89,0,221,,,
BRI,20,13,273,,,
BRO,9,4,120,,,
BRT,144,1,149,,,
BRY,0,18,215,,,
BSL,31,4,113,,,
CCH,71,0,69,,,
CGH,0,172,76,,,
CHE,148,4,120,,,
CHG,152,0,132,,,
CHS,103,0,100,,,
CMI,33,48,166,,,
COC,143,1,165,,,
COL,0,33,385,,,
DAR,57,0,257,,,
DER,71,9,364,,,
DEW,0,99,81,,,
DGE,0,21,332,,,
DID,101,1,280,,,
DRY,93,0,265,,,
DVH,46,20,233,,,
EBH,1,29,387,,,
ESU,0,46,439,,,
FAZ,217,2,128,,,
FGH,0,92,3,,,
FRM,177,0,150,,,
FRY,339,0,126,,,
GEO,61,1,99,,,
GGH,73,4,191,,,
GHS,37,1,317,,,
GLO,299,3,99,,,
GWH,95,0,181,,,
HAR,0,148,70,,,
HCH,154,0,132,,,
HIL,0,35,164,,,
HIN,0,143,63,,,
HOM,12,2,69,,,
HOR,5,13,129,,,
HRI,284,4,213,,,
HUD,0,118,287,,,
IOW,131,1,108,,,
IPS,294,0,138,,,
JPH,193,11,174,,,
KCH,0,15,75,,,
KGH,0,195,0,,,
KMH,0,154,114,,,
KSX,0,19,149,,,
KTH,239,1,100,,,
LDH,0,156,72,,,
LER,279,13,445,,,
LEW,102,0,71,,,
LGH,23,0,86,,,
LGI,19,83,540,,,
LIN,0,0,365,,,
LIS,33,13,71,,,
LON,0,127,4,,,
MAC,0,5,236,,,
MAI,0,37,96,,,
MAY,151,1,138,,,
MDW,218,0,126,,,
MKH,25,0,81,,,
MPH,185,1,196,,,
MRI,0,15,151,,,
NCR,44,17,337,,,
NDD,0,13,212,,,
NGS,195,4,277,,,
NHH,123,1,92,,,
NMH,82,0,60,,,
NOB,0,8,64,,,
NOR,472,0,269,,,
NTG,193,1,95,,,
NTH,0,193,136,,,
NTY,166,0,138,,,
NUN,84,0,146,,,
NWG,21,0,81,,,
OHM,36,0,115,,,
OLD,205,9,187,,,
PAH,161,0,111,,,
PET,231,0,142,,,
PGH,5,6,855,,,
PIL,61,2,234,,,
PIN,15,70,224,,,
PLY,0,219,290,,,
PMS,248,0,115,,,
QAP,510,1,143,,,
QEB,109,0,213,,,
QEG,141,0,146,,,
QEQ,239,1,192,,,
QEW,73,4,91,,,
QKL,166,1,154,,,
RAD,200,3,237,,,
RBE,273,0,163,,,
RCH,163,1,291,,,
RDE,309,0,238,,,
RED,12,8,197,,,
RFH,31,4,167,,,
RLI,0,159,106,,,
RLU,120,0,224,,,
ROT,94,0,183,,,
RPH,9,2,364,,,
RSC,0,48,403,,,
RSS,0,1,306,,,
RSU,224,0,117,,,
RUS,304,0,139,,,
RVN,228,2,196,,,
SAL,133,1,92,,,
SAN,53,30,268,,,
SCA,0,102,137,,,
SCM,105,0,298,,,
SCU,54,0,176,,,
SDG,0,2,218,,,
SEH,0,172,272,,,
SGH,255,3,297,,,
SHC,36,33,304,,,
SHH,0,80,161,,,
SLF,0,0,214,,,
SMV,137,0,226,,,
SOU,0,101,113,,,
SPH,294,0,110,,,
STD,20,5,159,,,
STH,28,0,167,,,
STM,36,0,95,,,
STO,216,1,182,,,
STR,82,0,238,,,
SUN,202,0,169,,,
TGA,30,23,87,,,
TLF,0,1,204,,,
TOR,0,28,367,,,
TRA,43,0,48,,,
UHC,57,100,315,,,
UHN,269,4,386,,,
VIC,111,2,343,,,
WAR,125,2,162,,,
WAT,257,0,164,,,
WCI,0,39,63,,,
WDH,0,0,255,,,
WES,2,0,114,,,
WEX,0,217,134,,,
WGH,68,4,144,,,
WHC,0,14,302,,,
WHH,178,0,93,,,
WHT,42,0,101,,,
WIR,0,27,81,,,
WMU,55,0,157,,,
WRC,12,150,239,,,
WRG,139,0,311,,,
WSH,153,0,138,,,
WYT,0,56,231,,,
YDH,190,0,153,,,
YEO,50,1,124,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
