Transaction date,Transaction Amount,Merchant Name,Comments (Additional Context)
09/01/12,1074.60,WP-PRINCIPAL MEDIA,Attendance at the Learning Technologies Conference
09/01/12,1074.60,WP-PRINCIPAL MEDIA,Attendance at the Learning Technologies Conference
30/01/12,1030.00,WWW.NEOPOST.CO.UK,Franking machine top-up (postage)
13/01/12,1006.00,FRANCOTYP,Franking machine top-up (postage)
30/01/12,1006.00,FRANCOTYP,Franking machine top-up (postage)
25/01/12,824.00,WWW.NEOPOST.CO.UK,Franking machine top-up (postage)
18/01/12,518.00,FRANCOTYP,Franking machine top-up (postage)
03/01/12,515.00,WWW.NEOPOST.CO.UK,Franking machine top-up (postage)
03/01/12,515.00,WWW.NEOPOST.CO.UK,Franking machine top-up (postage)
16/01/12,515.00,WWW.NEOPOST.CO.UK,Franking machine top-up (postage)
18/01/12,515.00,WWW.NEOPOST.CO.UK,Franking machine top-up (postage)
24/01/12,506.00,WWW.FPMAILING.CO.UK,Franking machine top-up (postage)
30/01/12,506.00,FRANCOTYP,Franking machine top-up (postage)
