?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOUSING REVENUE ACCOUNT,B300,NSH ADMINISTRATION FEE,01/05/2012,1125887,11816.63,NEWARK AND SHERWOOD HOMES LTD,400001
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,COMPUTER SOFTWARE MAINTENANCE,04/05/2012,208738,2152.6,ADVANCED BUSINESS SOLUTIONS,100887
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,COMPUTER SOFTWARE MAINTENANCE,04/05/2012,208737,4430.05,ADVANCED BUSINESS SOLUTIONS,100887
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,04/05/2012,208951,504,REDACTED PERSONAL DATA,101221
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,EMPTY PAIL CLOSETS,04/05/2012,209042,540.19,ALPHEUS ENVIRONMENTAL LTD,100011
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,EMPTY PAIL CLOSETS,04/05/2012,209043,540.19,ALPHEUS ENVIRONMENTAL LTD,100011
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,EMPTY PAIL CLOSETS,04/05/2012,209044,540.19,ALPHEUS ENVIRONMENTAL LTD,100011
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,SEWAGE WORKS ROUTINE MAINTNCE,04/05/2012,209041,1922.67,ALPHEUS ENVIRONMENTAL LTD,100011
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,SEWAGE WORKS ROUTINE MAINTNCE,04/05/2012,209044,1922.67,ALPHEUS ENVIRONMENTAL LTD,100011
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,EMPTY PAIL CLOSETS,25/05/2012,210128,2676.74,ALPHEUS ENVIRONMENTAL LTD,100011
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROMOTION OF EVENTS,15/05/2012,209580,1145.34,AMACITIA,101593
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,STALL CLEARANCE,18/05/2012,209641,9493.33,ANDREW GEORGE HARRISON LTD,100012
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROFESSIONAL SERVICES,25/05/2012,210043,900,APOLLO CREATIVE SERVICES,101566
