Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/15/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,122693,"130,190.00",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/14/11,OTHER CREDITORS < ONE YEAR,BS CREDITOR PAYROLL,HM REVENUE AND CUSTOMS,504PH00146988 YR11MTH7,"28,043.80",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/25/11,HEALTHCARE FROM COMMERCIAL SECTOR,CONTRACTING FINANCE,HUGH JAMES INVOLEGAL LLP,RESTITUTION PAYMENTS 18-NOV-11,"36,005.07",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/29/11,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,MARIE CURIE CANCER CARE,38787,"52,421.00",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/04/2011,SERVICES FROM PCTS,CENTRAL FINANCE,NEWCASTLE PCT,64001209,"45,759.45",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/01/2011,SERVICES FROM PCTS,CENTRAL FINANCE,NEWCASTLE PCT,64001224,"1,081,216.75",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/25/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0171457,"149,260.56",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/04/2011,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0173055,"155,988.21",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/25/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0173063,"151,387.41",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/25/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0174485,"257,306.77",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/25/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0175922,"164,226.98",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/25/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0175932,"172,706.21",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/15/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0175941,"6,276,141.66",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/15/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0175959,"70,091.66",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/04/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NHS LOTHIAN,S0006614,"47,195.00",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/25/11,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NHS LOTHIAN,S0006969,"95,314.57"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/15/11,OTHER CREDITORS < ONE YEAR,BS CREDITOR PAYROLL,NHS PENSIONS AGENCY,EA0324 GP YR11MTH07,"428,281.74"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/29/11,BUILDING  CONTRACTS,CENTRAL FINANCE,NORLAND MANAGED SERVICES LTD,S00218873,"26,901.79"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/04/2011,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,16123996,"142,074.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/04/2011,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,16124716,"72,523.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/04/2011,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,16124717,"72,523.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/15/11,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,16124852,"72,523.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/08/2011,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,32310,"294,109.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/08/2011,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,32323,"651,922.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/08/2011,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,32336,"28,376.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/01/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,65002076,"725,038.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/01/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,65002077,"1,733,154.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/15/11,SERVICES FROM LOCAL AUTHORITIES,CENTRAL FINANCE,NORTHUMBERLAND COUNTY COUNCIL,54640,"75,000.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/25/11,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,54942,"126,496.16"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/22/11,SERVICES FROM LOCAL AUTHORITIES,CENTRAL FINANCE,NORTHUMBERLAND COUNTY COUNCIL,55175,"1,034,500.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/29/11,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,55876,"3,107,721.91"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/29/11,HEALTHCARE FROM LOCAL AUTHORITIES,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,55878,"250,062.64"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/29/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,521777,"37,194.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/15/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,523469,"3,737,754.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/15/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,523483,"123,852.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/29/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,523674,"52,829.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/04/2011,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,61097,"158,086.39"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/15/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,61842,"16,004,315.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/29/11,LEASE RENTS,CENTRAL FINANCE,PRIME PUBLIC PARTNERSHIPS LTD,LI06000551,"103,042.80"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/29/11,LEASE RENTS,CENTRAL FINANCE,PRIME PUBLIC PARTNERSHIPS LTD,LI06000583,"37,530.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/25/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,M0061581,"25,491.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/22/11,SERVICES FROM PCTS,CENTRAL FINANCE,SOUTH TYNESIDE PCT,3794,"102,287.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/25/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,185200,"41,120.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/25/11,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,OP/M287476,"29,812.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/25/11,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1000010332,"41,841.30"
Department of Health,Nothumberland Primary Care Trust,11/29/11,OTHER CREDITORS < ONE YEAR,BS DEBTOR,HM REVENUE AND CUSTOMS,504PH001469882011,"49,288.95"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),11/15/11,PMS,Contractual ,Dr Anderson & Partners,,"173,673.02"
