Org Code Desc,Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,29-Jan-2016,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1343152,"56,815.90"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,29-Jan-2016,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1343152,"11,363.18"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,29-Jan-2016,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1343152,"-11,363.18"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,29-Jan-2016,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1343152,"-11,363.18"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,29-Jan-2016,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1343152,"11,363.18"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,"8,198.40"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,"1,232.80"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,592.00
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,"1,100.80"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,547.20
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,592.00
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,"16,876.80"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,"1,532.80"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,"3,375.36"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,"1,639.68"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,246.56
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,118.40
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,220.16
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,109.44
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,118.40
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,CARDIAC SERVICES LTD,G-INV232465,306.56
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,29-Jan-2016,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1503/2041,"25,464.18"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,29-Jan-2016,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1503/2041,"5,092.84"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,22-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,DRAEGER MEDICAL UK LTD,918276431,"33,028.51"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,22-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,DRAEGER MEDICAL UK LTD,918276431,-0.01
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,22-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,DRAEGER MEDICAL UK LTD,918276431,"6,605.70"
AIREDALE NHS FOUNDATION TRUST,INTERGRATED MEDICAL GROUP,PHARMACY,29-Jan-2016,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/5184403,"39,325.00"
AIREDALE NHS FOUNDATION TRUST,INTERGRATED MEDICAL GROUP,PHARMACY,29-Jan-2016,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/5238914,"45,045.00"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,HUMAN RESOURCES,15-Jan-2016,EXTERNAL CONSULTANCY FEES,HUMAN RESOURCES,INSIGHT DIRECT (UK) LTD,2648828,"56,158.00"
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,HUMAN RESOURCES,15-Jan-2016,EXTERNAL CONSULTANCY FEES,HUMAN RESOURCES,INSIGHT DIRECT (UK) LTD,2648828,"11,231.60"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,22-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,MINDRAY (UK) LTD,610032489,393.75
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,22-Jan-2016,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,MINDRAY (UK) LTD,610032489,750.00
