"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","4","2.00","101000","121200","Chief Analyst","1.00","Statisticians"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","4","3.00","80800","101000","Senior Analyst","2.00","Statisticians"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","4","4.00","60600","80800","Analyst","2.00","Statisticians"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","4","4.00","60600","80800","VFM Research Manager","1.00","Statisticians"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","4","4.00","60600","80800","Corporate Finance Analyst","1.00","Statisticians"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","4","4.00","60600","80800","Project Executive","1.00","Statisticians"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","3","2.00","101000","121200","Head of Compliance","1.00","Operational Delivery"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","3","3.00","80800","101000","Senior Financial Analyst","2.00","Statisticians"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","3","5.00","25250","45450","Associate Financial Analyst","1.00","Finance"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","3","5.00","25250","45450","Compliance Officer","1.00","Operational Delivery"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","2","2.00","101000","121200","Head of IT and IM","1.00","Information Technology"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","2","2.00","101000","121200","Head of Legal Services","1.00","Law"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","2","2.00","101000","121200","Head of Governance and Chief Executive's Office","1.00","Operational Delivery"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","2","4.00","60600","80800","Private Secretary","1.00","Other"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","2","4.00","60600","80800","Deputy Head of Governance","1.00","Other"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","2","4.00","60600","80800","Publications Officer","1.00","Communications"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","2","4.00","60600","80800","HR Manager","1.00","Human Resources"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","2","4.00","60600","80800","Financial Statements and Reporting Manager","1.00","Finance"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","2","5.00","25250","45450","PA to the Directors","1.00","Other"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","2","5.00","25250","45450","Finance Manager","1.00","Finance"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","2","5.00","25250","45450","IT Support Analyst","1.00","Information Technology"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","5","3.00","80800","101000","Senior Regulatory Policy Manager","2.00","Policy"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","5","4.00","60600","80800","Policy Manager","2.00","Policy"
"Ministry of Defence","Single Source Regulations Office","Single Source Regulations Office","5","5.00","25250","45450","Graduate Researcher","2.00","Policy"
