Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - NICE International,HEALTH INTERVENTION & TECHNOLOGY ASSESSMENT PROGRAMME,17365588,"117,094.02",International Decision support Initiative - final payment,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - Medical Technologies Evaluation Programme,UNIVERSITY OF BIRMINGHAM,17365632,"177,250.00",Evaluation Pathways external assessment centre Quarter 2 Year 2,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGISTS,17365663,"50,000.00",Resources for Obstetric work stream for IPCHR,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - Medical Technologies Evaluation Programme,KINGS COLLEGE LONDON,17365696,"222,557.10","Evaulation Pathways External Assessment Centre quarter 3, Year 2",,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,17367606,"126,381.34","Rail, hotel & flight costs for November 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PHYSICIANS,17402967,"980,685.00",National Collaborating Centre Quarter 3 Year 2015/16,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - NICE International,UNIVERSITY OF GLASGOW,17420405,"28,060.00",Development process to assess compliance of applications for funding,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - Surveillance and Methodology,UNIVERSITY OF SHEFFIELD,17420417,"30,000.00",Evidence reviews for NICE Guidance on Harmful Sexual Behaviour Milestone 16.10.15,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - Surveillance and Methodology,UNIVERSITY OF SHEFFIELD,17420434,"30,000.00",Evidence reviews for NICE Guidance on Harmful Sexual Behaviour Milestone 01.07.15,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,"Books, Journals & Subscr",NP - National Core Content HEE,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,17420449,"117,249.00",Licences for access to different medical databases,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - Social Care Guidance and QA,SOCIAL CARE INSTITUTE FOR EXCELLENCE,17439197,"479,646.30",NICE Collaborating Centre for Social Care quarter 3 2015/16,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,17440974,"77,279.07","Rail, hotel & flight costs for December 2015",,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Service Charge,NP - Facilities - London,BRITISH COUNCIL,17493295,"23,791.42",Service charge payment for office space at 10 Spring Gardens 01/01/2016-31/03/2016,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Rent,NP - Facilities - London,BRITISH COUNCIL,17493295,"193,121.91",Rent payment for office space at 10 Spring Gardens 25/12/2015-24/03/2016,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PHYSICIANS,17493313,"106,020.00",National Collaborating Centre 2015/16 - additional,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP-CP Guidelines,UNIVERSITY OF BRISTOL,17551838,"37,500.00","Clinical guidelines Technical support unit quarter 3, 15/16",,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - Surveillance and Methodology,ROYAL COLLEGE OF PSYCHIATRISTS,17570842,"48,000.00",Dual diagnosis Systematic Review Aug-Oct 2015,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - Medical Technologies Evaluation Programme,UNIVERSITY OF BIRMINGHAM,17570912,"149,816.00",Evaluation Pathways external assessment centre Quarter 1 Year 2,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - BNF,ROYAL PHARMACEUTICAL SOCIETY,17591768,"985,000.00",BNF Production and Delivery,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Computer Hardware Purch,NP-IT,SOFTCAT LTD,17591806,"74,857.01",Pure Storage virtual maintenance and support,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - Surveillance and Methodology,UNIVERSITY OF SHEFFIELD,17652679,"30,000.00",Evidence reviews for NICE Guidance on Harmful Sexual Behaviour Milestone 10.09.15,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - QOF and Indicators,UNIVERSITY OF BIRMINGHAM,17652686,"62,500.00",Quality and Outcomes Framework (QOF) Piloting of Quality Indicators Year 3 Quarter 3,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - NICE International,CENTER FOR GLOBAL DEVELOPMENT,17652701,"35,953.57",International Decision support Initiative Project,,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,17711080,"112,352.02","Rail, hotel & flight costs for January 2016",,,,,
Department of Health,National Institute for Health & Care Excellence,29/02/2016,Contr Other External,NP - BNF,RPS PUBLISHING,17755519,"171,679.59",BNF printing costs,,,,,
