Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Voids maintenance - HRA,Routine Maintenance,20-Jan-2016,200028430,FCC Recycling (UK) Ltd,630.00
Barrow Borough Council,Forum 28,Specialised work,06-Jan-2016,200028249,FTS Fire & Secuirty Ltd,996.00
Barrow Borough Council,The park leisure centre,Electricity,20-Jan-2016,200028473,NPower,"5,468.90"
Barrow Borough Council,Pantomime - Jack and The Beanstalk - 14.12.15 - 30.12.15,Equipment rental,13-Jan-2016,200028349,Linney PA Systems,"1,480.00"
Barrow Borough Council,Internal audit,Internal audit contract,27-Jan-2016,200028582,Furness Audit Ltd,"13,691.67"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,20-Jan-2016,200028435,Rixonway Kitchens (Cum) Ltd,950.07
Barrow Borough Council,Voids maintenance - HRA,Void repairs,06-Jan-2016,200028291,AB Mitchell Developments,"5,176.59"
Barrow Borough Council,Finance Department,Long service awards,20-Jan-2016,200028394,Goldsmiths,509.50
Barrow Borough Council,Dock museum,Equipment purchase,20-Jan-2016,200028481,Victoria Powell,541.67
Barrow Borough Council,Finance Department,Professional fees,27-Jan-2016,200028527,Version 1,"9,541.43"
Barrow Borough Council,Salthouse Road Depot,Electricity,20-Jan-2016,200028473,NPower,"1,531.24"
Barrow Borough Council,Forum 28,Specialised work,20-Jan-2016,200028432,Ward Contracting Ltd,"37,345.62"
Barrow Borough Council,Forum 28,Long service awards,20-Jan-2016,200028394,Goldsmiths,558.50
Barrow Borough Council,Estates management,Buildings repairs and maintenance,06-Jan-2016,200028269,Vinci Construction UK Ltd,"2,273.28"
Barrow Borough Council,Major works maintenance - HRA,Communal entrances,27-Jan-2016,200028567,Keith Wilson Elec Con Ltd,"1,220.00"
Barrow Borough Council,The markets,Electricity,06-Jan-2016,200028270,NPower,811.54
Barrow Borough Council,Development control,Professional fees,13-Jan-2016,200028315,R Stockley,"1,800.00"
Barrow Borough Council,Customer services,Customer services contract,13-Jan-2016,200028361,Liberata Uk Ltd,"8,918.77"
Barrow Borough Council,Licensing,Professional fees,06-Jan-2016,200028281,Ark Givendale Ltd,"2,045.88"
Barrow Borough Council,Homeless families and dispersed accommodation - HRA,Professional fees,27-Jan-2016,200028526,James Andrews Recruitment Solutions,"1,268.19"
Barrow Borough Council,Barrow park,Professional fees,13-Jan-2016,200028365,JC Blyth,"1,085.09"
Barrow Borough Council,Recycling,Recycling credits from contractor,13-Jan-2016,200028312,Biffa Waste Services Ltd,"-16,242.92"
Barrow Borough Council,Universal Credit,Professional fees,13-Jan-2016,200028361,Liberata Uk Ltd,544.20
Barrow Borough Council,Dock museum,Buildings repairs and maintenance,13-Jan-2016,200028346,MB Moffatt Ltd,883.00
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,06-Jan-2016,200028285,Rexel UK Ltd,594.58
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,20-Jan-2016,200028372,AB Mitchell Developments,550.00
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,06-Jan-2016,200028277,SBP Ltd - Permadoor,"6,151.38"
Barrow Borough Council,The park leisure centre,Professional fees,20-Jan-2016,200028389,Ulverston Health Club,"1,408.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,06-Jan-2016,200028291,AB Mitchell Developments,850.00
