Body,Body Name,Posting Date,Transaction number,Amount,Supplier name,Supplier ID,Service Area,Expense Type,Expense Code,Type
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076344,"2,240.00 ",ACS Systems UK Ltd,10014,Central Area Sports Centre,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,10/10/2011,20076158,950.00 ,Advance Monitoring Solutions,13726,Insurances Provision,Claims met by Insurance Fund,4482,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,26/10/2011,20076563,"1,250.00 ",Advance Monitoring Solutions,13726,Depot Holding Account,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076502,"1,096.52 ",allpay.net Limited,12681,Council Tax Collection,Giro/Allpay Charges,4448,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076503,"1,278.64 ",allpay.net Limited,12681,Council Tax Collection,Giro/Allpay Charges,4448,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,05/10/2011,20076068,669.17 ,Amazon Leisure UK Ltd,15159,Matlock Swimming Pool,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/10/2011,20076590,"1,727.37 ",Andersons Solicitors,10051,Democratic Services,Legal Fees,4408,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,12/10/2011,20076201,"1,036.00 ",Anthony Collins Solicitors LLP,15010,Democratic Services,Legal Fees,4408,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/10/2011,20076111,"2,524.32 ",Arval PHH Receipts No.2,13095,Vehicles & Plant,Fuel Oil,3122,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/10/2011,20076269,723.17 ,Arval PHH Receipts No.2,13095,Vehicles & Plant,Fuel Oil,3122,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/10/2011,20076269,"2,428.81 ",Arval PHH Receipts No.2,13095,Vehicles & Plant,Fuel Oil,3122,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076382,"2,630.31 ",Arval PHH Receipts No.2,13095,Vehicles & Plant,Fuel Oil,3122,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,25/10/2011,20076531,"3,326.10 ",Arval PHH Receipts No.2,13095,Vehicles & Plant,Fuel Oil,3122,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,30005192,633.31 ,Audit Commission,10119,Performance Review,Audit Fees,4445,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,30005192,"1,215.98 ",Audit Commission,10119,Performance Review,Audit Fees,4445,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,30005192,"4,560.71 ",Audit Commission,10119,Final Accounts,Audit Fees,4445,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,30005192,"4,122.50 ",Audit Commission,10119,Housing & Council Tax Benefits,Audit Fees,4445,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076388,"2,092.29 ",B & B Tractors,13855,Vehicles & Plant,"Vehicle Parts, Servicing & Repairs",3110,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,31/10/2011,20076629,606.17 ,B & B Tractors,13855,Vehicles & Plant,"Vehicle Parts, Servicing & Repairs",3110,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,12/10/2011,20076217,625.00 ,BACR Education Consortium,12256,Wirksworth Sports Centre,Seminars & Short Courses,1485,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,12/10/2011,20076218,625.00 ,BACR Education Consortium,12256,Arc Leisure Matlock,Seminars & Short Courses,1485,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,05/10/2011,20076087,722.50 ,Badenoch & Clark,14095,Housing & Council Tax Benefits,Temporary Agency Staff,1201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,25/10/2011,20076547,675.75 ,Badenoch & Clark,14095,Housing & Council Tax Benefits,Temporary Agency Staff,1201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,25/10/2011,20076548,697.00 ,Badenoch & Clark,14095,Housing & Council Tax Benefits,Temporary Agency Staff,1201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,11/10/2011,20076177,"2,080.00 ",Barleymans,10164,Agricultural Business Centre Bakewell,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,10/10/2011,20076159,"1,615.90 ",Bpi.Recycled Products,10224,Cleansing Contract Holding Account,Skip Hire/Waste Disposal,4008,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,11/10/2011,20076170,"5,044.48 ",British Gas Business,15162,Provision of Car Park Matlock Lido,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,07/10/2011,30005141,"7,308.94 ",British Telecom PLC,10252,Information Technology,Telephone Leased Lines & Broadband,4542,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/10/2011,20076456,"1,267.57 ",British Telecom PLC,10252,Customer Contact Team,Telephone Rental and Charges,4502,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/10/2011,20076434,"1,083.33 ",C Farmer Ltd,10611,Central Area Sports Centre,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/10/2011,20076435,"1,670.83 ",C Farmer Ltd,10611,Central Area Sports Centre,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/10/2011,20076436,"4,115.83 ",C Farmer Ltd,10611,Central Area Sports Centre,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/10/2011,20076437,750.00 ,C Farmer Ltd,10611,Central Area Sports Centre,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076467,"1,166.16 ",C.S.B. Contract Services Ltd,12471,Agricultural Business Centre Bakewell,Contract Cleaning,2703,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076467,"5,176.41 ",C.S.B. Contract Services Ltd,12471,Matlock Town Hall,Contract Cleaning,2703,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076507,616.50 ,CF Asset Finance Limited,13678,Vehicles & Plant,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,05/10/2011,20076067,"8,850.00 ",Concrete & Timber Services Ltd,13494,Central Area Sports Centre,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/10/2011,20076306,918.00 ,Continental Sports Ltd,12738,Sports Development,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076338,894.00 ,Copyright Licensing Agency Ltd,10394,Corporate Management,Copyright,4886,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,12/10/2011,20076211,"1,000.00 ",Countyloos Ltd,15094,Public Conveniences - Maintenance,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,12/10/2011,20076212,625.00 ,Countyloos Ltd,15094,Public Conveniences - Maintenance,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,07/10/2011,20076114,688.78 ,Cutts Brothers (Doncaster) Ltd,14194,Recycling - Paper,Contract Payments,5610,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,18/10/2011,20076318,556.38 ,Daisy Communications Ltd,14938,Customer Contact Team,Telephone Calls,4541,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/10/2011,20076587,500.00 ,Derbys & Notts Chamber of Commerce & Industry,12489,Tourism - General,Tourism Promotions,4838,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,05/10/2011,20076071,"8,061.64 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076458,"5,436.00 ",Derbyshire County Council,10506,Local Land Charges,DCC - Search Fees,4470,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,14/10/2011,20076247,"17,109.00 ",Derbyshire Dales CVS,10489,Homelessness,Revenue Grants,4704,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,14/10/2011,20076248,"2,500.00 ",Derbyshire Housing Aid,10503,Homelessness,Revenue Grants,4704,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076404,"7,500.00 ",Derventio Housing Trust CIC,14820,Homelessness,Revenue Grants,4704,Revenue
