Data is Unweighted,,,Q5,,,,,,,,,,,,,,,,,,Q6,,,,,,,,,,,,,,,,,,,,,,,,Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,"For each of the statements below, how often do you feel this way about your job?",,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your job?,,,,,,,,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This sheet contains questions relating to: job design and work pressure, and being respected and valued at work",,,a) I look forward to going to work,,,,,,b) I am enthusiastic about my job,,,,,,c) Time passes quickly when I am working ,,,,,,"a) I have clear, planned goals and objectives for my job",,,,,,b) I always know what my work responsibilities are,,,,,,c) I am trusted to do my job,,,,,,d) I am able to do my job to a standard I am personally pleased with,,,,,,a) There are frequent opportunities for me to show initiative in my role,,,,,,b) I am able to make suggestions to improve the work of my team / department,,,,,,c) I am involved in deciding on changes introduced that affect my work area / team / department,,,,,,d) I am able to make improvements happen in my area of work,,,,,,e) I am unable to meet all the conflicting demands on my time at work,,,,,,"f) I have adequate materials, supplies and equipment to do my work",,,,,,g) There are enough staff at this organisation for me to do my job properly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALL TRUSTS,--,4,11,33,36,16,"100,408",2,6,25,37,31,"100,179",2,4,20,34,40,"100,247",2,8,17,54,18,"100,404",2,6,9,55,29,"100,624",1,2,6,50,40,"100,571",3,9,9,47,32,"100,412",3,10,18,51,19,"100,333",3,8,15,54,19,"100,413",8,18,23,37,14,"100,257",5,15,25,41,13,"100,045",5,24,28,31,12,"99,718",6,18,19,47,9,"100,181",18,30,22,25,5,"100,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALL ACUTE TRUSTS,--,4,11,33,36,16,"63,587",2,5,25,37,32,"63,444",2,4,19,34,41,"63,489",2,7,17,55,19,"63,589",1,5,7,55,31,"63,742",1,2,5,50,42,"63,705",2,9,9,47,33,"63,601",3,10,19,50,19,"63,544",3,8,15,54,19,"63,605",7,18,23,38,14,"63,506",5,15,26,41,13,"63,387",4,24,29,31,11,"63,119",6,19,19,47,9,"63,453",18,30,22,25,5,"63,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACUTE (SPECIALIST) TRUSTS,--,4,10,32,37,17,"6,674",2,5,24,38,31,"6,668",2,3,19,35,40,"6,666",2,7,16,56,19,"6,680",1,6,7,56,29,"6,690",1,2,6,51,40,"6,677",2,8,9,49,32,"6,679",2,9,18,50,20,"6,671",2,7,15,55,21,"6,674",6,16,22,40,16,"6,665",4,13,25,43,15,"6,659",4,26,29,30,11,"6,626",4,14,18,52,11,"6,656",13,27,22,31,7,"6,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS,Alder Hey Children's NHS Foundation Trust,Q31,6,14,35,33,12,383,2,7,29,35,27,383,3,5,22,37,34,385,3,13,17,50,17,383,2,6,8,54,31,383,1,2,4,49,44,382,2,11,7,43,36,384,4,9,18,51,18,380,3,9,18,52,17,380,8,22,20,37,13,378,6,20,26,38,11,379,4,22,26,36,12,381,7,19,19,47,9,382,25,31,23,18,3,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ3,Birmingham Children's Hospital NHS Foundation Trust,Q34,5,12,36,35,12,365,2,7,26,36,29,364,2,3,23,34,38,365,2,7,18,55,17,363,2,5,11,59,24,365,1,3,7,49,40,364,3,11,10,45,31,364,4,10,14,54,18,365,3,10,15,52,20,365,7,18,21,41,13,365,5,13,29,43,10,364,4,20,29,32,15,363,4,17,22,47,10,363,18,30,20,25,6,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLU,Birmingham Women's NHS Foundation Trust,Q34,4,13,35,35,14,398,1,7,27,38,27,397,3,4,18,40,36,400,1,8,16,58,16,395,1,6,8,61,23,398,2,2,7,53,38,399,1,11,8,52,28,395,1,11,19,49,19,395,2,7,15,56,21,396,5,17,27,39,12,395,2,14,29,41,14,395,4,25,30,29,12,394,4,18,18,51,9,395,18,28,22,26,6,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,Q36,1,9,27,42,21,350,1,5,19,41,35,350,1,3,17,34,46,350,1,4,17,60,18,352,1,5,6,55,33,351,0,2,5,45,47,350,2,6,6,49,36,351,2,8,13,48,28,351,3,7,10,51,29,351,5,12,21,39,23,350,3,9,22,47,19,352,5,30,19,34,12,350,4,17,16,53,11,352,11,26,19,38,7,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBQ,Liverpool Heart and Chest NHS Foundation Trust,Q31,4,12,30,38,16,381,2,5,20,36,37,381,2,3,17,33,45,380,1,6,12,59,23,381,1,4,4,54,37,381,0,2,5,49,44,380,2,8,8,43,39,379,3,8,15,53,21,380,3,8,14,51,23,380,6,18,18,37,21,379,3,13,22,41,20,379,5,28,28,30,8,376,3,11,13,58,15,377,13,26,26,27,8,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REP,Liverpool Women's NHS Foundation Trust,Q31,6,15,35,32,11,394,3,8,27,36,26,394,1,4,20,37,38,391,3,6,21,57,14,394,2,7,9,59,23,396,2,2,8,56,32,396,4,11,14,48,23,396,4,11,24,44,16,397,3,10,19,51,17,396,8,21,23,35,13,396,6,19,30,34,11,395,4,16,33,37,11,396,10,21,19,42,7,396,32,37,15,14,3,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
