No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Transfer ADAIR,Stage 2 - Total,Stage 3 - Transfer BOYLE,Stage 3 - Total,Stage 4 - Transfer CARSON,Stage 4 - Total,Stage 5 - Transfer EDMUND,Stage 5 - Total,Stage 6 - Exclusion BUSTARD,Stage 6 - Total,Stage 7 - Exclusion MCCORMICK - LEEMAN,Stage 7 - Total,Stage 8 - Exclusion BAILIE,Stage 8 - Total
1,ADAIR,Robert Hugh,Democratic Unionist Party - D.U.P.,Elected - Stage 1,1773,-738,1035,0,1035,0,1035,0,1035,0,1035,0,1035,0,1035
2,ARMSTRONG,Kellie Mary,Alliance Party,Elected - Stage 8,439,18.49,457.49,148.2,605.69,13.77,619.46,1.1,620.56,29.91,650.47,211.53,862,212,1074
3,BAILIE,Sheila,Sinn Fein,Excluded - Stage 7,388,2.58,390.58,144.9,535.48,0.34,535.82,0.1,535.92,2.9,538.82,18.87,557.69,-557.69,0
4,BOYLE,Joseph Timothy,SDLP (Social Democratic & Labour Party),Elected - Stage 1,1387,0,1387,-352,1035,0,1035,0,1035,0,1035,0,1035,0,1035
5,BUSTARD,John David,NI21,Excluded - Stage 5,114,3.87,117.87,7.2,125.07,6.63,131.7,0.4,132.1,-132.1,0,0,0,0,0
6,CARSON,Angus Yeaman,Ulster Unionist Party,Elected - Stage 1,1199,0,1199,0,1199,-164,1035,0,1035,0,1035,0,1035,0,1035
7,EDMUND,Nigel,Democratic Unionist Party - D.U.P.,Elected - Stage 2,621,538.79,1159.79,0,1159.79,0,1159.79,-124.79,1035,0,1035,0,1035,0,1035
8,LEEMAN,Paul,NI Conservatives,Excluded - Stage 6,161,19.35,180.35,5.4,185.75,29.92,215.67,4.5,220.17,26.54,246.71,-246.71,0,0,0
9,MCCORMICK,Colin Robert,Alliance Party,Excluded - Stage 6,146,4.73,150.73,39.6,190.33,9.69,200.02,0.7,200.72,19.37,220.09,-220.09,0,0,0
10,THOMPSON,Edward Burns,Democratic Unionist Party - D.U.P.,Elected - Stage 8,456,79.12,535.12,3.9,539.02,65.96,604.98,92.9,697.88,14.23,712.11,76.56,788.67,11.33,800
11,WALLACE,Louise Sara Alexandra,Democratic Unionist Party - D.U.P.,Excluded - Stage 8,559,57.19,616.19,2.1,618.29,35.7,653.99,15.9,669.89,8.29,678.18,23.23,701.41,1.9,703.31
Non transferable,,,,,,13.88,13.88,0.7,14.58,1.99,16.57,9.19,25.76,30.86,56.62,136.61,193.23,332.46,525.69
Totals,,,,,7243,,7243,,7243,,7243,,7243,,7243,,7243,,7243
