DEPARTMENT FAMILY,ENTITY,DATE,EXPENSE,EXPENSE AREA,SUPPLIER,TRANSACTION NUMBER ,AMOUNT,VAT REG,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,23-Dec-10,CONTRACTUAL CLINICAL SERVICES,GENERAL SURGERY,LIVERPOOL WOMENS NHS FOUNDATION TRUST,321380,25000,0,,,,,
DEPARTMENT OF HEALTH,CAPITAL SCHEMES,17-Dec-10,CAPITAL WORKS,CAPITAL SCHEMES,ATHRODAX HEALTHCARE INTERNATIONAL LTD,319649,25533.34,0,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,23-Dec-10,AGENCY PROF AND TECH,PALLIATIVE CARE,MARIE CURIE CENTRE LIVERPOOL,311530,23200.34,0,,,,,
DEPARTMENT OF HEALTH,TRUST,23-Dec-10,RENT,OTHER FACILITIES SERVICES,VINCI PARK UK LTD,320948,27682.56,0,,,,,
DEPARTMENT OF HEALTH,TRUST,10-Dec-10,CRECHE EXPENSES,OPERATIONAL MANAGEMENT,EDENRED CHILDCARE VOUCHERS LTD,318727,28152.56,0,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,03-Dec-10,BUILDING  CONTRACTS,OTHER FACILITIES SERVICES,LORNE STEWART PLC,316010,24439.68,0,,,,,
DEPARTMENT OF HEALTH,TRUST,03-Dec-10,DRUGS,PHARMACY,ROCHE PRODUCTS LTD,317372,28846.96,0,,,,,
DEPARTMENT OF HEALTH,TRUST,03-Dec-10,CONTRACTUAL CLINICAL SERVICES,NURSING SERVICES,MERSEY CARE NHS TRUST,316309,29006.28,0,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,10-Dec-10,PROSTHESIS,ANAESTHETICS / THEATRES,STRYKER UK LTD,317569,30639.99,0,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,08-Dec-10,WATER & SEWERAGE,FACILITIES,UNITED UTILITIES,318694,31279.58,0,,,,,
DEPARTMENT OF HEALTH,CAPITAL SCHEMES,17-Dec-10,CAPITAL WORKS,CAPITAL SCHEMES,LORNE STEWART PLC,319711,31681.98,0,,,,,
DEPARTMENT OF HEALTH,TRUST,17-Dec-10,DRUGS,PHARMACY,STRYKER UK LTD,319070,33840,0,,,,,
DEPARTMENT OF HEALTH,CAPITAL SCHEMES,17-Dec-10,CAPITAL WORKS,CAPITAL SCHEMES,W BRAITHWAITE AND SONS,320216,34777.97,0,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,17-Dec-10,BLOOD PRODUCTS,CLINICAL HAEMATOLOGY,ALLIANCE HEALTHCARE DISTRIBUTION LTD,318487,39480,0,,,,,
DEPARTMENT OF HEALTH,TRUST,10-Dec-10,COMPUTER SOFTWARE / LICENSE  FEES,INFORMATION SERVICES,SPEECH RECOGNITION CO LTD,309594,39950,0,,,,,
DEPARTMENT OF HEALTH,TRUST,03-Dec-10,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,316915,41470,0,,,,,
DEPARTMENT OF HEALTH,CAPITAL SCHEMES,03-Dec-10,CAPITAL WORKS,CAPITAL SCHEMES,WHITFIELD AND BROWN DEV LTD,316396,41796.17,0,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,23-Dec-10,FP10'S,CLINICAL HAEMATOLOGY,NHS BUSINESS SERVICES AUTHORITY,320668,600.57,0,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,23-Dec-10,FP10'S,DENTAL,NHS BUSINESS SERVICES AUTHORITY,320668,1023.56,0,,,,,
DEPARTMENT OF HEALTH,MEDICAL DIVISION,23-Dec-10,FP10'S,EMERGENCY SERVICES,NHS BUSINESS SERVICES AUTHORITY,320668,26.18,0,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,23-Dec-10,FP10'S,ENT / HEAD & NECK,NHS BUSINESS SERVICES AUTHORITY,320668,116.55,0,,,,,
DEPARTMENT OF HEALTH,MEDICAL DIVISION,23-Dec-10,FP10'S,GASTROENTEROLOGY,NHS BUSINESS SERVICES AUTHORITY,320668,81.13,0,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,23-Dec-10,FP10'S,GENERAL SURGERY,NHS BUSINESS SERVICES AUTHORITY,320668,5533.69,0,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,23-Dec-10,FP10'S,IMAGING,NHS BUSINESS SERVICES AUTHORITY,320668,96.9,0,,,,,
DEPARTMENT OF HEALTH,MEDICAL DIVISION,23-Dec-10,FP10'S,MEDICINE OPERATIONAL SUPPORT,NHS BUSINESS SERVICES AUTHORITY,320668,13084.56,0,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,23-Dec-10,FP10'S,OPHTHALMOLOGY,NHS BUSINESS SERVICES AUTHORITY,320668,13327.75,0,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,23-Dec-10,FP10'S,ORTHOPAEDICS,NHS BUSINESS SERVICES AUTHORITY,320668,2251.52,0,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,23-Dec-10,FP10'S,PHARMACY,NHS BUSINESS SERVICES AUTHORITY,320668,7455.43,0,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,23-Dec-10,FP10'S,UROLOGY,NHS BUSINESS SERVICES AUTHORITY,320668,1307.96,0,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,23-Dec-10,FP10'S,VASCULAR SERVICES,NHS BUSINESS SERVICES AUTHORITY,320668,7.16,0,,,,,
DEPARTMENT OF HEALTH,TRUST,10-Dec-10,CONSUMABLES,VARIOUS DIRECTORATES,CDP LTD,317829,45210.59,0,,,,,
