Summary offences and offences triable only summarily,Current Quarter Month 1,Current Quarter Month 2,Current Quarter Month 3,Q1 2013/2014,Previous Quarter Month 1,Previous Quarter Month 2,Previous Quarter Month 3,Q1 2012/2013
Common assault,18,11,13,42,46,51,38,135
Assaulting a police officer,1,2,1,4,4,8,8,20
Section 4 and 4A Public Order Act 1986,1,0,0,1,2,3,0,5
Destroying or damaging property ,66,31,31,128,182,182,176,540
Unlawful taking of a motor vehicle,0,0,0,0,0,0,0,0
Interference with vehicles,0,0,0,0,0,1,0,1
Section 5 Public Order Act 1986,0,0,2,2,1,2,1,4
Obstructing a police officer,0,0,0,0,2,0,1,3
Drunk and Disorderly,0,2,0,2,3,5,4,12
Indecent exposure,,,,0,,,,0
Simple drunk,0,0,0,0,0,0,0,0
Violent behaviour in a police station ,0,0,0,0,0,0,0,0
Other  summary only offences,3,5,6,14,34,41,30,105
Total,89,51,53,193,274,293,258,825
