"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","National Security Directorate","12500","SMS1","65000","117800","Desk Officer","12.60","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","National Security Directorate","12500","D7","56199","69093","Desk Officer","8.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","National Security Directorate","12500","D6","44732","56786","Desk Officer","33.80","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","National Security Directorate","12500","C5","34193","41258","Desk Officer","22.83","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","National Security Directorate","12500","C4","27405","33108","Desk Officer","55.14","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","National Security Directorate","12500","B3","21889","27902","Desk Officer","17.60","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","National Security Directorate","12500","A2","19805","22119","Desk Officer","9.78","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Defence and International Security Directorate","12600","SMS1","65000","117800","Desk Officer","4.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Defence and International Security Directorate","12600","D7","56199","69093","Desk Officer","11.30","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Defence and International Security Directorate","12600","D6","44732","56786","Desk Officer","19.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Defence and International Security Directorate","12600","C5","34193","41258","Desk Officer","11.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Defence and International Security Directorate","12600","C4","27405","33108","Desk Officer","30.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Defence and International Security Directorate","12600","B3","21889","27902","Desk Officer","10.83","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Defence and International Security Directorate","12600","A2","19805","22119","Desk Officer","5.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","DG Economic & Consular","13300","D6","44732","56786","Desk Officer","1.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","DG Economic & Consular","13300","C5","34193","41258","Desk Officer","1.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Africa Directorate","13200","SMS1","65000","117800","Desk Officer","22.60","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Africa Directorate","13200","D7","56199","69093","Desk Officer","33.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Africa Directorate","13200","D6","44732","56786","Desk Officer","42.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Africa Directorate","13200","C5","34193","41258","Desk Officer","31.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Africa Directorate","13200","C4","27405","33108","Desk Officer","71.50","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Africa Directorate","13200","B3","21889","27902","Desk Officer","27.80","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Africa Directorate","13200","A2","19805","22119","Desk Officer","6.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Europe Directorate","13300","SMS1","65000","117800","Desk Officer","60.00","Policy"
"Foreign and Commonwealth Office","Foreign and Commonwealth Office","Europe Directorate","13300","D7","56199","69093","Desk Officer","44.40","Policy"
