Primary Liable party name,Full Property Address,Current Rateable Value,2017 NDR - Analysis code desc,Account Start date
360 Trading Ltd,"103-105, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",34250,Shop,06/03/2018
Barrow Borough Council,"Stall 17, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",2125,Shop,01/03/2018
Barrow Borough Council,"Stall 20,, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",1900,Shop,17/03/2018
Barrow Borough Council,"Stalls 93, 99 & 105, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",5400,Shop,10/03/2018
Inns And Leisure Limited,"Clarence Hotel, Ulverston Road, Dalton In Furness, Cumbria, LA15 8EF",6500,Public House,20/03/2018
I Parts Wholesale Ltd,"173, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",14000,Shop,01/03/2018
Larimar Property Management Ltd,"Unit 5 At Standsure House, Billings Road, Dalton In Furness, Cumbria, LA13 0SG",1800,Offices,12/03/2018
Lucidity Group Limited,"211, Dalton Road, Barrow In Furness, Cumbria, LA14 1PJ",21250,Shop,09/03/2018
Soa Associates Limited T/A Soa Safety Ltd (In Liq),"Unit 1 At Standsure House, Billings Road, Dalton In Furness, Cumbria, LA13 0SG",1225,Offices,12/03/2018
T W & A Pullin Ltd,"Unit 3c, Park Road, Barrow In Furness, Cumbria, LA14 4EQ",7600,Workshop,16/03/2018
