CPS outcomes by principal offence category Cleveland October 2010,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,123,75.90%,39,24.10%
C Sexual Offences,13,81.30%,3,18.80%
D Burglary,47,95.90%,2,4.10%
E Robbery,7,87.50%,1,12.50%
F Theft And Handling,281,92.10%,24,7.90%
G Fraud And Forgery,7,70.00%,3,30.00%
H Criminal Damage,56,88.90%,7,11.10%
I Drugs Offences,71,91.00%,7,9.00%
J Public Order Offences,121,73.30%,44,26.70%
K All Other Offences (excluding Motoring),59,70.20%,25,29.80%
L Motoring Offences,133,89.90%,15,10.10%
Admin Finalisations,0,0.00%,2,100.00%
TOTAL,918,84.20%,172,15.80%
