Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Postcode,Supplier Type,Contract Number ,Project Code,Expenditure Type 
,,01-Aug-17,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457833RI,"-86,429.66",Skipton House - Building Maint./Repairs Fixed Costs Apr 2017 - Mar 2018,SO53 3YE,LARGE,,,
,,01-Aug-17,Cleaning: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457833RI,"26,189.68",Cleaning Fixed Costs Apr 2017 - Mar 2018 - SKH,SO53 3YE,LARGE,,,
,,01-Aug-17,Facilities management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457833RI,"26,403.42",FM - Fixed Costs from Apr 2017 - Mar 2018 - SKH,SO53 3YE,LARGE,,,
,,01-Aug-17,Security: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457833RI,"33,836.56",Security Fixed Costs Apr 2017 - Mar 2018 - SKH,SO53 3YE,LARGE,,,
,,01-Aug-17,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457834RI,"-120,167.97",Building Maint./Repairs Fixed Costs Apr 2017 - Mar 2018 - RH,SO53 3YE,LARGE,,,
,,01-Aug-17,Cleaning: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457834RI,"32,929.10",Cleaning Fixed Costs Apr 2017 - Mar 2018 - RH,SO53 3YE,LARGE,,,
,,01-Aug-17,Facilities management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457834RI,"33,194.82",FM - Fixed Costs from Apr 2017 - Mar 2018 - RH,SO53 3YE,LARGE,,,
,,01-Aug-17,Security: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457834RI,"54,044.05",Security Fixed Costs Apr 2017 - Mar 2018 - RH,SO53 3YE,LARGE,,,
,,01-Aug-17,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457835RI,"-75,618.70",Wellington House - Building Maint./Repairs Fixed Costs Apr 2017 - Mar 2018,SO53 3YE,LARGE,,,
,,01-Aug-17,Cleaning: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457835RI,"23,960.19",Cleaning Fixed Costs Apr 2017 - Mar 2018 - WEL,SO53 3YE,LARGE,,,
,,01-Aug-17,Facilities management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457835RI,"18,810.17",FM - Fixed Costs from Apr 2017 - Mar 2018 - WEL,SO53 3YE,LARGE,,,
