Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PLANT & EQUIPMENT,FUSION,A & B Industrial Services,5100331870,188.41
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PLANT SPARES,FUSION,A D INSTALLATION LTD,5100332350,670.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/01/2016,PLANT SPARES,FUSION,A W CLARKE,5100331777,13825.83
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,PLANT SPARES,FUSION,A W CLARKE,5100332445,259.25
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,PLANT SPARES,FUSION,A W CLARKE,5100332411,62.25
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PLANT SPARES,FUSION,A W CLARKE,5100331600,89.50
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,Materials & Spares,FUSION,A.L.M.T Corporation,5100332188,12744.02
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100331742,88.30
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100331739,196.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100332077,782.40
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100332079,101.70
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100331891,50.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100331990,54.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100331824,85.50
