,Percentage of respondents satisfied with overall service in 12 months to September 2013,Confidence Interval percentage of respondents satisfied with overall service in 12 months to September 2013,Percentage of respondents satisfied with overall service in 12 months to September 2012,Confidence Interval percentage of respondents satisfied with overall service in 12 months to September 2012,Percentage of respondents satisfied with overall service in 12 months to September 2011,Confidence Interval percentage of respondents satisfied with overall service in 12 months to September 2011,Percentage of respondents satisfied with overall service in 12 months to September 2010,Confidence Interval percentage of respondents satisfied with overall service in 12 months to September 2010
England and Wales,85.19979938,0.200971356,84.0170667,0.199411201,83.90741135,0.192521391,83.11691403,0.191472261
Avon and Somerset,87.67736903,1.306583448,86.02625194,1.151571599,88.18922215,1.001747595,84.50271152,1.197861233
Bedfordshire,82.72559013,0.151133387,80.62057391,1.432649175,79.98706296,1.495882465,79.55981331,1.641679276
Cambridgeshire,88.3886854,1.245046877,85.08982667,1.466929249,86.20820289,1.368555175,82.76368061,1.671230352
Cheshire,88.44768422,1.683268205,85.97406648,1.902107024,86.95894511,1.683892041,90.37555137,1.22147331
City of London,89.28069118,3.919859353,74.96770026,16.9719592,88.71212121,5.98399812,93.12865497,2.87221095
Cleveland,84.18248095,1.580224181,82.52861001,1.600196358,84.24414916,1.543837467,83.16353445,1.635503245
Cumbria,89.31337109,2.676757147,91.47095299,2.422174151,87.80989407,2.753427961,86.87429854,2.434743003
Derbyshire,87.12958234,1.438227881,87.17545732,1.525442916,85.92169149,1.616170582,82.54914558,1.531541542
Devon and Cornwall,84.65667164,1.789167095,84.9638921,1.527658225,86.05887112,1.508828643,85.35147698,1.610749176
Dorset,83.33039131,1.473300031,83.84650009,1.394958879,83.64155796,1.52427267,83.67002886,1.56917875
Durham,90.27863561,1.621790759,87.53832076,1.844294416,86.69199871,1.665834789,85.05014012,1.57933886
Dyfed-Powys,84.68218773,5.201648313,86.68515111,2.965793643,83.49811276,2.799920506,88.42449607,2.092426849
Essex,82.43099118,1.623586502,81.51252973,1.557192768,83.25163218,1.543324366,85.23204111,1.488906949
Gloucestershire,80.87613758,1.7641351,81.35119651,1.71315049,81.66825439,1.62546338,82.58486028,1.57283087
Greater Manchester,84.97222597,1.01585457,84.69542217,0.840782156,83.51386115,0.848228938,79.07977945,0.81801038
Gwent,79.59875386,1.752316133,82.31892041,1.71239259,82.05802486,1.61043641,80.33961766,1.659278362
Hampshire,85.23258618,0.909597886,82.22861185,0.969479066,82.7323509,0.828174059,84.69706148,0.723042756
Hertfordshire,88.31171057,1.253435572,88.5219801,1.299810261,87.58605677,1.448431572,87.44669496,1.563957179
Humberside,85.6264316,1.25067412,85.72768669,1.266509064,83.6391887,1.226477104,82.29776215,1.272888291
Kent,86.00443399,1.272145794,88.37418296,1.130885741,87.58413624,1.044347719,86.22006235,1.203921523
Lancashire,86.79316231,0.72857143,85.69419762,0.986028062,85.30150222,1.347643928,84.45169138,1.506045478
Leicestershire,85.28082598,1.861293999,84.96716769,1.77370132,86.53159629,1.619171348,86.16464647,1.532861068
Lincolnshire,83.22722437,2.28409808,83.25044583,1.965137441,82.61684127,1.856137815,81.24602929,2.07410841
Merseyside,89.69310235,0.109092376,88.22386298,0.915258363,88.03954958,0.91869703,88.0209623,0.878007852
Metropolitan Police,78.49627583,0.638273537,74.64267521,0.682835173,75.03387513,0.661652164,77.03011815,0.66622792
Norfolk,88.41066446,1.272831281,88.03250411,1.347422583,85.46822918,2.130163785,87.69359089,1.228502424
Northamptonshire,85.52003364,1.755608283,83.36809642,1.808013629,84.68410382,1.822994955,86.93815248,1.607756673
Northumbria,91.72585407,1.219946405,92.44004576,1.030224254,92.87164112,1.073491871,91.14583014,0.921806286
North Wales,80.27337803,1.808566953,81.60514537,1.7281308,82.46622233,1.690779024,83.9202687,1.62990235
North Yorkshire,87.9551057,0.869874276,85.29663619,1.339284422,87.13765964,1.336521629,79.35267243,1.861521763
Nottinghamshire,87.23789672,0.846928954,87.13243986,0.775924807,87.47612164,0.739781727,82.69701605,0.840269177
South Wales,88.73965546,0.878728573,85.53822045,0.979961003,87.36224652,0.903189195,84.07656422,0.988567338
South Yorkshire,85.01444877,1.602038316,85.01427406,1.492804344,85.20052097,1.438308155,82.18591735,1.679551713
Staffordshire,91.18966342,1.873506411,86.11233999,1.811797799,90.20603845,1.376934006,86.39788044,1.758487095
Suffolk,87.68831076,1.768203371,83.30564608,2.020032507,81.84005188,1.986238737,82.84299645,1.849758906
Surrey,88.11763917,0.983363905,83.25481023,1.034822148,83.97893946,1.00582775,82.29517994,0.996158832
Sussex,84.33871343,1.220064868,84.98771194,1.361271056,82.35723249,1.590584447,81.47212075,1.740408866
Thames Valley,88.02391085,1.836325281,86.93031657,1.065403098,84.75309329,0.963030744,83.48935646,1.020631641
Warwickshire,85.97220438,1.647148467,81.5312492,1.881338066,81.13940179,1.720559976,83.72763481,1.343996369
West Mercia,86.06595623,1.338975235,84.80154961,1.146087942,85.31387352,1.180964356,86.50912204,1.081232665
West Midlands,84.76132207,0.416979,87.23608212,0.945457988,85.41604946,0.735513519,86.54851988,0.703947509
West Yorkshire,87.99740201,0.750297718,86.25802162,0.752395182,84.63635872,0.757382462,81.29345879,0.785823299
Wiltshire,89.42606732,1.801416509,85.19343518,2.015552142,81.90708498,2.865292389,82.23095422,0.976091361
