Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Trust Wide,Trust Wide,06/07/2012,Debtors - Non-NHS,Trust Wide,THE WALSALL HOSPITAL CO PLC,10006283,"100,000.00"
Trust Wide,Trust Wide,06/07/2012,Creditors GT 1 Year,Trust Wide,THE WALSALL HOSPITAL CO PLC,10006283,"500,000.00"
CAPITAL MEDICAL EQUIPMENT,CAPITAL MEDICAL EQUIPMENT,26/07/2012,Purchase of Tangible Asset,CAPITAL,TRUMPF MEDICAL SYSTEMS LTD,15003241,"52,471.75"
Trust Wide,Trust Wide,13/07/2012,Creditor - NHS,Trust Wide,NHS SUPPLY CHAIN,15003262,"115,077.08"
CATARACT SUITE,CATARACT SUITE,05/07/2012,Nurse Qualified PB5-7,NURSING - PLANNED CARE,ROYAL WOLVERHAMPTON NHS TRUST,20025253,"4,463.34"
CATARACT SUITE,CATARACT SUITE,05/07/2012,Nurse Unqualified PB4,NURSING - PLANNED CARE,ROYAL WOLVERHAMPTON NHS TRUST,20025253,"1,838.17"
MR RAMANATHAN,MR RAMANATHAN,05/07/2012,Consultants,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,20025253,"4,667.46"
MR SANDRAMOULI,MR SANDRAMOULI,05/07/2012,Services-NHS - Sub Contr HCare,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,20025253,"6,929.52"
MR SANDRAMOULI,MR SANDRAMOULI,05/07/2012,Consultants,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,20025253,"4,020.09"
MR SANDRAMOULI,MR SANDRAMOULI,05/07/2012,OPTOMETRY SERVICE,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,20025253,"3,239.54"
MR SHUN SHIN,MR SHUN SHIN,05/07/2012,Consultants,PLANNED CARE - MEDICAL STAFF,ROYAL WOLVERHAMPTON NHS TRUST,20025253,"4,020.09"
