Department,Organisation Name,Basis for expenditure approval,Project name,Total Value Approved (£M),Basis for Exception,Approval month,Civil Service Grade (FTE),,,,,,Civil Service Grade (Headcount),,,,,,Total approvals (Headcount),Total Approvals (FTE),Date of approval
,,,,,,,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,,,
Comms Division,DFID,Approval for FTA,B2 Office Manager ,"Salary of £9,000",short term appointment exc 3.1,Approval granted July for 3 mth FTA,,1,,,,,,1,,,,,1,1,02/07/2015
Regional Directorate,DFID,Approval for short term secondment 6-12mths,A1 Commercial Manager,"Salary of £35,000 to £70,000",short term secondment exec 3.3,Approval granted for 6/12 mths for secondment,,,,,1,,,,,,1,,1,1,02/07/2015
HR Dept,DFID,Approval for FTA for 3 months ,B2 EA to HR Director ,"Salary of £10,000",short term  appointment exec 3.1,Approval granted for 3 mths FTA,,1,,,,,,1,,,,,1,1,08/07/2015
DFID Sierra Leone,DFID ,Approval for FTA for 6 months,A1 Education Adviser,"Salary of £35,145 + overseas allowances",short term appointment exc 3.1,Approval granted for 6 months FTA,,,,,1,,,,,,1,,1,1,22/07/2015
Comms Division,DFID,Approval for 12mth secondment from TNS BMRB,"A2L Communications,Insight,Evaluation and Branding Adviser","Salary of £45,380",12mth secondment exec 3.3,Approval granted for 12mth secondment,,,,1,,,,,,1,,,1,1,22/07/2015
DFID Sierra Leone,DFID,Approval for reinstatement of former civil servant for FT period,A1 Infrastructure Adviser,"Salary of £35,145 + overseas allowances",short term appointment exec 3.5,Approval granted for 6 months ,,,,,1,,,,,,1,,1,1,28/08/2015
Group Operations,DFID,Approval for FTA,C1 Facilities Assistant ,"Salary of £19,695",short term appointment  exec 3.1,Approval granted for 6 months FTA,1,,,,,,1,,,,,,1,1,18/09/2015
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
