Departmental Family,Entity,Date,Expense type,Expense area,Supplier,Transaction Number,Amount,Description
Department for Education,TEACHERS PENSION SCHEME,03/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,233,89662877.23,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,04/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,234,21582605.02,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,05/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,235,21679501.47,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,06/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,236,58507899.90,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,06/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,237,1731.02,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,09/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,238,22582044.27,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,10/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,239,21643834.10,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,11/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,240,21105401.52,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,12/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,241,21912201.88,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,13/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,242,58754298.42,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,16/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,243,21818089.95,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,17/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,244,21382035.99,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,18/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,245,21999110.18,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,19/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,246,21107823.38,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,20/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,247,153811730.60,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,23/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,248,22121158.09,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,23/01/2017,Miscellaneous Expenditure,Finance and Commercial Group,DEPARTMENT FOR EDUCATION,249,4926156.50,"Payment for administration costs relating to the Teachers' Pension Scheme for 01/10/2016 to 31/12/2016. The payment is to reimburse the Department for Education, which had incurred the costs."
Department for Education,TEACHERS PENSION SCHEME,24/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,250,21159868.90,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,25/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,251,21709565.04,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,30/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,252,21065511.94,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,30/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,253,76999546.49,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,31/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,254,21371547.34,Funding to pay Teachers' Pensions
Department for Education,TEACHERS PENSION SCHEME,31/01/2017,Funding to pay Teachers' Pensions,Finance and Commercial Group,TPS – Funding Account,255,16111028.10,Funding to pay Teachers' Pensions
