Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,(£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advisory Conciliation & Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation & Skills",64,58,260,236.8,503,463.3,39,36.7,3,3,2,1.3,871,799,14,14,0,0,0,0,2,2,16,16,887,815,"£2,072,140.57","£19,949.24",£0.00,"£13,311.60","£384,695.61","£175,784.24","2,665,881.26","£23,584.33","£14,200.00","37,784.33","2,703,665.59",
Arts & Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",4,3.74,29,28.12,43,39.88,9,8.51,4,3.5,,,89,84,1,1,,,4,4,,,5,5,94,89,"£240,451.00","£2,573.00",£75.00,£34.00,"£64,862.00","£19,151.00","327,146.00","£24,863.14",,"24,863.14","352,009.14",
Biotechnology & Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",222,200.46,375,347.5,733,704.56,202,195.03,51,47.97,3,3,"1,586","1,499",16,16,0,0,1,1,1,0.2,18,17.2,"1,604","1,516","£4,273,910.74","£78,533.28",,"£33,466.20","£1,098,041.13","£359,330.21","5,843,281.56","£55,272.00","£5,000.00","60,272.00","5,903,553.56",
British Hallmarking Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
"Business, Innovation & Skills ",Ministerial Department,"Department for Business, Innovation & Skills",175,167.48,400,388.68,1148,1112.18,1119,1078.62,242,241.24,0,0,"3,084","2,988",125,125,14,14,101,101,106,106,346,346,"3,430","3,334","£10,158,688.64","£245,011.29","£55,066.00","£11,909.54","£2,133,259.65","£989,696.51","13,593,631.63","£379,443.00",,"379,443.00","13,973,074.63",
Capital for Enterprise Limited,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,8,8,9,9,15,14.69,5,5,,,37,37,0,0,,,0,0,,,0,0,37,37,"£157,608.11",£500.00,,,"£32,066.37","£14,735.75","204,910.23",,,0,"204,910.23",
Companies House ,Executive Agency,"Department for Business, Innovation & Skills",525,452.14,272,256.03,132,127.72,29,27.91,4,4,,,962,868,,,,,,,12,12,12,12,974,880,1865884.46,30940.03,0,23348.09,345911.29,128836.24,"2,394,920.11",,"£105,356.30","105,356.30","2,500,276.41",
Competition Commission,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",9,9,10,9.7,29,29,75,72.2,22,21.7,0,0,145,142,16,16,0,0,0,0,0,0,16,16,161,158,"£563,709.00",£0.00,£0.00,£0.00,"£114,961.00","£76,887.00","755,557.00","£64,581.00",£0.00,"64,581.00","820,138.00",
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",4,4,2,1.8,5,4.6,5,4.3,1,1,,,17,16,,,,,,,,,0,0,17,16,"£56,100.42",,,,"£4,957.89","£11,763.63","72,821.94",,,0,"72,821.94",
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",442,411.68,610,597.34,333,327.39,27,27,8,8,0,0,"1,420","1,371",28,22.9,0,0,68,40.7,1,0.5,97,64.1,"1,517","1,436","£3,527,927.60","£212,432.90","£418,071.00","£27,318.07","£490,414.43","£351,166.71","5,027,330.71","£371,008.00","£8,657.00","379,665.00","5,406,995.71",
Consumer Focus,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Economic & Social Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",18,15.29,25,23.56,75,70.59,17,16.91,3,3,13,13,151,142,2,2,,,3,3,,,5,5,156,147,"£371,358.00","£3,877.00",,,"£91,785.00","£30,576.00","497,596.00","£49,630.70",,"49,630.70","547,226.70",
Engineering & Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",25,23.22,32,29.8,123,116.45,28,26.39,4,4,9,9,221,209,10,9.54,,,6,5.4,,,16,14.94,237,224,"£581,767.00","£6,452.00",£825.00,£888.00,"£145,262.00","£43,430.00","778,624.00","£57,891.73",,"57,891.73","836,515.73",
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",33,29,30,28,22,22,5,5,,,5,1,95,85,0,0,,,,,,,0,0,95,85,"£264,231.00","£17,336.00",£0.00,£112.00,"£46,310.00","£25,858.00","353,847.00",£0.00,,0,"353,847.00",
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",8,6.4,28,23.5,140,123.3,65,57.6,35,32.8,,,276,244,15,11.75,,,,,,,15,11.75,291,255,"£830,406.88","£2,182.00",,£85.78,"£203,579.91","£73,681.80","1,109,936.37","£37,137.65",,"37,137.65","1,147,074.02",
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",743,675.48,299,281.02,744,713.22,85,84.65,8,7.78,0,0,"1,879","1,762",109,109,0,0,46,46,0,0,155,155,"2,034","1,917","£4,386,976.00","£11,608.00",£0.00,"£10,809.00","£814,846.00","£329,738.00","5,553,977.00","£708,545.00",£0.00,"708,545.00","6,262,522.00",
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",332,309.26,497,475.9,1404,1380.66,176,171.67,100,97.64,51,26,"2,560","2,461",19,19,16,16,4,4,0,0,39,39,"2,599","2,500","£6,980,750.78","£429,853.19",£0.00,"£20,530.91","£838,102.34","£627,397.37","8,896,634.59","£669,008.81","£6,510.00","675,518.81","9,572,153.40",
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",6,4.89,18,17.76,38,37.41,18,17.17,1,1,,,81,78,,,,,,,,,0,0,81,78,"£252,757.66",£65.00,,,"£47,782.30","£20,672.67","321,277.63",,"£7,528.69","7,528.69","328,806.32",
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",264,238.5,461,432.1,1151,1102.6,377,360.7,19,18.6,287,280.5,"2,559","2,433",14,14,0,0,4,3.43,0,0,18,17.43,"2,577","2,450","£6,648,802.55","£350,201.63","£64,395.40","£51,157.22","£1,671,559.15","£577,205.45","9,363,321.40","£155,502.45",,"155,502.45","9,518,823.85",
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,10,9.6,3,2.3,2,1.6,,,15,14,4,4,,,,,,,4,4,19,18,"£49,488.07",,,£0.00,"£8,214.11","£4,384.99","62,087.17","£22,548.79",,"22,548.79","84,635.96",
