Organisation Name,Effective date,Service,Supplier Name,Payment Date,Transaction Number,Net Amount (£),gl Code Desc
ROCHDALE,01/12/2014,ECONOMY AND ENVIRONMENT,SPIE UK LTD,01/12/2014,V000817974,17293.41,SITE INVESTIGATION
ROCHDALE,02/12/2014,ECONOMY AND ENVIRONMENT,NILFISK OUTDOOR PRODUCTS,02/12/2014,V000828285,37426.8,PURCHASE OF PLANT AND MACHINERY
ROCHDALE,23/12/2014,PHYSICAL DIS & OLDER PEOPLE,THE PENNINE ACUTE HOSPITALS NHS TRUST,23/12/2014,V000829956,3630.51,AGENCY STAFF
ROCHDALE,02/12/2014,ECONOMY AND ENVIRONMENT,NILFISK OUTDOOR PRODUCTS,02/12/2014,V000830527,500,PURCHASE OF PLANT AND MACHINERY
ROCHDALE,19/12/2014,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HIGHFIELD HALL,19/12/2014,V000834468,1266.92,RESIDENTIAL LONG TERM
ROCHDALE,19/12/2014,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HIGHFIELD HALL,19/12/2014,V000834469,976.28,SELF - FUNDING DEFERRED PAYMENTS
ROCHDALE,19/12/2014,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HIGHFIELD HALL,19/12/2014,V000834508,-846.75,RESIDENTIAL LONG TERM
ROCHDALE,19/12/2014,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HIGHFIELD HALL,19/12/2014,V000834509,-1077.68,RESIDENTIAL LONG TERM
ROCHDALE,19/12/2014,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HIGHFIELD HALL,19/12/2014,V000834510,-1077.68,RESIDENTIAL LONG TERM
ROCHDALE,19/12/2014,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,19/12/2014,V000837621,1504.17,PRINTING & STATIONERY
ROCHDALE,10/12/2014,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,10/12/2014,V000837624,1917.56,POSTAGE
ROCHDALE,03/12/2014,PUBLIC HEALTH,EARLY BREAK,03/12/2014,V000838434,22500,PH BUSINESS CASES
ROCHDALE,05/12/2014,PUBLIC HEALTH,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,05/12/2014,V000843480,28571,SERVICE LEVEL AGREEMENTS
ROCHDALE,23/12/2014,PHYSICAL DIS & OLDER PEOPLE,THE PENNINE ACUTE HOSPITALS NHS TRUST,23/12/2014,V000844402,7141.14,AGENCY STAFF
ROCHDALE,03/12/2014,EARLY HELP AND SCHOOLS,OLDHAM METROPOLITAN BOROUGH COUNCIL,03/12/2014,V000846102,13448,OTHER EST - SEN PROVISION
ROCHDALE,05/12/2014,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,05/12/2014,V000847035,1180.11,SHORT TERM CARE - RESIDENTIAL
