"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Agency Supplied Worker","14000","105000","Health Physics","1.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Agency Supplied Worker","14000","105000","Safety/Health/Environment/Security","3.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Agency Supplied Worker","14000","105000","Technician","9.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Level 2","20825","26331","Admin/Support","3.88","Operational Delivery"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Level 3","24552","32085","Technician","1.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Level 4","29304","38295","Health Physics","1.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Level 4","29304","38295","Safety/Health/Environment/Security","5.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Level 4","29304","38295","Technician","1.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Level 5","38192","49910","Health Physics","3.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Level 5","38192","49910","Safety/Health/Environment/Security","4.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Level 6","46200","60375","Health Physics","1.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Level 6","46200","60375","Safety/Health/Environment/Security","2.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Assurance Division","14000000","Level 7","62216","81305","Safety/Health/Environment/Security","1.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Agency Supplied Worker","14000","105000","Admin/Support","1.00","Operational Delivery"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Agency Supplied Worker","14000","105000","Engineer","51.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Agency Supplied Worker","14000","105000","Project Management","1.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Agency Supplied Worker","14000","105000","Technician","1.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Level 2","20825","26331","Admin/Support","0.61","Operational Delivery"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Level 3","24552","32085","Admin/Support","1.00","Operational Delivery"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Level 3","24552","32085","Engineer","8.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Level 4","29304","38295","Engineer","5.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Level 5","38192","49910","Engineer","27.72","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Level 6","46200","60375","Engineer","14.21","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Level 6","46200","60375","Project Management","1.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Level 6star","52448","68540","Engineer","1.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Level 6star","52448","68540","Project Management","1.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","Central Engineering Department","17000005","Level 7","62216","81305","Engineer","3.00","Science and Engineering"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","CEO Support","14000000","Level 2","20825","26331","Admin/Support","0.80","Operational Delivery"
"Department for Business, Energy and Industrial Strategy","UK Atomic Energy Authority","CEO Support","14000000","Level 7","62216","81305","Physicist","0.40","Science and Engineering"
