Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,02/01/2018,Computer Equipment a,Information Management Services,RCDTS LTD,5100069910,"2,611,933.85",Computer Equipment a,SW1A 2BQ,,,,
HMRC,HMRC,03/01/2018,Software licences,Information Management Services,WSO2 (UK) LTD,5100070315,"336,273.28",Application Support Unit cost for Messaging Jan-18,PO20 7EQ,,,,
HMRC,HMRC,03/01/2018,Diesel fuel,Fraud Investigation Service,ALLSTAR BUSINESS SOLUTIONS LTD,5100070365,"57,038.03",Vehicle Fleet Services,SN5 6PS,,,,
HMRC,HMRC,03/01/2018,Samplng & Analytical,Fraud Investigation Service,LGC LTD,5100070468,"106,222.90",Samplng & Analytical,TW11 0LY,,,,
HMRC,HMRC,03/01/2018,Rent,Estates,INTU,5100070471,"141,900.00",Quarterly rent for Brierley Hill Merry Hill Contact Centre (25/12/17 to 24/03/18),SW1H 0BU,,,,
HMRC,HMRC,03/01/2018,Gov Bank Serv Charge,Corporate Finance,POST OFFICE LTD,5100070488,"250,075.88",Gov Bank Serv Charge,PE4 5PG,,,,
HMRC,HMRC,04/01/2018,Min AW non-struc VAT,Change Portfolio,MAPELEY STEPS CONTRACTOR LTD,5100070532,"47,378.70",Min AW non-struc VAT,WD17 1HN,,,,
HMRC,HMRC,04/01/2018,STEPS FUP,Estates,MAPELEY STEPS CONTRACTOR LTD,5100070593,"8,380.70",Monthly charge for fully serviced accommodation at Nottingham Castle Meadow under the Mapeley STEPS Private Finance Initiative contract (November 2017),WD17 1HN,,,,
HMRC,HMRC,04/01/2018,STEPS FUP,Estates,MAPELEY STEPS CONTRACTOR LTD,5100070593,"26,538.90",Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract (November 2017),WD17 1HN,,,,
HMRC,HMRC,04/01/2018,Disposal Seized Gds,Fraud Investigation Service,ENVA NORTHERN IRELAND LTD,5100070703,"124,800.00",Disposal Seized Goods,BT30 6LJ,,,,
HMRC,HMRC,04/01/2018,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100070705,"32,975.83",Costs for officers stationed abroad,MK10 1PX,,,,
HMRC,HMRC,04/01/2018,Govt dept services,Change Portfolio,NATIONAL SAVINGS & INVESTMENTS,5100070708,"1,256,205.99",Govt dept services,SW1V 2QX,,,,
HMRC,HMRC,04/01/2018,Maintenance fees,Information Management Services,SKYSCAPE CLOUD SERVICES LTD,5100070712,"154,384.41",Maintenance fees,SN13 0RP,,,,
HMRC,HMRC,05/01/2018,Oth PFI unitary chrg,Estates,BOOTLE PFI SOLUTIONS 1998 (2) LTD,5100071184,"362,564.73",Quarterly charge for fully serviced accommodation at Bootle St John's House (01/01/18 - 31/03/18),SE1 9RA,,,,
