Transaction Date,Transaction Reference,Merchant,Total,,,,,,,,,,,,,
03-11-2014,UKA29904,WWW.REGONLINE.COM INTERNET,728.0,,,,,,,,,,,,,
07-11-2014,UKA29707,THE LANGHAM SHENZHEN SHENZHEN,717.2,,,,,,,,,,,,,
10-11-2014,UKA30095,SHANGRI-LA HOTEL JAKARTA JAKARTA,684.9,,,,,,,,,,,,,
11-11-2014,UKA30813,JW MARRIOTT HOTEL KUWA SALHIYA,586.3,,,,,,,,,,,,,
16-11-2014,UKA29729,SH SHANG CHANG BO TE M SHANGHAI,605.2,,,,,,,,,,,,,
17-11-2014,,AVIS,526.22,,,,,,,,,,,,,
19-11-2014,UKA32103,HAYMARKET                LONDON  SW1Y ,13346.40,,,,,,,,,,,,,
21-11-2014,UKA30131,PAYPAL SHEILA WILK 35314369001,1361.9,,,,,,,,,,,,,
24-11-2014,,SHERATON STOCKHOLM       STOCKHOLM    ,687.78,,,,,,,,,,,,,
27-11-2014,,HOTEL CONTINENTAL,588.30,,,,,,,,,,,,,
27-11-2014,,BRITANNIA HOTEL CO       COVENTRY     ,700.00,,,,,,,,,,,,,
28-11-2014,,BRITANNIA HOTEL CO       COVENTRY     ,700.00,,,,,,,,,,,,,
06-11-2015,,PARK INN TELFORD,-572.00,,,,,,,,,,,,,
03/11/2014,542283229,Hogg Robinson Group Limited,"£1,288.03",,,,,,,,,,,,,
03/11/2014,541643238,Hogg Robinson Group Limited,"£2,525.36",,,,,,,,,,,,,
03/11/2014,541642913,Hogg Robinson Group Limited,"£2,619.06",,,,,,,,,,,,,
03/11/2014,541642915,Hogg Robinson Group Limited,"£3,949.30",,,,,,,,,,,,,
04/11/2014,541949424,Hogg Robinson Group Limited,£573.46,,,,,,,,,,,,,
04/11/2014,542283343,Hogg Robinson Group Limited,£653.36,,,,,,,,,,,,,
04/11/2014,542283342,Hogg Robinson Group Limited,£653.36,,,,,,,,,,,,,
04/11/2014,542283341,Hogg Robinson Group Limited,£653.36,,,,,,,,,,,,,
04/11/2014,541947299,Hogg Robinson Group Limited,"£2,192.00",,,,,,,,,,,,,
04/11/2014,541941739,Hogg Robinson Group Limited,"£2,958.46",,,,,,,,,,,,,
05/11/2014,542284728,Hogg Robinson Group Limited,£929.58,,,,,,,,,,,,,
05/11/2014,542280552,Hogg Robinson Group Limited,"£3,243.16",,,,,,,,,,,,,
05/11/2014,542280549,Hogg Robinson Group Limited,"£4,192.16",,,,,,,,,,,,,
06/11/2014,542770452,Hogg Robinson Group Limited,"£3,751.06",,,,,,,,,,,,,
10/11/2014,543389196,Hogg Robinson Group Limited,£531.72,,,,,,,,,,,,,
10/11/2014,543698127,Hogg Robinson Group Limited,"£1,879.24",,,,,,,,,,,,,
10/11/2014,543386026,Hogg Robinson Group Limited,"£5,894.96",,,,,,,,,,,,,
