Unique Reference Number,Date,Merchant Category Code,Location,Merchant Category Group,Amount,Supplier
FCOGPC131200001,02/12/13,Travel,Belgium,Airlines,2331.15,AMERICAN
FCOGPC131200002,02/12/13,Travel,United Kingdom,Airlines,3578.95,BRITISH AIRW 
FCOGPC131200003,02/12/13,Travel,Netherlands,Airlines,900.92,KLM UK    
FCOGPC131200004,02/12/13,Travel,France,Airlines,764.64,AIR FRANCE  
FCOGPC131200005,02/12/13,Travel,France,Airlines,631.64,AIR FRANCE  
FCOGPC131200006,02/12/13,Travel,France,Airlines,2820.90,AIR FRANCE  
FCOGPC131200007,02/12/13,Travel,United Kingdom,Airlines,623.15,TUNIS AIR   
FCOGPC131200008,02/12/13,Travel,United Kingdom,Airlines,608.54,LUFTHANSA  
FCOGPC131200009,02/12/13,Travel,Colombia,Airlines,696.43,AVIANCA
FCOGPC131200010,02/12/13,Travel,Australia,Airlines,803.13,QANTAS 
FCOGPC131200011,02/12/13,Travel,United Kingdom,Airlines,1264.50,EM AIR     
FCOGPC131200012,02/12/13,Travel,United Kingdom,Airlines,-3335.49,EM AIR     
FCOGPC131200013,02/12/13,Travel,United Kingdom,Airlines,1470.05,ETIHADAIR   
FCOGPC131200014,02/12/13,Travel,United Kingdom,Airlines,581.65,THY        
FCOGPC131200015,02/12/13,Travel,United Kingdom,Airlines,529.80,THY        
FCOGPC131200016,02/12/13,Travel,Japan,Airlines,979.12,UAJININTANETSUTO
FCOGPC131200017,02/12/13,Travel,United Kingdom,Airlines,1247.55,BRITISH AIRW
FCOGPC131200018,02/12/13,Travel,United Kingdom,Airlines,1247.55,BRITISH AIRW
FCOGPC131200019,02/12/13,Travel,United Kingdom,Airlines,701.85,BRITISH AIRW
FCOGPC131200020,02/12/13,Travel,United Kingdom,Airlines,2760.65,BRITISH AIRW
FCOGPC131200021,02/12/13,Travel,United Kingdom,Airlines,559.30,BRITISH AIRW
FCOGPC131200022,02/12/13,Travel,United Kingdom,Airlines,1337.47,BRITISH AIRW
FCOGPC131200023,02/12/13,Travel,United Kingdom,Airlines,1206.35,BRITISH AIRW
FCOGPC131200024,02/12/13,Travel,United Kingdom,Airlines,857.25,BRITISH AIRW
FCOGPC131200025,02/12/13,Travel,United Kingdom,Airlines,514.70,BRITISH AIRW
FCOGPC131200026,02/12/13,Travel,United Kingdom,Airlines,2239.25,BRITISH AIRW
FCOGPC131200027,02/12/13,Travel,United Kingdom,Airlines,2239.25,BRITISH AIRW
FCOGPC131200028,02/12/13,Travel,United Kingdom,Airlines,4132.05,BRITISH AIRW
