Sent for Payment Date,Approved Amount (rpt),Category Level 1
11/10/2017,500.00,"Advertising, Marketing & Media"
17/10/2017,501.84,"Travel, venue hire and exhibition services"
05/10/2017,501.84,"Travel, venue hire and exhibition services"
19/10/2017,504.00,IT & Telecoms
17/10/2017,508.30,"Travel, venue hire and exhibition services"
11/10/2017,509.58,IT & Telecoms
13/10/2017,510.00,"Travel, venue hire and exhibition services"
06/10/2017,510.77,"Travel, venue hire and exhibition services"
06/10/2017,513.63,"Travel, venue hire and exhibition services"
06/10/2017,516.40,"Travel, venue hire and exhibition services"
03/10/2017,517.23,"Travel, venue hire and exhibition services"
04/10/2017,517.26,"Travel, venue hire and exhibition services"
02/10/2017,517.31,Human Resources
06/10/2017,519.60,"Travel, venue hire and exhibition services"
30/10/2017,523.53,"Travel, venue hire and exhibition services"
10/10/2017,529.28,"Travel, venue hire and exhibition services"
18/10/2017,534.89,"Travel, venue hire and exhibition services"
23/10/2017,536.47,Facilities
02/10/2017,539.14,"Travel, venue hire and exhibition services"
27/10/2017,540.00,IT & Telecoms
13/10/2017,540.00,Facilities
20/10/2017,541.13,"Travel, venue hire and exhibition services"
24/10/2017,543.85,IT & Telecoms
07/10/2017,544.80,Professional Services
16/10/2017,544.89,"Travel, venue hire and exhibition services"
02/10/2017,550.53,"Travel, venue hire and exhibition services"
04/10/2017,551.85,Facilities
20/10/2017,560.35,"Travel, venue hire and exhibition services"
04/10/2017,560.88,Facilities
04/10/2017,561.21,Facilities
16/10/2017,563.93,IT & Telecoms
24/10/2017,567.84,IT & Telecoms
09/10/2017,570.00,"Travel, venue hire and exhibition services"
16/10/2017,576.45,IT & Telecoms
19/10/2017,579.46,"Travel, venue hire and exhibition services"
24/10/2017,581.25,"Travel, venue hire and exhibition services"
24/10/2017,581.25,"Travel, venue hire and exhibition services"
24/10/2017,581.25,"Travel, venue hire and exhibition services"
24/10/2017,581.25,"Travel, venue hire and exhibition services"
24/10/2017,581.25,"Travel, venue hire and exhibition services"
24/10/2017,581.25,"Travel, venue hire and exhibition services"
24/10/2017,581.25,"Travel, venue hire and exhibition services"
24/10/2017,581.25,"Travel, venue hire and exhibition services"
24/10/2017,581.25,"Travel, venue hire and exhibition services"
24/10/2017,581.25,"Travel, venue hire and exhibition services"
11/10/2017,583.98,Facilities
03/10/2017,584.22,Human Resources
06/10/2017,588.00,Human Resources
02/10/2017,588.23,IT & Telecoms
02/10/2017,589.17,"Travel, venue hire and exhibition services"
19/10/2017,590.89,"Travel, venue hire and exhibition services"
09/10/2017,597.60,"Travel, venue hire and exhibition services"
19/10/2017,605.12,"Travel, venue hire and exhibition services"
30/10/2017,620.67,"Travel, venue hire and exhibition services"
10/10/2017,624.00,IT & Telecoms
18/10/2017,624.08,"Travel, venue hire and exhibition services"
