Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,07/07/2011,Contractor/Service Provision - Property/Estates,Corporate,DTZ Debenham Tie Leung,70711,"130,239.34",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/07/2011,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,70711,"3,620.29",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/07/2011,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,70711,"9,822.17",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/07/2011,Rent,Corporate,DTZ Debenham Tie Leung,70711,"58,578.06",DTZ RENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,210711,"124,471.67",DTZ,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,Rent,Corporate,DTZ Debenham Tie Leung,210711,"80,420.11",DTZ,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,210711,"13,459.31",DTZ,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,210711,"91,726.51",DTZ,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,210711,"70,373.20",DTZ,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,21/07/2011,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,210711,"654,534.72",DTZ,B3 2ED,Not available,Not available,Not available,Programme
