Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract,Project Code,Expenditure
HMRC,HMRC,01/07/2013,Electricity,Estates & Support Services,BRITISH GAS BUSINESS,1700005153,"-£45,262.53",Credits received following the conclusion of commercial discussions with British Gas regarding disputed invoice charges.,OX4 2JY,,,,
HMRC,HMRC,01/07/2013,Electricity,Estates & Support Services,BRITISH GAS BUSINESS,1700005157,"-£39,220.44",Credits received following the conclusion of commercial discussions with British Gas regarding disputed invoice charges.,OX4 2JY,,,,
HMRC,HMRC,01/07/2013,Electricity,Estates & Support Services,BRITISH GAS BUSINESS,1700005166,"-£32,433.73",Credits received following the conclusion of commercial discussions with British Gas regarding disputed invoice charges.,OX4 2JY,,,,
HMRC,HMRC,01/07/2013,Electricity,Estates & Support Services,BRITISH GAS BUSINESS,1700005167,"-£363,575.82",Credits received following the conclusion of commercial discussions with British Gas regarding disputed invoice charges.,OX4 2JY,,,,
HMRC,HMRC,01/07/2013,Gas,Estates & Support Services,BRITISH GAS BUSINESS,1900094327,"£1,666,399.88",Utility payment,OX4 2JY,,,,
HMRC,HMRC,01/07/2013,Gas,Estates & Support Services,BRITISH GAS BUSINESS,1900094328,"£336,966.67",Utility payment,OX4 2JY,,,,
HMRC,HMRC,01/07/2013,Research (VAT rec),PT Customer Product & Process,JIGSAW RESEARCH LTD,5100024701,"£71,328.00",Qualitative and quantitative research with customers and staff ,W1W 8RN,,,,
HMRC,HMRC,02/07/2013,Gas,Estates & Support Services,CORONA ENERGY,5100024737,"£94,125.59",Utility payment,WD17 1JW,,,,
HMRC,HMRC,02/07/2013,Gov Bank Serv Charge,Finance & Internal Audit,RBS - NATWEST,5100025565,"£99,408.77",Government Banking Service: Bank Charges,EC2M 4RB,,,,
HMRC,HMRC,03/07/2013,Debt collection serv,Debt Management & Banking,AKINIKA HOLDINGS (UK) LIMITED,5100025650,"£29,207.06",Debt Collection Services,PR1 3EL,,,,
HMRC,HMRC,03/07/2013,Debt collection serv,Debt Management & Banking,AKINIKA HOLDINGS (UK) LIMITED,5100025652,"£108,646.64",Debt Collection Services,PR1 3EL,,,,
HMRC,HMRC,03/07/2013,Software coding,BT Change,DEFRA,5100025880,"£104,333.85",DEFRA OGD recharge - Auto Licence Verification Design ,YO1 7PX,,,,
HMRC,HMRC,04/07/2013,Oth PFI unitary chrg,Estates & Support Services,COCHRANE SQUARE SPV LTD,1700003898,"-£37,375.32",Charges for accommodation provided under the Stockport Private Finance Initiative contract,W1U 8EW,,,,
HMRC,HMRC,04/07/2013,Oth PFI unitary chrg,Estates & Support Services,COCHRANE SQUARE SPV LTD,5100026269,"£179,359.38",Charges for accommodation provided under the Stockport Private Finance Initiative contract,W1U 8EW,,,,
HMRC,HMRC,04/07/2013,Oth PFI unitary chrg,Estates & Support Services,HAYMARKET SPV LTD,5100026271,"£176,172.19",Charges for accommodation provided under the Stockport Private Finance Initiative contract,W1U 8EW,,,,
HMRC,HMRC,04/07/2013,Min AW non-struc VAT,Estates & Support Services,MJF BUSINESS SERVICES LTD,5100026520,"£53,544.66",Costs relating to the vacation of Somerset House London,UB8 2YF
HMRC,HMRC,05/07/2013,Next Day Del. Closed,Central Tax & Strategy Directorate,TNT UK LTD,5100026337,-£522.06,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Closed,Commercial Directorate,TNT UK LTD,5100026337,"-£2,931.56",Credit to reimburse a TNT invoicing error,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Closed,Finance & Internal Audit,TNT UK LTD,5100026337,"-£4,055.99",Credit to reimburse a TNT invoicing error,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Closed,S&ID,TNT UK LTD,5100026337,"-£4,859.16",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Closed,HMRC Change Programme,TNT UK LTD,5100026337,"-£5,059.96",Credit to reimburse a TNT invoicing error,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Closed,Specialist Investigations (SI),TNT UK LTD,5100026337,"-£7,710.41",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Closed,Risk & Intelligence,TNT UK LTD,5100026337,"-£54,294.11",Courier Services (credit from earlier payments),BL10 9AR
HMRC,HMRC,05/07/2013,Phone surveys,Corporate Communications,IPSOS MORI UK LTD,5100026696,"£29,340.00",Annual Stakeholder Research Survey,SE1 1PY
HMRC,HMRC,05/07/2013,Research (VAT rec),Knowledge Analysis & Intelligence,TNS - BMRB,5100026721,"£68,775.60",A survey of customers’ experience of dealing with HMRC and the tax system.,W5 1UA
HMRC,HMRC,05/07/2013,Next Day Del. Closed,Debt Management & Banking,TNT UK LTD,5100026755,"£28,793.54",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Closed,Local Compliance,TNT UK LTD,5100026755,"£28,552.59",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Closed,Criminal Investigations,TNT UK LTD,5100026755,"£8,875.01",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Closed,Estates & Support Services,TNT UK LTD,5100026755,"£6,063.91",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Closed,Information Management Services,TNT UK LTD,5100026755,"£3,935.52",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Closed,E&C Central Services,TNT UK LTD,5100026755,"£3,011.87",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Closed,Central Tax & Strategy Directorate,TNT UK LTD,5100026755,£200.80,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Proprietry sys maint,Information Management Services,DWP,5100026769,"£80,886.19",Activation PINS & user ID card production recharges (May 13),CF14 3UW
HMRC,HMRC,05/07/2013,Grant in Aid Funding,PT Customer & Strategy,TAXAID,5100026947,"£44,000.00",Programme to provide support to HMRCs vulnerable customers who need help when interacting with HMRC. ,SE1 0LH
HMRC,HMRC,05/07/2013,Debt collection serv,Debt Management & Banking,ADVANTIS CREDIT LTD,5100026964,"£30,067.80",Debt Collection Services,ST4 7RY
