Grade,Bisexual Man Headcount,Bisexual Man Percentage,Gay Man Headcount,Gay Man Percentage,Gay Woman / Lesbian Headcount,Gay Woman / Lesbian Percentage,Heterosexual (Straight) Man Headcount,Heterosexual (Straight) Man Percentage,Heterosexual (Straight) Woman Headcount,Heterosexual (Straight) Woman Percentage,Other Headcount,Other Percentage,Prefer Not to Say/Declined to specify Headcount,Prefer Not to Say/Declined to specify Percentage,No Reply Headcount,No Reply Percentage,Grand Total
A1/AA,0,0.00%,0,0.00%,0,0.00%,8,25.00%,11,34.38%,0,0.00%,0,0.00%,13,40.63%,32
A2/AO,0,0.00%,0,0.00%,0,0.00%,23,10.65%,106,49.07%,7,3.24%,4,1.85%,76,35.19%,216
Paralegal Assistant,0,0.00%,0,0.00%,0,0.00%,1,4.55%,15,68.18%,0,0.00%,0,0.00%,6,27.27%,22
B1/EO/LT,0,0.00%,1,1.03%,1,1.03%,10,10.31%,43,44.33%,6,6.19%,3,3.09%,33,34.02%,97
Paralegal Officer,0,0.00%,0,0.00%,0,0.00%,7,14.29%,20,40.82%,4,8.16%,1,2.04%,17,34.69%,49
B2/HEO/LO,0,0.00%,2,4.88%,0,0.00%,11,26.83%,17,41.46%,2,4.88%,0,0.00%,9,21.95%,41
Paralegal Business Manager,0,0.00%,0,0.00%,1,7.14%,2,14.29%,10,71.43%,0,0.00%,0,0.00%,1,7.14%,14
B3/SEO,0,0.00%,0,0.00%,0,0.00%,6,37.50%,8,50.00%,,0.00%,0,0.00%,2,12.50%,16
Associate Prosecutor,0,0.00%,0,0.00%,0,0.00%,2,6.45%,8,25.81%,1,3.23%,0,0.00%,20,64.52%,31
Crown Prosecutor/ Senior Crown Prosecutor,2,1.41%,0,0.00%,2,1.41%,24,16.90%,33,23.24%,2,1.41%,0,0.00%,79,55.63%,142
Crown Advocate/ Specialist Prosecutor,0,0.00%,0,0.00%,0,0.00%,15,19.74%,21,27.63%,3,3.95%,0,0.00%,37,48.68%,76
D/G7/Principle Crown Advocate,0,0.00%,1,2.38%,0,0.00%,13,30.95%,14,33.33%,0,0.00%,1,2.38%,13,30.95%,42
E/G6,0,0.00%,0,0.00%,0,0.00%,13,46.43%,5,17.86%,2,7.14%,0,0.00%,8,28.57%,28
CCP/SLM/SCS,0,0.00%,0,0.00%,0,0.00%,4,40.00%,3,30.00%,0,0.00%,0,0.00%,3,30.00%,10
ALL CPS,2,0.25%,4,0.49%,4,0.49%,139,17.03%,314,38.48%,27,3.31%,9,1.10%,317,38.85%,816
