Department for Work and Pensions,,,
Hospitality received by Ministers,,,
Period: 1 April – 30 June 2014,,,
,,,
Name,Date of hospitality,Name of organisation ,Type of hospitality received  
Rt Hon Iain Duncan Smith ,02-Apr,BBC,Lunch
,09-Apr,Channel 4,Lunch
,01-May,Daily Telegraph,Breakfast
,08-May,Newsnight,Lunch
,20-May,Telegraph Media Group,Lunch
,09-Jun,Daily Telegraph,Dinner
,11-Jun,The Sun,Breakfast
,16-Jun,Telegraph,Lunch
Rt Hon Esther McVey,NIL return,,
Rt Hon Steve Webb ,29-Apr,National Association of Pension Funds,Dinner
,04-May,Swiss Re,Football tickets and lunch at the Emirates Stadium
,13-May,Confederation of British Industry,Dinner
,14-May,Tisa Pinsent Masons,Dinner
,09-Jun,Faith in the Common Good,Dinner
,16-Jun,The Times and Independent,Dinner
,25-Jun,Hargreaves Lansdowne,Breakfast
,26-Jun,Sunday Times and The Independent,Lunch
Rt Hon Mike Penning ,NIL return,,
Lord Freud,NIL return,,
,,,
,,,
"1.‘Does not normally include attendance at functions hosted by HM Government or the Royal Household; ‘diplomatic’ functions in the UK or abroad which are hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; or offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.’ ",,,
