"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department of Health","NHS Business Services Authority","Chief Executives Office","7151144","Band 3","16271","19268","Assistant","2.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Chief Executives Office","7151144","Band 5","21388","27901","Assistant","2.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Chief Executives Office","7151144","Band 5","21388","27901","Adviser","3.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Chief Executives Office","7151144","Band 6","25783","34530","Assistant","1.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Chief Executives Office","7151144","Band 6","25783","34530","Manager","1.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Chief Executives Office","7151144","Band 7","30764","40558","Manager","4.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Chief Executives Office","7151144","Band 8B","45707","56504","Manager","2.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Chief Executives Office","7151144","Band 8D","65922","81618","Manager","1.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Commercial","13636203","Level 4","35868","45325","Manager","1.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Commercial","13636203","Band 3","16271","19268","Administrator","2.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Commercial","13636203","Band 4","18838","22016","Procurement Support Officer","2.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Commercial","13636203","Band 6","25783","34530","Communications Support Officer","9.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Commercial","13636203","Band 6","25783","34530","Procurement Support Officer","1.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Commercial","13636203","Band 7","30764","40558","Manager","5.93","Operational Delivery"
"Department of Health","NHS Business Services Authority","Commercial","13636203","Band 7","30764","40558","Analyst","1.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Commercial","13636203","Band 8A","39239","47088","Procurement Manager","14.00","Operational Delivery"
"Department of Health","NHS Business Services Authority","Commercial","13636203","Band 8A","39239","47088","Communications Manager","4.00","Operational Delivery"
