Newcastle City Council Invoices over £250 paid in August 2013,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,12/08/2013,3663,5931154,Revenue,1KF07,Banqueting Suite,471.38 ,,,,,,,,,,,
Chief Executive's,CD - Mansion House               ,Supplies & Services,13/08/2013,3663,5969009,Revenue,1FN02,Mansion House,265.33 ,,,,,,,,,,,
Chief Executive's,CD - Mansion House               ,Supplies & Services,28/08/2013,3663,5980332,Revenue,1FN02,Mansion House,306.76 ,,,,,,,,,,,
Chief Executive's,CD - Mansion House               ,Supplies & Services,30/08/2013,3663,5986605,Revenue,1FN02,Mansion House,346.00 ,,,,,,,,,,,
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,20/08/2013, CORE CATERING MAINTENANCE CONTRACTS LTD,5978344,Revenue,1KF07,Banqueting Suite,622.31 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,02/08/2013, THOMPSONS OF PRUDHOE LTD,5880949,Revenue,1KEMC,Highways,669.12 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,02/08/2013, THOMPSONS OF PRUDHOE LTD,5892521,Revenue,1KEMC,Highways,"2,026.40 ",,,,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,14/08/2013, THOMPSONS OF PRUDHOE LTD,5966474,Revenue,1KEMC,Highways,"1,442.47 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,13 FERGUSONS LANE,5983909,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,18 SEA VIEW VILLAS,5983846,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 ",,,,,,,,,,,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,13/08/2013,1ST LEMINGTON BROWNIES,5967639,Revenue,1KN52,Newburn Ward,259.00 ,,,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,22/08/2013,A PLANT ACROW,5981421,Revenue,3KIMD,Other Stores Stock Account,375.77 ,,,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,22/08/2013,A PLANT ACROW,5981604,Revenue,3KIMD,Other Stores Stock Account,357.61 ,,,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,12/08/2013,A PLANT ACROW,5965724,Revenue,3KIMD,Other Stores Stock Account,331.52 ,,,,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,01/08/2013,A SIGNIFICANT OTHER LTD,5958357,Revenue,1MC02,Ind Sector Placements,"8,600.00 ",,,,,,,,,,,
