Purchased quantities of eating out food & drink by income quintile Averages per person per week Quintile 1	Code	Description			Units	2001-02	2002-03	2003-04	2004-05	2005-06	2006	2007	2008	2009	2010	2011	2012	2013
	eo100101			Meat or fish based curry with sauce	g	3	3	3	5	3	5	4	3	4	2	4	4	6
	eo100102			Meat or fish based curry without sauce	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo100103			Vegetable or fruit based curry	g	0	0	0	0	1	0	1	0	1	0	1	0	0
	eo100104			Dhal and dhal dishes	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo100105			Samosas	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo100106			Other Indian dishes	g	0	0	0	0	0	0	0	0	1	0	0	0	0
	eo100107			Indian breads	g	0	0	0	0	0	1	1	0	0	0	0	1	1
	eo100108			Indian buffet or shared meal or unspecified indian meal	g	0	0	0	0	1	1	0	1	2	1	3	1	2
	eo100201			Chinese or Thai meat or fish based dishes excluding curry	g	2	2	3	2	1	1	3	2	2	2	2	1	1
	eo100202			Chop suey and fu yung dishes	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo100203			Chinese or Thai vegetable based main course dishes excluding curry	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo100204			Chinese or Thai curry	g	0	0	1	0	0	0	0	0	0	1	0	1	0
	eo100205			Spring rolls	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo100206			Other Chinese or Thai dishes	g	1	1	0	0	0	0	0	0	0	0	0	0	0
	eo100207			Chinese or Thai buffet or shared meal or unspecified Chinese or Thai meal	g	0	1	2	1	3	2	3	2	2	1	7	3	4
	eo1003		All other ethnic meals		g	0	0	0	1	0	1	1	1	1	0	0	2	1
	eo110101			Steak - without sauce e.g. braised, sirloin	g	1	1	2	2	2	1	2	1	1	2	2	2	2
	eo110102			Roast meat with sauce or gravy	g	4	4	3	4	3	4	4	4	4	3	5	4	4
	eo110103			Pork chops with sauce or gravy	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo110104			Lamb chops with sauce or gravy	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo110105			Spare ribs	g	0	0	0	0	0	0	0	0	0	0	1	0	0
	eo110106			Bacon	g	1	1	2	2	1	2	1	2	2	2	2	1	1
	eo110107			Gammon or ham	g	1	1	1	1	1	1	1	1	1	1	1	1	1
	eo110108			All offal including liver, kidney, tongue	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo110201			Chicken or turkey with sauce or gravy	g	5	3	6	6	6	6	5	7	5	6	5	12	7
	eo110202			Chicken or turkey in breadcrumbs or batter	g	4	3	2	3	3	2	2	5	3	3	3	5	2
	eo110203			Duck with sauce or gravy	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo110204			Game with sauce or gravy	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo110301			Small or single burgers	g	5	4	5	4	4	5	3	4	3	4	3	3	3
	eo110302			Large or double burgers	g	5	5	6	6	5	5	4	5	3	3	5	4	3
	eo110303			Chicken burger	g	3	3	3	3	3	3	2	2	3	1	2	2	2
	eo110401			Kebabs - all types including chicken	g	2	1	2	2	4	2	3	3	2	4	2	5	1
	eo110402			Plain sausages e.g. beef, pork	g	5	4	4	5	4	4	4	5	4	4	4	3	3
	eo110403			Other sausages	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo110404			Hot dogs and sausage sandwiches	g	2	2	3	2	1	2	2	1	2	1	2	2	2
	eo110501			Meat pies (pastry topped) and pasties	g	6	7	6	6	8	6	7	4	7	4	4	5	3
	eo110502			Meat pies (potato topped e.g. shepherd's pie)	g	1	1	1	1	1	0	1	1	1	1	0	1	0
	eo110503			Sausage roll (pastry)	g	2	2	2	2	2	2	2	1	2	1	2	1	1
	eo110601			Meat and vegetable stews, casseroles or hotpots	g	1	1	1	1	1	1	2	1	1	1	1	1	0
	eo110602			Chicken or turkey stews, casseroles or hotpots	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo110603			Meat lasagne, cannelloni, moussaka and other meat-based oven baked dishes	g	2	2	1	3	3	2	1	2	2	3	2	1	2
	eo1107		Pate		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo1108		Other meat and meat products		g	1	1	0	1	1	1	1	1	1	1	1	1	0
	eo120101			White fish - grilled, steamed, baked or boiled - without sauce	g	1	1	1	1	1	1	0	0	0	0	0	1	0
	eo120102			White fish - fried (incl in batter/breadcrumbs) - without sauce	g	7	5	6	6	6	6	6	7	6	6	6	7	6
	eo120201			Trout, tuna and salmon only - fresh - without sauce or dressing	g	1	0	0	0	1	0	0	0	0	0	0	0	0
	eo120202			Other fatty fish - without sauce or dressing e.g. herring, mackerel, sardines	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo120301		Shellfish - without sauce or dressing e.g. prawns, shrimps, oysters, crab		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo120401		Kippers and other smoked fish e.g. smoked salmon		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo120501		Other fish products and unspecified 'fish' e.g. squid, sushi, crabsticks		g	0	0	0	0	0	0	0	0	0	0	0	1	0
	eo120601			Fish, processed, in breadcrumbs (fish fingers, fish cakes, scampi) - without sauce or dressing	g	1	1	1	1	1	1	1	1	1	0	1	1	1
	eo120602			Fish burgers (in bun)	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo120603			Fish based pie or other dish e.g. paella, kedgeree, tuna pasta bake	g	0	0	1	0	0	0	0	1	1	1	0	0	0
	eo130101			Cottage cheese including with pineapple	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo130102			Soft, continental or processed cheese e.g. brie	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo130103			Cheddar, blue or other hard cheese and unspecified 'cheese'	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo130104			Quiche and cheese pies or pasties	g	1	1	1	1	1	1	1	1	0	1	1	1	1
	eo130105			Other cheese dishes e.g. Welsh rarebit, cheese and biscuits	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo130201			Pizza - cheese and tomato, vegetable or unspecified 'pizza'	g	3	3	4	5	3	4	3	3	2	4	4	4	4
	eo130202			Pizza - meat, fish or poultry	g	1	1	2	1	1	1	2	2	2	2	1	1	1
	eo130301			Eggs - boiled or poached	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo130302			Eggs - scrambled, fried, omelettes or unspecified 'egg'	g	5	5	5	6	5	5	4	5	5	6	4	4	5
	eo130303			Other egg dishes e.g. egg mayonnaise	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo140101		Chips and french fries - from fast food outlet e.g. McDonalds		g	8	6	6	8	7	7	5	6	5	5	6	7	5
	eo140102		Chips - served with meal e.g. from restaurant or chip shop		g	31	26	31	29	28	26	23	25	19	24	22	25	21
	eo140103		Potatoes - boiled or unspecified 'potato'		g	6	4	5	7	4	5	5	4	4	3	2	5	3
	eo140104		Potatoes - mashed		g	2	2	2	2	2	2	2	1	2	1	1	1	2
	eo140105		Potatoes - roast		g	4	4	4	5	4	4	5	5	5	4	6	5	4
	eo140106		Sautéed potatoes, potato croquettes, hash browns etc.		g	1	1	1	1	1	1	1	1	1	1	1	1	1
	eo140107		Baked or jacket potatoes - without filling		g	3	3	4	4	4	3	4	2	3	2	2	2	2
	eo140108		Other potato dishes (e.g. wedges, potato salad) including unspecified 'potato dish'		g	1	0	1	1	1	0	0	0	1	1	0	1	0
	eo150101			Lettuce and cress	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo150102			Other green vegetables e.g. spinach, cabbage, sprouts	g	3	3	4	4	2	2	2	3	3	2	3	3	2
	eo150201			Peppers - raw or cooked	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo150202			Courgettes, marrow, aubergine, pumpkin, plantain, cucumbers	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo150203			Peas and sweetcorn	g	4	4	5	4	4	4	3	4	4	2	3	3	2
	eo150204			Baked beans and other beans (not green beans) and pulses	g	3	3	4	5	4	3	3	4	3	4	4	3	3
	eo150205			Tomato - fresh or raw	g	0	0	0	0	0	0	0	0	0	0	1	0	0
	eo150206			Tomato - cooked or processed	g	1	1	1	1	1	1	1	1	1	1	1	1	1
	eo150301			Carrots	g	2	2	3	2	2	2	1	2	2	1	2	2	1
	eo150302			Onions - raw, cooked or unspecified 'onions'	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo150303			Onions - fried	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo150304			Other root vegetables or tubers e.g. turnip, parsnip, radish, beetroot	g	0	0	0	0	0	0	0	0	1	0	0	0	0
	eo1504		Mushrooms		g	1	0	1	0	1	1	1	0	1	0	0	1	1
	eo150501			Mixed vegetables or unspecified 'vegetable'	g	2	2	2	3	3	3	4	2	3	2	3	4	3
	eo150502			Other vegetables e.g. artichoke, asparagus	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo150503			Vegetables in batter or breadcrumbs and deep fried vegetables e.g. onion rings	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo150504			Onion and other vegetable bhajis and pakora	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo150601			Veggie burger, bean burger, veggie sausage, nut roast	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo150602			Vegetable lasagne, vegetable cannelloni, vegetable moussaka and other oven baked vegetable based dishes	g	1	2	1	1	1	1	3	2	1	1	2	1	0
	eo150603			Stuffed vegetables (e.g. stuffed pepper) and vegetable based starter	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo150604			Vegetable based stews and casseroles and vegetable based pies	g	2	1	1	1	1	1	1	0	0	1	0	0	0
	eo160101			Mixed salad, main course  - without dressing	g	0	0	0	0	0	0	0	0	0	0	0	0	1
	eo160102			Mixed salad, side dish - without dressing - including unspecified 'salad'	g	3	4	4	4	5	5	4	2	5	4	4	5	3
	eo160103			Green salad - without dressing	g	1	1	1	0	0	0	0	0	0	0	0	0	0
	eo160201			Vegetable or fruit and nut salad - with dressing	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo160202			Pasta, rice, mixed bean or cereal-based salads - with dressing	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo160301			Meat salad e.g. beef, lamb salads	g	1	1	0	1	1	1	0	1	0	1	0	0	0
	eo160302			Chicken or turkey salad	g	1	1	0	1	1	1	1	1	1	1	1	0	1
	eo160303			Fish salad e.g. tuna, salmon salads	g	1	1	0	0	1	1	0	0	1	0	1	0	0
	eo160401			Cheese salad including ploughmans	g	0	1	0	0	1	1	1	1	1	0	1	0	1
	eo160402			Egg salad	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo160501		Other salads e.g. Greek, Florida, Russian		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo160601		Salad buffet or buffet meal where items not specified		g	0	0	0	1	1	0	0	0	0	0	0	0	0
	eo170101		Fried rice and risotto		g	1	1	1	1	1	1	1	0	1	1	1	1	1
	eo170102		All cooked rice exluding fried rice e.g. boiled, pilau, savoury		g	2	2	2	4	2	3	3	1	2	2	3	4	3
	eo170103		Pasta - not filled and plain noodles (including pot noodle) - without sauce		g	2	2	1	2	2	2	2	2	1	3	4	2	2
	eo170104		Pasta - filled e.g. ravioli, tortellini - without sauce		g	0	0	0	0	1	0	0	0	0	0	1	0	0
	eo170105		Noodles with meat, vegetables etc.		g	1	0	0	0	0	0	0	0	0	1	1	1	0
	eo180101		Meat & fish soups		g	1	0	0	1	0	0	0	0	0	0	0	0	0
	eo180102		Vegetable based soups		g	3	2	2	2	3	2	2	2	2	2	1	3	2
	eo180103		Chinese soups, consommé (meat, fish or veg)		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo180104		Other soups including unspecified 'soup'		g	3	2	3	2	3	1	3	2	2	2	2	3	4
	eo190101		Muesli and oat crunch cereals		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo190102		Other high fibre breakfast cereals e.g. Allbran, Weetabix		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo190103		Sweetened breakfast cereals e.g. Frosties, Sugar Puffs		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo190104		Hot breakfast cereals e.g. porridge, Ready Brek		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo190105		Other breakfast cereals and unspecified 'cereal' e.g. Cornflakes, Rice Krispies, Special K		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200101			All citrus fruit, fresh e.g. orange, grapefruit	g	1	0	0	0	0	0	0	0	0	0	1	0	0
	eo200102			Banana, fresh	g	1	0	1	1	1	1	0	0	0	0	0	0	1
	eo200103			Apples, fresh	g	1	0	0	1	1	1	1	1	0	0	0	0	0
	eo200104			Pears, fresh	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200105			Stone fruit, fresh e.g. apricot, plum, peach, cherry, avocado	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200106			Grapes, fresh	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200107			Soft fruit or berries, fresh e.g. strawberries, blackberries - without cream or ice cream	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200108			Melon, fresh	g	0	0	1	0	1	0	0	0	0	0	0	0	0
	eo200109			Pineapple, fresh	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo200110			Fresh fruit salad - without cream or ice cream	g	0	0	0	1	1	1	0	1	0	1	1	0	0
