Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,WAN USAGE,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,BT GLOBAL SERVICES,"73,223.84",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,COST OF FP 10 PRESCRIPTIONS,DIRECTOR OF NURSING & PATIENT SERVICES,BUSINESS SERVICES AUTHORITY,"28,303.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/05/2012,COMPUTER SOFTWARE,CAPITAL PROGRAM,CACI LIMITED,"22,564.57",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"33,099.60",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/05/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"109,235.11",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"43,594.58",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/05/2012,SW SUPPORT,DIRECTOR OF NURSING & PATIENT SERVICES,ENDOSOFT LTD,"27,456.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/05/2012,EQUIPMENT >5K,CAPITAL PROGRAM,GE MEDICAL SYSTEMS,"216,000.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,BUILD MAINT DAY TO DAY,DIRECTOR OF FACILITIES MANAGEMENT,GRANTHAM ROOFING SERVICES LTD,"26,179.33",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,HAEMOPHILLIA BLOOD PRODUCTS,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"39,520.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/05/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"25,354.08",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/05/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"54,229.56",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"73,949.40",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/05/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE PRODUCT SERVICES,"31,449.60",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/05/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE PRODUCT SERVICES,"62,376.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/05/2012,SW SUPPORT,DIRECTOR OF NURSING & PATIENT SERVICES,HEALTHCARE SOFTWARE SYSTEMS LIMITED,"59,429.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/05/2012,EQUIPMENT >5K,CAPITAL PROGRAM,HUNTLEIGH HEALTHCARE,"43,945.68",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/05/2012,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,HUNTLEIGH HEALTHCARE,"49,298.52",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/05/2012,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,HUNTLEIGH HEALTHCARE,"58,480.61",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/05/2012,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,HUNTLEIGH HEALTHCARE,"58,296.01",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/05/2012,SW SUPPORT,DIRECTOR OF NURSING & PATIENT SERVICES,INSIGNIA MEDICAL SYSTEMS LTD,"26,208.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/05/2012,STRUCTURE,CAPITAL PROGRAM,INTERSERVE CONSTRUCTION LTD,"28,580.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/05/2012,STRUCTURE,CAPITAL PROGRAM,J TOMLINSON LTD,"53,454.30",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,MINOR CLINICAL EQUIPMENT,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,KARL STORZ ENDOSCOPY (UK) LTD,"28,190.63",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/05/2012,CHILDCARE VOUCHERS,PAN TRUST,KIDDIVOUCHERS LTD,"34,651.64",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/05/2012,ADMIN CLERICAL OTHER,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"9,923.37",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"114,780.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/05/2012,OTHER ANCILLARY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"17,145.57",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/05/2012,TRAVEL AND SUBSISTENCE EXPS,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,192.19,May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,EXTERNAL CONTRACTS,DIRECTOR OF HUMAN RESOURCES,LINCOLNSHIRE PARTNERSHIP NHS TRUST,859,May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"40,555.13",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/05/2012,STAFF COSTS OTHER NHS BODIES,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE TEACHING PCT,"181,567.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/05/2012,COMPUTER HARDWARE,CAPITAL PROGRAM,MARTIN DAWES SOLUTIONS,"42,955.20",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/05/2012,FINANCIAL LEDGER,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,MCKESSON INFORMATION SOLUTIONS,"78,056.75",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,MEDICA GROUP,"43,684.25",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/05/2012,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,MEDICA GROUP,"39,016.85",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/05/2012,CLINICAL SERVICE CONTRACT,DIRECTOR OF NURSING & PATIENT SERVICES,MEDICA GROUP,"35,667.30",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/05/2012,STRUCTURE,CAPITAL PROGRAM,MOWBRAY & SON LTD,"69,169.53",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,POSTAGE,DIRECTOR OF FACILITIES MANAGEMENT,NEOPOST (FRANKING MACHINE),"50,000.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"116,139.33",May-12
