Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount 
Department of Health,Buckinghamshire PCT,01/11/2010,H/Care-Nhs Trusts Service Level Agreement,Nhs Service Level Agreements (Acute),Buckinghamshire Hospitals Nhs Trust,24756,"16,081,433.00"
Department of Health,Buckinghamshire PCT,15/11/2010,Healthcare-Pcts-Lead Commissioning,Specialist Commissioning,Hampshire Pct,25200,"5,478,742.00"
Department of Health,Buckinghamshire PCT,01/11/2010,Primary Care Expenditure,Primary Care Expenditure,Thames Valley Primary Care Agency,24994,"5,200,000.00"
Department of Health,Buckinghamshire PCT,01/11/2010,H/Care-Nhs Trusts Service Level Agreement,Non-Acute Nhs Service Level Agreements - Community,Buckinghamshire Hospitals Nhs Trust,24756,"3,518,250.00"
Department of Health,Buckinghamshire PCT,15/11/2010,H/Care-Foundation Trusts Service Level Agreements,Section 31 Mental Health Pool Budget,Obmh Nhs Foundation Trust,24816,"2,644,259.13"
Department of Health,Buckinghamshire PCT,15/11/2010,H/Care-Foundation Trusts Service Level Agreements,Nhs Service Level Agreements (Acute),Heatherwood & Wexham Park Hospitals Nhsft,25188,"2,502,536.71"
Department of Health,Buckinghamshire PCT,15/11/2010,H/Care-Nhs Trusts Service Level Agreement,Nhs Service Level Agreements (Acute),Oxford Radcliffe Hospital Nhs Trust,25193,"2,122,687.00"
Department of Health,Buckinghamshire PCT,04/11/2010,Healthcare - Non-Nhs Bodies,Drug and Alcohol Action Team (DAAT),Buckinghamshire County Council - Receipts Acc,148472,"1,816,920.00"
Department of Health,Buckinghamshire PCT,15/11/2010,H/Care-Nhs Trusts Service Level Agreement,Patient Transport,South Central Ambulance Service  Nhs Trust,25196,"1,118,480.77"
Department of Health,Buckinghamshire PCT,15/11/2010,H/Care-Foundation Trusts Service Level Agreements,Nhs Service Level Agreements (Acute),Milton Keynes  Hospital Nhs Foundation Trust,25190,"535,730.00"
Department of Health,Buckinghamshire PCT,03/11/2010,Out of Hours Services,General Medical Services,Buca Llp,154504,"474,581.00"
Department of Health,Buckinghamshire PCT,15/11/2010,H/Care-Nhs Trusts Service Level Agreement,Nhs Service Level Agreements (Acute),Nuffield Orthopaedic Centre Nhs Trust,25192,"423,111.00"
Department of Health,Buckinghamshire PCT,08/11/2010,Healthcare-Pcts-Lead Commissioning,"Non-Nhs Service Level Agreements Acute: ISTC,BPAS",Oxfordshire Primary Care Trust,23741,"394,667.00"
Department of Health,Buckinghamshire PCT,08/11/2010,Healthcare - Non-Nhs Bodies,Section 31 Learning Disability Pool Budget,Buckinghamshire County Council - Receipts Acc,151004,"375,000.00"
Department of Health,Buckinghamshire PCT,15/11/2010,H/Care-Nhs Trusts Service Level Agreement,Section 31 Learning Disability Pool Budget,Oxford Learning Disabilities Nhs Trust,25106,"361,768.00"
Department of Health,Buckinghamshire PCT,17/11/2010,Des - Towards Practice Based Commissioning,General Medical Services,Bucks Primary Care Collaborative,155794,"230,000.00"
Department of Health,Buckinghamshire PCT,12/11/2010,Clinical Excellence Awards,Non Contract Expenditure,Buckinghamshire Hospitals Nhs Trust,24462,"229,204.00"
Department of Health,Buckinghamshire PCT,10/11/2010,Healthcare - Non-Nhs Bodies,Non Contract Activities,Bmi The Chiltern Hospital,154994,"203,465.05"
Department of Health,Buckinghamshire PCT,29/11/2010,Improving Access to Psychological Therapies - Healthy Minds,Mental Health,Obmh Nhs Foundation Trust,23773,"192,365.33"
Department of Health,Buckinghamshire PCT,29/11/2010,Improving Access to Psychological Therapies - Healthy Minds,Mental Health,Obmh Nhs Foundation Trust,24150,"192,365.33"
Department of Health,Buckinghamshire PCT,29/11/2010,Improving Access to Psychological Therapies - Healthy Minds,Mental Health,Obmh Nhs Foundation Trust,24484,"192,365.33"
Department of Health,Buckinghamshire PCT,30/11/2010,Improving Access to Psychological Therapies - Healthy Minds,Mental Health,Obmh Nhs Foundation Trust,25478,"192,365.33"
Department of Health,Buckinghamshire PCT,17/11/2010,Healthcare - Non-Nhs Bodies,Prison Services,Care Uk Clinical Services Ltd,154423,"184,750.00"
Department of Health,Buckinghamshire PCT,29/11/2010,Healthcare - Non-Nhs Bodies,Prison Services,Care Uk Clinical Services Ltd,156081,"184,750.00"
Department of Health,Buckinghamshire PCT,15/11/2010,Additions - Non Residential Building,Capital Expenditure,Facilitas Smc Ltd,155341,"176,250.00"
Department of Health,Buckinghamshire PCT,15/11/2010,H/Care-Foundation Trusts Service Level Agreements,Nhs Service Level Agreements (Acute),Royal Berkshire Nhs Foundation Trust,25195,"169,490.00"
Department of Health,Buckinghamshire PCT,15/11/2010,H/Care-Nhs Trusts Service Level Agreement,Nhs Service Level Agreements (Acute),East And North Herts Nhs Trust,25187,"155,447.00"
Department of Health,Buckinghamshire PCT,15/11/2010,H/Care-Foundation Trusts Service Level Agreements,Nhs Service Level Agreements (Acute),Luton And Dunstable Hospital Nhs F Trust,25189,"154,139.25"
Department of Health,Buckinghamshire PCT,11/11/2010,Non-H/Care-Nhs Trusts,Strategic Change Fund,Buckinghamshire Hospitals Nhs Trust,25185,"136,500.00"
Department of Health,Buckinghamshire PCT,30/11/2010,Healthcare - Non-Nhs Bodies,"Non-Nhs Service Level Agreements Acute: ISTC,BPAS",Care Uk Plc,148833,"135,873.00"
Department of Health,Buckinghamshire PCT,08/11/2010,Non-Healthcare-Pcts,Miscellaneous Budgets,Berkshire West Pct,24826,"131,369.00"
Department of Health,Buckinghamshire PCT,30/11/2010,Healthcare - Non-Nhs Bodies,"Non-Nhs Service Level Agreements Acute: ISTC,BPAS",Care Uk Plc,151564,"126,202.00"
Department of Health,Buckinghamshire PCT,15/11/2010,Healthcare-Pcts-Lead Commissioning,Non-Acute Nhs Sla'S-Community,Berkshire East Primary Care Trust,25198,"120,513.58"
Department of Health,Buckinghamshire PCT,10/11/2010,Healthcare - Non-Nhs Bodies,Non Contract Activities,Bmi The Shelburne Hospital,154991,"105,006.31"
Department of Health,Buckinghamshire PCT,10/11/2010,Healthcare - Non-Nhs Bodies,Continuing Care Budgets,Mj & Je Dmochowska,155003,"100,069.79"
Department of Health,Buckinghamshire PCT,18/11/2010,Non-H/Care-Other Nhs Bodies,"Non-Nhs Service Level Agreements Acute: ISTC,BPAS",Hampshire Pct,24843,"90,259.00"
