CPS outcomes by principal offence category avon_and_somerset,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,2,100.0%,0,0.0%
B Offences Against The Person,294,80.5%,71,19.5%
C Sexual Offences,28,87.5%,4,12.5%
D Burglary,45,73.8%,16,26.2%
E Robbery,14,100.0%,0,0.0%
F Theft And Handling,368,93.4%,26,6.6%
G Fraud And Forgery,22,81.5%,5,18.5%
H Criminal Damage,89,88.1%,12,11.9%
I Drugs Offences,148,94.9%,8,5.1%
J Public Order Offences,160,86.0%,26,14.0%
K All Other Offences (excluding Motoring),89,90.8%,9,9.2%
L Motoring Offences,321,87.7%,45,12.3%
Admin Finalisations,0,0.0%,14,100.0%
TOTAL,"1,580",87.0%,236,13.0%
