A separate key is published alongside the data to expand on column headings A1 through to G4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOBS,KEY,SURVEY,SECTOR,LAW,COUNTRY,SIZE,A1,A2,A3,A4,A6,A8_1,A8_2,A8_3,A8_4,A8_5,A8_6,A8_7,B1,B1A,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8A,B2A,B3,B4,B3B4,C1_1,C1_2,C1_3,C1_4A,C1_5,C1_6,C1_7,C1_8,C1_9,C1_10,C1_11,D1,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10,D2_11,D2_12,D2A,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,D5_7,D5_8,D5_9,D3,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E1_11,E2,E3,F1,F1A_1,F1A_2,F1A_3,F1A_4,F1A_5,F1A_6,F1A_7,F1A_8,F1A_9,F1A_10,F1B,G1_1,G1_2,G1_3,G1_4,G1_5,G1_6,G1_LAW,G2_1,G2_2,G2_3,G2_4,G2_5,G2_6,G2_7,G2_8,G4,WEIGHT
122,a000108,NAO SURVEY,Manufacturing,Employment,England,Micro (1-9 employees),1 to 4,6 - 20 years,Stay the same,Stay the same,Complying with regulation,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,None / Do not employ any staff,1-2 days,Don't know,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Don't know,Tend to agree,Yes, ,Yes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Not very informed,Not,Not,Not,Not,External accountant,External insurance company,External lawyer,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not,Other,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Become slightly less time consuming,Increase a lot,No, , , , , , , , , , ,Don't know,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,Yes,1.394061334
504,a000115,NAO SURVEY,Property/Management/Business Services,Employment,England,Small (10-49 employees),10 to 19,6 - 20 years,Take on staff,Take on staff,Level of tax,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,None / Do not employ any staff,Half a day to a day,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Tend to agree,Yes, ,Yes,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Not very informed,Not,The Businesslink website,Government departments' websites,Not,External accountant,External insurance company,External lawyer,External specialist consultant,Trade Association(s)/Business Organisation(s),Not,Not,Not,5 to 8,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,More time consuming,More time consuming,More time consuming,Don't know,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Become slightly more time consuming,Stay the same,No, , , , , , , , , , ,No,Not,Not,Fire Safety,Not,Not,Not,Fire Safety,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,0.022304804
59,a000126,NAO SURVEY,Manufacturing,Employment,England,Small (10-49 employees),20 - 49,More than 20 years,Stay the same,Take on staff,Access to finance,Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Strongly Disagree,1,Less than half a day,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly agree,Yes, ,Yes,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Not very informed,Not,Not,Government departments' websites,Not,External accountant,External insurance company,External lawyer,Not,Not,Not,Not,Not,1 to 4,Not,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Not,Not,Not,Not, ,Stayed the same,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Stayed the same,Stayed the same,More time consuming,More time consuming,More time consuming,Become slightly more time consuming,Increase a little,No, , , , , , , , , , ,No,Not,Not,Fire Safety,Not,Not,Not,Fire Safety,Very Satisfied,Very Satisfied,Fairly satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Fairly satisfied,Very Satisfied,No,0.15233232
133,a000131,NAO SURVEY,Manufacturing,Employment,England,Medium (50-249 employees),50 - 99,More than 20 years,Stay the same,Take on staff,Staff recruitment and/ or retention,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,None / Do not employ any staff,Less than half a day,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Tend to agree,Yes, ,Yes,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Fairly informed,Not,The Businesslink website,Government departments' websites,Not,External accountant,External insurance company,External lawyer,External specialist consultant,Not,Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Not,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,N/A,N/A,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,Don't know,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.124250359
21,a000134,NAO SURVEY,Manufacturing,Company,Northern Ireland,Medium (50-249 employees),50 - 99,More than 20 years,Reduce staff,Stay the same,Attracting and retaining customers,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,1,1-2 days,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly agree,No,too much regulation,Too much regulation,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Fairly informed,Not,The Businesslink website,Not,Not,External accountant,Not,External lawyer,Not,Not,Not,Not,Not,Don't know,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Not,Worried about penalties for non compliance,Not,Not,Not, ,More time consuming,More time consuming,More time consuming,Don't know,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Stayed the same,Become slightly more time consuming,Decrease a little,Yes,Not,Not,A Government department,Not,Not,Not,Not,Not,Not,Not,No, , , , , , , , , , , , , , , , ,0.124250359
149,a000145,NAO SURVEY,Property/Management/Business Services,Health and Safety,England,Large (250+ employees),250 - 499,More than 20 years,Take on staff,Stay the same,Level of tax,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,None / Do not employ any staff,Less than half a day,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither agree nor disagree,Yes, ,Yes,Agree,Neither Agree nor Disagree,Agree,N/A,Agree,Don't know,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Fairly informed,Not,Not,Not,Not,Not,Not,Not,External specialist consultant,Not,Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Not,Not,Need for assurance,Want independent advice,Not,Not,Not,Not, ,Stayed the same,Stayed the same,Stayed the same,N/A,Stayed the same,N/A,Stayed the same,N/A,Stayed the same,Stayed the same,More time consuming,Become slightly more time consuming,Increase a little,No, , , , , , , , , , ,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.022304804
855,a000148,NAO SURVEY,Public administrator/Other,Company,England,Medium (50-249 employees),100 - 249,More than 20 years,Reduce staff,Reduce staff,Access to finance,Neither Agree nor Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,1,Half a day to a day,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neither agree nor disagree,No,too much regulation,Too much regulation,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Fairly informed,Not,The Businesslink website,Government departments' websites,Direct contact with Government departments,External accountant,External insurance company,External lawyer,External specialist consultant,Not,Not,Not,Not,5 to 8,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,More time consuming,More time consuming,Stayed the same,Increase a lot,No, , , , , , , , , , ,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.122012248
50,a000183,NAO SURVEY,Manufacturing,Health and Safety,England,Large (250+ employees),"1,000+",6 - 20 years,Reduce staff,Don't know,Don't know,Disagree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,1,More than 20 days,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Tend to disagree,Yes, ,Yes,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Very informed,Not,The Businesslink website,Government departments' websites,Not,Not,External insurance company,Not,Not,Not,Not,Not,Not,5 to 8,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not, ,More time consuming,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,No,Not,Not,Not,Health and Safety,Not,Not,Health and Safety,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Yes,0.048231999
84,a000186,NAO SURVEY,Manufacturing,Health and Safety,England,Large (250+ employees),500 - 999,More than 20 years,Take on staff,Take on staff,Attracting and retaining customers,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Agree,1,More than 20 days,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Yes, ,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very informed,Not,Not,Government departments' websites,Not,Not,External insurance company,External lawyer,External specialist consultant,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not,Not,Not,Need for assurance,Not,Not,Not,Not,Not, ,Stayed the same,Stayed the same,Stayed the same,Less time consuming,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Decrease a little,No, , , , , , , , , , ,No,Not,Not,Fire Safety,Not,Not,Not,Fire Safety,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,0.048231999
396,b000009,NAO SURVEY,Agriculture,Health and Safety,England,Micro (1-9 employees),1 to 4,1 - 3 years,Take on staff,Take on staff,Level of tax,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,None / Do not employ any staff,Less than half a day,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Disagree,Agree,Neither agree nor disagree,Yes, ,Yes,Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Not very informed,Not,Not,Not,Direct contact with Government departments,Not,Not,Not,Not,Not,Not,Not,Not, , , , , , , , , , , ,Don't know,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,0.754602401
