TRANSACTION TYPE,TRANSACTION DATE,TRANSACTION REFERENCE,MERCHANT,TOTAL
Individual GPC,12/2/2013,PCCL1711764,SIGHTANDSOUND.CO.U       ,845.94
Individual GPC,12/3/2013,PCCL1711487,SOUTH EAST DRAWING OFF V ,710.59
Individual GPC,12/3/2013,PCCL1711792,Shanghai Rui Jing Bin Gua,863.96
Individual GPC,12/11/2013,PCCL1712622,ISTORAGE                 ,531.60
Individual GPC,12/11/2013,PCCL1712495,THE PAPER COMPANY        ,508.80
Individual GPC,12/20/2013,PCCL1712499,THE PAPER COMPANY        ,508.80
Individual GPC,12/20/2013,PCCL1712500,THE PAPER COMPANY        ,594.00
Individual GPC,12/20/2013,PCCL1712501,THE PAPER COMPANY        ,594.00
Individual GPC,12/20/2013,PCCL1712502,THE PAPER COMPANY        ,594.00
Lodged GPC,02/12/2013,468597599,HOGG ROBINSON GROUP LTD,520.71
Lodged GPC,03/12/2013,468896928,HOGG ROBINSON GROUP LTD,581.30
Lodged GPC,05/12/2013,470194286,HOGG ROBINSON GROUP LTD,601.70
Lodged GPC,05/12/2013,470476753,HOGG ROBINSON GROUP LTD,602.21
Lodged GPC,06/12/2013,469640049,HOGG ROBINSON GROUP LTD,692.71
Lodged GPC,06/12/2013,469640050,HOGG ROBINSON GROUP LTD,692.71
Lodged GPC,06/12/2013,469803060,HOGG ROBINSON GROUP LTD,539.23
Lodged GPC,09/12/2013,469802868,HOGG ROBINSON GROUP LTD,1936.00
Lodged GPC,10/12/2013,470776510,HOGG ROBINSON GROUP LTD,533.27
Lodged GPC,11/12/2013,471480558,HOGG ROBINSON GROUP LTD,696.05
Lodged GPC,11/12/2013,471480557,HOGG ROBINSON GROUP LTD,719.49
Lodged GPC,11/12/2013,470776345,HOGG ROBINSON GROUP LTD,730.01
Lodged GPC,11/12/2013,470776347,HOGG ROBINSON GROUP LTD,730.01
Lodged GPC,13/12/2013,471220730,HOGG ROBINSON GROUP LTD,1669.65
Lodged GPC,18/12/2013,472745951,HOGG ROBINSON GROUP LTD,631.91
Lodged GPC,18/12/2013,472338161,HOGG ROBINSON GROUP LTD,581.30
Lodged GPC,18/12/2013,472745961,HOGG ROBINSON GROUP LTD,590.61
Lodged GPC,19/12/2013,472615437,HOGG ROBINSON GROUP LTD,1992.25
Lodged GPC,19/12/2013,472337983,HOGG ROBINSON GROUP LTD,3688.49
Lodged GPC,20/12/2013,473031912,HOGG ROBINSON GROUP LTD,763.32
Lodged GPC,20/12/2013,473031913,HOGG ROBINSON GROUP LTD,763.32
Lodged GPC,23/12/2013,473031993,HOGG ROBINSON GROUP LTD,2871.05
Lodged GPC,23/12/2013,473031994,HOGG ROBINSON GROUP LTD,2871.05
