Transaction Date,Merchant Name,Total
01.06.14,Amazon EU,20.25 
02.06.14,ARQIVA WIFI,3.00 
02.06.14,KEWELL CONVERTERS,433.97 
02.06.14,LONDON OVERGROUND-,10.00 
02.06.14,PRESERVATION EQUIP,152.40 
02.06.14,TRAVELODGE,14.40 
02.06.14,WWW.ROYALMAIL.COM,3.50 
02.06.14,XMA LTD,992.76 
03.06.14,8040,42.09 
03.06.14,ADVANCED LABELLING,311.33 
03.06.14,CONVENIENCE CHEQUE FEE,2.50 
03.06.14,EC MAINLINE CO INT,55.00 
03.06.14,INT GRUP CONGRES AND EVEN,545.61 
03.06.14,LONDON OVERGROUND-,8.90 
03.06.14,LUL TICKET OFFICE.,25.00 
03.06.14,SELFSERVE TICKET,3.40 
03.06.14,TESCO PFS 3361,40.36 
03.06.14,TRAVELODGE,13.80 
03.06.14,WEST COAST TRAINS,196.00 
04.06.14,Amazon EU,99.00 
04.06.14,ARQIVA WIFI,3.00 
04.06.14,ASKEWS LIBRARY SER,47.70 
04.06.14,AVIS ENFIELD,73.68 
04.06.14,BANNER BUSINESS SERVIC,55.44 
04.06.14,BANNER BUSINESS SERVIC,75.24 
04.06.14,BANNER BUSINESS SERVIC,37.00 
04.06.14,INT GRUP CONGRES AND EVEN,420.00 
04.06.14,JIM OLDROYD BOOKS,250.34 
04.06.14,LONDON OVERGROUND-,5.00 
04.06.14,LONDON OVERGROUND-,8.90 
04.06.14,LONDON OVERGROUND-,10.00 
04.06.14,LONDON OVERGROUND-,8.20 
04.06.14,LUL TICKET MACHINE,30.00 
04.06.14,MARKS & SPENCER,32.86 
04.06.14,PRET A MANGER,3.98 
04.06.14,TICKETOFFICESALE,22.60 
04.06.14,TRAVELTALK,73.09 
05.06.14,Amazon *Mktplce EU-UK,183.78 
05.06.14,BANNER BUSINESS SERVIC,28.45 
05.06.14,BANNER BUSINESS SERVIC,154.74 
05.06.14,BANNER BUSINESS SERVIC,"1,832.94 "
05.06.14,BRITISH A   1258208692396,20.93 
05.06.14,CONSERVATION.CO.UK,28.20 
05.06.14,GREATER ANGLIA,21.20 
05.06.14,LONDON OVERGROUND-,8.90 
05.06.14,POSTCRIPT SANDPIPE,680.16 
05.06.14,RADISSON BLU HOTEL,10.95 
05.06.14,ROYAL TOBY HOTEL,50.00 
05.06.14,ROYAL TOBY HOTEL,41.95 
05.06.14,WWW.FIRST4MAGNETS.COM,18.32 
05.06.14,WWW.NEOPOST.CO.UK,162.00 
06.06.14,8070,71.44 
06.06.14,ABEBOOKS.COM,41.27 
06.06.14,AIRBNB,65.00 
06.06.14,ASKEWS LIBRARY SER,127.29 
06.06.14,BANNER BUSINESS SERVIC,25.25 
06.06.14,BONHAMS,180.00 
06.06.14,CONVENIENCE CHEQUE FEE,2.50 
06.06.14,DABS.COM PLC,137.53 
06.06.14,THE IMC GROUP LTD,980.75 
06.06.14,WWW.OFCOM.ORG.UK,75.00 
06.06.14,WWW.PURELYPAPER.CO.UK,90.19 
06.06.14,WWW.SURVEYANALYTICS.COM,153.58 
06.06.14,WWW.SURVEYANALYTICS.COM,491.46 
07.06.14,Amazon EU,29.46 
07.06.14,ELECTRA HOTEL,401.75 
07.06.14,ELECTRA HOTEL,401.75 
07.06.14,OYSTER AUTOTOPUP,40.00 
07.06.14,OYSTER AUTOTOPUP,20.00 
08.06.14,FGW SELF SERVICE,31.50 
08.06.14,TOTAL REGISTRATION,14.38 
09.06.14,LONDON OVERGROUND-,20.00 
09.06.14,SECOL LIMITED,94.20 
09.06.14,WWW.IWEB-HOSTING.CO.UK,38.40 
09.06.14,XMA LTD,150.26 
10.06.14,ABEBOOKS.COM,110.98 
10.06.14,BADGEMASTER LTD,8.32 
10.06.14,BANNERBRIDGE PLC,"1,006.20 "
10.06.14,BILLET WEEZEVENT,51.69 
10.06.14,BOOTS.COM,57.17 
10.06.14,BUNZL CLEANING & HYGIE,636.00 
10.06.14,BUYABATTERY CO UK,36.76 
10.06.14,MARKS&SPENCER SSPL TD,3.80 
10.06.14,PAYPAL *BUFVC,15.00 
10.06.14,PREZZO,25.00 
10.06.14,SELFSERVE TICKET,7.00 
10.06.14,TNA DOCUMENTS ONLINE,-0.00 
10.06.14,TRINITY & ALL STS,450.00 
11.06.14,8020,25.00 
11.06.14,8100,"1,412.27 "
11.06.14,BOYDELL & BREWER LTD,50.00 
11.06.14,COMMS EXPRESS LTD,-772.08 
11.06.14,CONVENIENCE CHEQUE FEE,30.75 
11.06.14,GREENHAM TRADING LTD,437.95 
11.06.14,LONDON & SOUTH EAS,260.00 
11.06.14,LONDON OVERGROUND-,8.90 
11.06.14,LUL TICKET OFFICE.,5.90 
11.06.14,ONE STOP FOOD,5.99 
11.06.14,OYSTER AUTOTOPUP,20.00 
11.06.14,RINGGO,7.40 
11.06.14,SAINSBURYS S/MKTS,7.50 
11.06.14,THE OLD MEXICAN,49.60 
11.06.14,WWW.UKPOS.COM,29.66 
12.06.14,8090,"1,038.00 "
12.06.14,Amazon *Mktplce EU-UK,27.47 
12.06.14,BANNER BUSINESS SERVIC,22.26 
12.06.14,BANNER BUSINESS SERVIC,176.30 
12.06.14,BOOTS.COM,54.95 
12.06.14,CONSERVATION.CO.UK,129.36 
12.06.14,CONVENIENCE CHEQUE FEE,20.76 
12.06.14,CORNERHOUSE HOTEL,91.95 
12.06.14,CORNERHOUSE HOTEL,200.00 
12.06.14,DISPLAYSENSE LTD,103.48 
12.06.14,DRAMCO LTD,55.44 
12.06.14,FANSHAW BOOKS LIMITED,453.24 
12.06.14,GENUINE DINING CO,14.15 
12.06.14,GO METRO GARE DU MIDI,11.63 
12.06.14,LONDON OVERGROUND-,20.00 
12.06.14,LONDON OVERGROUND-,8.90 
12.06.14,LUL TICKET MACHINE,9.00 
12.06.14,LUL TICKET OFFICE.,6.40 
12.06.14,OYSTER AUTOTOPUP,40.00 
12.06.14,SECURITY SERVICES GRP,652.80 
12.06.14,THE CHILTERN RLYWY,31.30 
12.06.14,TNA BOOKSHOP,15.19 
12.06.14,TRAVELODGE WEBSITE,71.65 
12.06.14,WWW.FISHER.CO.UK,262.32 
13.06.14,8080,718.40 
13.06.14,Amazon EU,11.97 
13.06.14,AVIS LUTON,47.54 
13.06.14,BA INSURANCE SERV,24.00 
13.06.14,BALSAMIQ,14.71 
13.06.14,BRITISH A   1258512568375,"1,264.41 "
13.06.14,COLUMBUS TRAINLINE,2.00 
13.06.14,CONVENIENCE CHEQUE FEE,14.37 
13.06.14,LONDON & SOUTH EAS,11.40 
13.06.14,LONDON OVERGROUND-,7.00 
13.06.14,LONDON OVERGROUND-,11.40 
13.06.14,LUL TICKET MACHINE,17.80 
13.06.14,LUL TICKET OFFICE.,6.00 
13.06.14,LUL TICKET OFFICE.,4.70 
13.06.14,OYSTER AUTOTOPUP,40.00 
13.06.14,PAYPAL *ISKO UK,60.00 
13.06.14,PREMIER INN44018350,280.25 
13.06.14,TEXDOWNSSSTN,12.38 
13.06.14,TRAINLINE.COM,46.31 
13.06.14,WWW.LEEDS.AC.UK,480.00 
14.06.14,GREATER ANGLIA,11.40 
14.06.14,OYSTER AUTOTOPUP,20.00 
14.06.14,OYSTER AUTOTOPUP,20.00 
15.06.14,MAIDSTONE TAXI CO,58.00 
15.06.14,OYSTER AUTOTOPUP,40.00 
15.06.14,OYSTER AUTOTOPUP,40.00 
15.06.14,OYSTER AUTOTOPUP,20.00 
16.06.14,AVIS ENFIELD,54.84 
16.06.14,BP BULLSMOOR LANE F/STN,33.35 
16.06.14,BT DISCLOSURE SCOTLAND,25.00 
16.06.14,COLUMBUS TRAINLINE,2.00 
16.06.14,LUL TICKET MACHINE,8.90 
16.06.14,OLSON ELECTRONICS LTD,"1,712.40 "
16.06.14,PRET A MANGER,5.48 
16.06.14,ROYAL MAIL,956.70 
16.06.14,SELFSERVE TICKET,36.80 
16.06.14,STAFFERTON WAY MSCP,4.50 
16.06.14,TAXIPAY TAXI FARE,10.13 
16.06.14,TICKETOFFICESALE,7.00 
16.06.14,TRAINLINE.COM,46.41 
17.06.14,CIPD MEMBERSHIP RENEWA,165.00 
17.06.14,CONSERVATION BY DE,232.32 
17.06.14,CRAYFORD TUBES LTD,193.62 
17.06.14,DAWSON BOOKS,83.13 
17.06.14,LONDON OVERGROUND-,20.00 
17.06.14,M6 TOLL,5.50 
17.06.14,TICKETOFFICESALE,31.80 
17.06.14,TNA BOOKSHOP,380.00 
17.06.14,TOTAL REGISTRATION,28.76 
17.06.14,WWW.WINCHESTER.AC.UK,240.00 
18.06.14,8120,73.45 
18.06.14,ALVANLEY ARMS HOTEL,48.55 
18.06.14,Amazon *Mktplce EU-UK,214.89 
18.06.14,Amazon *Mktplce EU-UK,2.14 
18.06.14,AVIS LONDON,79.97 
18.06.14,BELLE VUE ROYAL HOTEL,16.10 
18.06.14,CONVENIENCE CHEQUE FEE,2.50 
18.06.14,GENUINE DINING CO,7.30 
18.06.14,INT GRUP CONGRES AND EVEN,437.22 
18.06.14,LONDON OVERGROUND-,6.00 
18.06.14,LUL TICKET MACHINE,30.00 
18.06.14,M6 TOLL,5.50 
18.06.14,PAYPAL *P2 INNOVTN,113.70 
18.06.14,PLOTTER & REPRO. MEDIA,57.67 
18.06.14,PRESERVATION EQUIP,146.04 
18.06.14,SHELL BEACONSFIELD,52.77 
18.06.14,TRAINLINE.COM,91.44 
18.06.14,UPPER CRUST,5.99 
18.06.14,WEST COAST TRAINS,25.10 
18.06.14,WWW.BCS.ORG,228.00 
