19 DFID Expenditure through UK CSO's 2009/10,,,,,,,,,,,
,,,,,,,£thousands,,,,
 ,Civil Society Challenge Fund,Partnership Programme Agreement,Governance Transparency Fund2,Humanitarian Assistance,Country and Other DFID Programmes,,Total,,,,
,,,,,,,,,,,
ACORD,   141 , - , - , - , - ,,   141,,,,
Action Against Hunger UK, - , - , - ,  4 828 ,   571 ,,  5 399,,,,
Action on Disability and Development, - ,  1 360 , - , - ,  1 360 ,,  2 720,,,,
ActionAid, - ,  5 540 , - ,   683 ,   742 ,,  6 966,,,,
Active Learning Centre,   138 , - , - , - , - ,,   138,,,,
,,,,,,,   ,,,,
ADRA UK,   93 , - , - , - , - ,,   93,,,,
Africa Educational Trust, - , - , - , - ,   590 ,,   590,,,,
African Medical and Research Foundation,   344 , - , - , - ,  3 225 ,,  3 569,,,,
Aga Khan Foundation (UK), - ,  1 025 , - , - , - ,,  1 025,,,,
Age Concern,   131 , - , - , - , - ,,   131,,,,
,,,,,,,   ,,,,
Amnesty International, - , - ,   827 , - , - ,,   827,,,,
Anti Slavery International,   124 , - ,   402 , - , - ,,   526,,,,
APT Enterprise Development,   197 , - , - , - , - ,,   197,,,,
Article 19,   247 , - , - , - , - ,,   247,,,,
Basicneeds UK Trust,   458 , - , - , - ,   77 ,,   534,,,,
,,,,,,,,,,,
BBC World Service Trust,   89 , - ,   733 ,  1 000 ,  5 493 ,,  7 315,,,,
Birdlife International,   185 , - , - , - , - ,,   185,,,,
BOND, - ,   360 , - , - ,   390 ,,   750,,,,
British Red Cross, - , - , - ,  3 100 ,  36 511 ,,  39 611,,,,
CAB International, - , - , - , - ,   605 ,,   605,,,,
,,,,,,,,,,,
CAFOD, - ,  4 430 ,  1 400 ,   381 ,   279 ,,  6 490,,,,
CARE International UK, - ,  3 950 , - ,  2 371 ,  5 684 ,,  12 005,,,,
Campaign for Female Education (CAMFED),   231 , - , - , - , - ,,   231,,,,
Centre for British Teachers,   114 , - , - , - , - ,,   114,,,,
Child Aid,   122 , - , - , - , - ,,   122,,,,
,,,,,,,,,,,
Childhope,   125 , - , - , - , - ,,   125,,,,
Christian Aid, - ,  7 640 ,   882 , - ,  8 521 ,,  17 043,,,,
Climate Strategies, - , - , - , - ,   220 ,,   220,,,,
Collaborative Learning, - , - , - , - ,   300 ,,   300,,,,
Comic Relief, - ,  7 000 , - , - , - ,,  7 000,,,,
,,,,,,,,,,,
Commonwealth Business Council (CBC), - , - ,   556 , - , - ,,   556,,,,
Commonwealth Broadcasting Association, - , - , - , - ,   468 ,,   468,,,,
Concern Universal,   169 , - , - , - ,   465 ,,   634,,,,
Concern Worldwide,   369 , - , - ,   990 ,   467 ,,  1 827,,,,
Conciliation Resources (IWPR),   66 , - ,   606 ,   55 ,   423 ,,  1 150,,,,
,,,,,,,,,,,
Development Education Association, - , - , - , - ,   892 ,,   892,,,,
Debt Relief International Limited, - , - , - , - ,   137 ,,   137,,,,
Education Action International,   223 , - , - , - , - ,,   223,,,,
Enhancing Financial Innovation & Access (EFInA), - , - , - , - ,  1 077 ,,  1 077,,,,
EIA LTD,   167 , - , - , - , - ,,   167,,,,
,,,,,,,,,,,
Ethical Trading Initiative, - ,   755 , - , - , - ,,   755,,,,
Every Child,   204 , - , - , - , - ,,   204,,,,
FARM-Africa,   78 , - , - , - , - ,,   78,,,,
Find Your Feet,   107 , - , - , - , - ,,   107,,,,
Forum for the Future, - , - , - , - ,   264 ,,   264,,,,
,,,,,,,,,,,
Global Witness, - , - ,   463 , - , - ,,   463,,,,
