"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD19","AO (L)","21235","23045","Administrative Officer","3.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD19","AO (L)","21235","23045","Personal Secretary","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD19","EO (L)","25363","29063","Executive Officer","5.44","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD19","FS (L)","27500","36000","Higher Executive Officer (D)","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD19","G6 (L)","58516","69680","Grade 6","2.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD19","G6 (N)","53236","63802","Grade 6","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD19","G7 (L)","48326","58007","Grade 7","7.75","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD19","HEO (L)","30147","34930","Higher Executive Officer","6.60","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD19","HEO (L)","30147","34930","Higher Scientific Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD19","HEO (N)","27013","31233","Higher Executive Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD19","SEO (L)","35946","42968","Senior Executive Officer","3.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD19","SEO (N)","33321","39799","Senior Executive Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","AO (L)","21235","23045","Administrative Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","AO (L)","21235","23045","Personal Secretary","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","EO (L)","25363","29063","Executive Officer","3.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","FS (L)","27500","36000","Higher Executive Officer (D)","2.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","G7 (L)","48326","58007","Grade 7","4.69","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","HEO (L)","30147","34930","Higher Executive Officer","4.50","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","SEO (L)","35946","42968","Senior Executive Officer","4.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","SEO (L)","35946","42968","Senior Scientific Officer","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","EO (N)","22698","25903","Executive Officer","1.00","Statisticians"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","FS (L)","27500","36000","Assistant Economist","1.00","Economics"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","FS (L)","27500","36000","Assistant Economist Provisional","1.00","Economics"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","G7 (L)","48326","58007","Grade 7","2.60","Economics"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","G7 (L)","48326","58007","Grade 7","1.00","Social Research"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","G7 (N)","43654","52333","Grade 7","1.00","Statisticians"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","HEO (N)","27013","31233","Higher Executive Officer","0.80","Statisticians"
