Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,PHARMACY PILGRIM,DIAGNOSTICS,ROCHE PRODUCTS LTD,46761.01,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,MINOR CLINICAL EQUIPMENT,INTEGRATED MEDICINE LINCOLN,MEDTRONIC LTD,44160,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF ESTATES & FACILITIES,BERENDSEN UK LTD (SUNLIGHT),41139.68,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,PHARMACY,DIAGNOSTICS,AAH HOSPITAL SERVICE,44352,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,PHARMACY,DIAGNOSTICS,AAH HOSPITAL SERVICE,44352,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,PHARMACY,DIAGNOSTICS,AAH HOSPITAL SERVICE,44925.12,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,PHARMACY,DIAGNOSTICS,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,26527.5,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,PHARMACY,DIAGNOSTICS,MOVIANTO UK,33900,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,38735.4,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,LLOYDS PHARM DISPENSING COSTS,DIAGNOSTICS,LLOYDS PHARMACY,674393.74,Dec-15
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/12/2015,NETWORK SOFT/W,OUTPATIENT MANAGEMENT,INTOUCH WITH HEALTH LTD,25916,Dec-15
